lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,1.0,1.0,105,3,102,0,3,2400,0,2400,2.857142857142857,0.0,1950,0.0,0.0
1,1.0,2.0,1.0,48,3,45,0,3,1200,0,1200,6.25,0.0,1200,0.0,0.0
2,2.0,3.0,1.0,60,3,57,0,3,1650,0,1650,5.0,0.0,1650,0.0,0.0
3,3.0,4.0,1.0,39,0,39,0,0,1500,0,1500,0.0,0.0,1500,0.0,0.0
4,4.0,5.0,1.0,57,0,57,0,0,1050,0,1050,0.0,0.0,1044,0.0,0.0
5,5.0,6.0,1.0,582,15,567,0,15,1950,0,1950,2.5773195876288657,0.0,1926,0.0,0.0
6,6.0,7.0,1.0,180,3,177,0,3,1350,0,1350,1.6666666666666667,0.0,1326,0.0,0.0
7,7.0,8.0,1.0,90,0,90,0,0,1800,0,1800,0.0,0.0,1794,0.0,0.0
8,8.0,9.0,1.0,30,0,30,0,0,1050,0,1050,0.0,0.0,1038,0.0,0.0
9,9.0,10.0,1.0,24,0,24,0,0,900,0,900,0.0,0.0,882,0.0,0.0
10,10.0,11.0,1.0,21,0,21,0,0,900,0,900,0.0,0.0,882,0.0,0.0
11,11.0,12.0,1.0,27,3,24,0,3,1200,0,1200,11.11111111111111,0.0,1161,0.0,0.0
12,12.0,13.0,1.0,69,6,63,0,6,1650,0,1650,8.695652173913043,0.0,1572,0.0,0.0
13,13.0,14.0,1.0,21,6,15,0,6,1050,0,1050,28.57142857142857,0.0,990,0.0,0.0
14,14.0,15.0,1.0,30,12,18,0,12,900,0,900,40.0,0.0,867,0.0,0.0
15,15.0,16.0,1.0,45,6,39,0,6,1050,0,1050,13.333333333333334,0.0,1002,0.0,0.0
16,16.0,17.0,1.0,57,15,42,0,15,1350,0,1350,26.31578947368421,0.0,1272,0.0,0.0
17,17.0,18.0,1.0,39,9,30,0,9,1350,0,1350,23.076923076923077,0.0,1278,0.0,0.0
18,18.0,19.0,1.0,39,6,33,0,6,1350,0,1350,15.384615384615385,0.0,1251,0.0,0.0
19,19.0,20.0,1.0,27,3,24,0,3,900,0,900,11.11111111111111,0.0,864,0.0,0.0
20,20.0,21.0,1.0,39,6,33,0,6,1050,0,1050,15.384615384615385,0.0,939,0.0,0.0
21,21.0,22.0,1.0,321,18,303,0,18,1350,0,1350,5.607476635514018,0.0,1215,0.0,0.0
22,22.0,23.0,1.0,69,36,33,0,36,1800,0,1800,52.17391304347826,0.0,1623,0.0,0.0
23,23.0,24.0,1.0,30,9,21,0,9,750,0,750,30.0,0.0,678,0.0,0.0
24,24.0,25.0,1.0,66,30,36,0,30,1500,0,1500,45.45454545454545,0.0,1365,0.0,0.0
25,25.0,26.0,1.0,24,18,6,0,18,750,0,750,75.0,0.0,711,0.0,0.0
26,26.0,27.0,1.0,24,6,18,0,6,750,0,750,25.0,0.0,666,0.0,0.0
27,27.0,28.0,1.0,24,12,12,0,12,900,0,900,50.0,0.0,786,0.0,0.0
28,28.0,29.0,1.0,27,12,15,0,12,1050,0,1050,44.44444444444444,0.0,951,0.0,0.0
29,29.0,30.0,1.0,24,12,12,0,12,900,0,900,50.0,0.0,798,0.0,0.0
30,30.0,31.0,1.0,51,18,33,0,18,1800,0,1800,35.294117647058826,0.0,1620,0.0,0.0
31,31.0,32.0,1.0,54,18,36,0,18,1500,0,1500,33.33333333333333,0.0,1284,0.0,0.0
32,32.0,33.0,1.0,72,36,36,0,36,1650,0,1650,50.0,0.0,1455,0.0,0.0
33,33.0,34.0,1.0,60,39,21,0,39,1650,0,1650,65.0,0.0,1455,0.0,0.0
34,34.0,35.0,1.0,69,36,33,0,36,1800,0,1800,52.17391304347826,0.0,1575,0.0,0.0
35,35.0,36.0,1.0,84,21,63,0,21,1500,0,1500,25.0,0.0,1290,0.0,0.0
36,36.0,37.0,1.0,18,15,3,0,15,750,0,750,83.33333333333334,0.0,633,0.0,0.0
37,37.0,38.0,1.0,57,9,48,0,9,1200,0,1200,15.789473684210526,0.0,1080,0.0,0.0
38,38.0,39.0,1.0,33,15,18,0,15,1200,0,1200,45.45454545454545,0.0,1008,0.0,0.0
39,39.0,40.0,1.0,27,12,15,0,12,1200,0,1200,44.44444444444444,0.0,1023,0.0,0.0
40,40.0,41.0,1.0,24,18,6,0,18,1050,0,1050,75.0,0.0,897,0.0,0.0
41,41.0,42.0,1.0,45,18,27,0,18,1500,0,1500,40.0,0.0,1296,0.0,0.0
42,42.0,43.0,1.0,39,24,15,0,24,1500,0,1500,61.53846153846154,0.0,1284,0.0,0.0
43,43.0,44.0,1.0,72,24,48,0,24,2100,0,2100,33.33333333333333,0.0,1779,0.0,0.0
44,44.0,45.0,1.0,105,39,66,0,39,1800,0,1800,37.142857142857146,0.0,1521,0.0,0.0
45,45.0,46.0,1.0,96,48,48,0,48,2250,0,2250,50.0,0.0,1929,0.0,0.0
46,46.0,47.0,1.0,48,27,21,0,27,1350,0,1350,56.25,0.0,1092,0.0,0.0
47,47.0,48.0,1.0,63,39,24,0,39,1650,0,1650,61.904761904761905,0.0,1380,0.0,0.0
48,48.0,49.0,1.0,84,39,45,0,39,1650,0,1650,46.42857142857143,0.0,1365,0.0,0.0
49,49.0,50.0,1.0,60,42,18,0,42,1650,0,1650,70.0,0.0,1344,0.0,0.0
