second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,105.0,6.0,0.0,6.0,0.0,2400.0,2400.0,5.714285714285714,0.0
1,48.0,6.0,0.0,6.0,0.0,1200.0,1200.0,12.5,0.0
2,60.0,1.0,0.0,1.0,0.0,1650.0,1650.0,1.6666666666666667,0.0
3,39.0,1.0,0.0,1.0,0.0,1500.0,1500.0,2.564102564102564,0.0
4,57.0,1.0,0.0,1.0,0.0,1050.0,1050.0,1.7543859649122806,0.0
5,582.0,32.0,0.0,32.0,0.0,1950.0,1950.0,5.498281786941581,0.0
6,180.0,3.0,0.0,3.0,0.0,1350.0,1350.0,1.6666666666666667,0.0
7,90.0,5.0,0.0,5.0,0.0,1800.0,1800.0,5.555555555555555,0.0
8,30.0,0.0,0.0,0.0,0.0,1050.0,1050.0,0.0,0.0
9,24.0,4.0,0.0,4.0,0.0,900.0,900.0,16.666666666666664,0.0
10,21.0,4.0,0.0,4.0,0.0,900.0,900.0,19.047619047619047,0.0
11,27.0,7.0,0.0,7.0,0.0,1200.0,1200.0,25.925925925925924,0.0
12,69.0,13.0,0.0,13.0,0.0,1650.0,1650.0,18.84057971014493,0.0
13,21.0,4.0,0.0,4.0,0.0,1050.0,1050.0,19.047619047619047,0.0
14,30.0,8.0,0.0,8.0,0.0,900.0,900.0,26.666666666666668,0.0
15,45.0,5.0,0.0,5.0,0.0,1050.0,1050.0,11.11111111111111,0.0
16,57.0,9.0,0.0,9.0,0.0,1350.0,1350.0,15.789473684210526,0.0
17,39.0,8.0,0.0,8.0,0.0,1350.0,1350.0,20.51282051282051,0.0
18,39.0,4.0,0.0,4.0,0.0,1350.0,1350.0,10.256410256410255,0.0
19,27.0,5.0,0.0,5.0,0.0,900.0,900.0,18.51851851851852,0.0
20,39.0,4.0,0.0,4.0,0.0,1050.0,1050.0,10.256410256410255,0.0
21,321.0,6.0,0.0,6.0,0.0,1350.0,1350.0,1.8691588785046727,0.0
22,69.0,13.0,0.0,13.0,0.0,1800.0,1800.0,18.84057971014493,0.0
23,30.0,5.0,0.0,5.0,0.0,750.0,750.0,16.666666666666664,0.0
24,66.0,8.0,0.0,8.0,0.0,1500.0,1500.0,12.121212121212121,0.0
25,24.0,4.0,0.0,4.0,0.0,750.0,750.0,16.666666666666664,0.0
26,24.0,5.0,0.0,5.0,0.0,750.0,750.0,20.833333333333336,0.0
27,24.0,3.0,0.0,3.0,0.0,900.0,900.0,12.5,0.0
28,27.0,3.0,0.0,3.0,0.0,1050.0,1050.0,11.11111111111111,0.0
29,24.0,3.0,0.0,3.0,0.0,900.0,900.0,12.5,0.0
30,51.0,6.0,0.0,6.0,0.0,1800.0,1800.0,11.76470588235294,0.0
31,54.0,13.0,0.0,13.0,0.0,1500.0,1500.0,24.074074074074073,0.0
32,72.0,11.0,0.0,11.0,0.0,1650.0,1650.0,15.277777777777779,0.0
33,60.0,12.0,0.0,12.0,0.0,1650.0,1650.0,20.0,0.0
34,69.0,9.0,0.0,9.0,0.0,1800.0,1800.0,13.043478260869565,0.0
35,84.0,20.0,0.0,20.0,0.0,1500.0,1500.0,23.809523809523807,0.0
36,18.0,6.0,0.0,6.0,0.0,750.0,750.0,33.33333333333333,0.0
37,57.0,11.0,0.0,11.0,0.0,1200.0,1200.0,19.298245614035086,0.0
38,33.0,3.0,0.0,3.0,0.0,1200.0,1200.0,9.090909090909092,0.0
39,27.0,3.0,0.0,3.0,0.0,1200.0,1200.0,11.11111111111111,0.0
40,24.0,6.0,0.0,6.0,0.0,1050.0,1050.0,25.0,0.0
41,45.0,6.0,0.0,6.0,0.0,1500.0,1500.0,13.333333333333334,0.0
42,39.0,11.0,0.0,11.0,0.0,1500.0,1500.0,28.205128205128204,0.0
43,72.0,12.0,0.0,12.0,0.0,2100.0,2100.0,16.666666666666664,0.0
44,105.0,6.0,0.0,6.0,0.0,1800.0,1800.0,5.714285714285714,0.0
45,96.0,12.0,0.0,12.0,0.0,2250.0,2250.0,12.5,0.0
46,48.0,3.0,0.0,3.0,0.0,1350.0,1350.0,6.25,0.0
