second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,105.0,18.0,12.0,6.0,238.0,2162.0,2400.0,17.142857142857142,0.5550416281221091
1,48.0,38.0,35.0,3.0,226.0,974.0,1200.0,79.16666666666666,0.10560281607509533
2,60.0,34.0,24.0,10.0,276.0,1374.0,1650.0,56.666666666666664,0.5003639010189228
3,39.0,26.0,20.0,6.0,268.0,1232.0,1500.0,66.66666666666666,0.36525974025974023
4,57.0,26.0,13.0,13.0,205.0,845.0,1050.0,45.614035087719294,1.242603550295858
5,582.0,463.0,362.0,101.0,603.0,1347.0,1950.0,79.55326460481099,0.4039055482410267
6,180.0,173.0,117.0,56.0,458.0,892.0,1350.0,96.11111111111111,0.724387719903415
7,90.0,43.0,33.0,10.0,650.0,1150.0,1800.0,47.77777777777778,0.47430830039525695
8,30.0,19.0,11.0,8.0,425.0,625.0,1050.0,63.33333333333333,1.221818181818182
9,24.0,18.0,11.0,7.0,375.0,525.0,900.0,75.0,1.0909090909090908
10,21.0,15.0,9.0,6.0,391.0,509.0,900.0,71.42857142857143,1.1787819253438112
11,27.0,25.0,16.0,9.0,514.0,686.0,1200.0,92.5925925925926,0.9839650145772595
12,69.0,40.0,30.0,10.0,739.0,911.0,1650.0,57.971014492753625,0.6037321624588364
13,21.0,19.0,12.0,7.0,509.0,541.0,1050.0,90.47619047619048,1.1321626617375231
14,30.0,17.0,12.0,5.0,463.0,437.0,900.0,56.666666666666664,0.8581235697940504
15,45.0,21.0,14.0,7.0,556.0,494.0,1050.0,46.666666666666664,1.0627530364372468
16,57.0,27.0,20.0,7.0,714.0,636.0,1350.0,47.368421052631575,0.7429245283018868
17,39.0,21.0,17.0,4.0,796.0,554.0,1350.0,53.84615384615385,0.573370142280739
18,39.0,25.0,20.0,5.0,794.0,556.0,1350.0,64.1025641025641,0.6070143884892086
19,27.0,14.0,13.0,1.0,590.0,310.0,900.0,51.85185185185185,0.22332506203473948
20,39.0,22.0,17.0,5.0,663.0,387.0,1050.0,56.41025641025641,0.7979936160510717
21,321.0,152.0,144.0,8.0,932.0,418.0,1350.0,47.35202492211838,0.17942583732057416
22,69.0,43.0,38.0,5.0,1352.0,448.0,1800.0,62.31884057971014,0.5286654135338346
23,30.0,22.0,17.0,5.0,581.0,169.0,750.0,73.33333333333333,1.305255830142708
24,66.0,44.0,33.0,11.0,1228.0,272.0,1500.0,66.66666666666666,1.8382352941176467
25,24.0,24.0,16.0,8.0,652.0,98.0,750.0,100.0,3.8265306122448983
26,24.0,16.0,12.0,4.0,630.0,120.0,750.0,66.66666666666666,2.083333333333333
27,24.0,10.0,5.0,5.0,746.0,154.0,900.0,41.66666666666667,5.8441558441558445
28,27.0,26.0,19.0,7.0,927.0,123.0,1050.0,96.29629629629629,3.1450577663671373
29,24.0,18.0,12.0,6.0,795.0,105.0,900.0,75.0,4.285714285714286
30,51.0,29.0,18.0,11.0,1633.0,167.0,1800.0,56.86274509803921,6.58682634730539
31,54.0,53.0,44.0,9.0,1344.0,156.0,1500.0,98.14814814814815,1.966783216783217
32,72.0,56.0,42.0,14.0,1510.0,140.0,1650.0,77.77777777777779,3.928571428571428
33,60.0,50.0,40.0,10.0,1557.0,93.0,1650.0,83.33333333333334,4.435483870967742
34,69.0,37.0,26.0,11.0,1706.0,94.0,1800.0,53.62318840579711,8.101472995090015
35,84.0,69.0,63.0,6.0,1388.0,112.0,1500.0,82.14285714285714,1.2755102040816324
36,18.0,17.0,12.0,5.0,692.0,58.0,750.0,94.44444444444444,5.387931034482759
37,57.0,32.0,29.0,3.0,1169.0,31.0,1200.0,56.14035087719298,4.004449388209121
38,33.0,33.0,27.0,6.0,1060.0,140.0,1200.0,100.0,1.9047619047619047
39,27.0,12.0,9.0,3.0,1065.0,135.0,1200.0,44.44444444444444,2.962962962962963
40,24.0,18.0,12.0,6.0,922.0,128.0,1050.0,75.0,4.1015625
41,45.0,27.0,20.0,7.0,1315.0,185.0,1500.0,60.0,2.8378378378378377
42,39.0,31.0,25.0,6.0,1338.0,162.0,1500.0,79.48717948717949,2.2222222222222223
43,72.0,42.0,36.0,6.0,1861.0,239.0,2100.0,58.333333333333336,1.4644351464435146
44,105.0,55.0,49.0,6.0,1705.0,95.0,1800.0,52.38095238095239,2.3200859291084854
45,96.0,55.0,48.0,7.0,2151.0,99.0,2250.0,57.291666666666664,3.31439393939394
46,48.0,34.0,31.0,3.0,1288.0,62.0,1350.0,70.83333333333334,2.1071800208116547
47,63.0,54.0,50.0,4.0,1545.0,105.0,1650.0,85.71428571428571,1.2571428571428573
48,84.0,47.0,45.0,2.0,1553.0,97.0,1650.0,55.952380952380956,0.7560137457044674
