lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,1.0,1.0,105,18,87,15,3,2400,255,2145,17.142857142857142,0.22377622377622378,1758,257.99993919484376,125.99999999714092
1,1.0,2.0,1.0,48,36,12,33,3,1200,234,966,75.0,0.1129305477131564,966,815.9946688957535,122.99999900428901
2,2.0,3.0,1.0,60,36,24,36,0,1650,345,1305,60.0,0.0,1296,995.9893597430024,-63.00000000000463
3,3.0,4.0,1.0,39,30,9,30,0,1500,390,1110,76.92307692307693,0.0,1107,1889.983962296261,728.9999219044904
4,4.0,5.0,1.0,57,21,36,21,0,1050,303,747,36.84210526315789,0.0,744,1460.9786344527474,-186.0000083052613
5,5.0,6.0,1.0,582,465,117,462,3,1950,756,1194,79.89690721649485,0.010604972916530706,1200,10672.814045559167,4320.706974378337
6,6.0,7.0,1.0,180,177,3,174,3,1350,534,816,98.33333333333333,0.028524340770791076,798,12464.44039399725,5194.79721473264
7,7.0,8.0,1.0,90,45,45,39,6,1800,741,1059,50.0,0.26149487905861846,1062,3944.9255960322917,-9332.578426736713
8,8.0,9.0,1.0,30,21,9,12,9,1050,471,579,70.0,1.3601036269430054,573,4520.999878331549,1857.0742307661435
9,9.0,10.0,1.0,24,18,6,12,6,900,417,483,75.0,0.9316770186335405,477,5897.914950939965,299.9999881956105
10,10.0,11.0,1.0,21,15,6,9,6,900,423,477,71.42857142857143,1.2578616352201257,468,5414.9043303124945,299.90443643619415
11,11.0,12.0,1.0,27,24,3,15,9,1200,582,618,88.88888888888889,1.1650485436893203,597,7223.8936815646475,-1319.9043445450525
12,12.0,13.0,1.0,69,42,27,27,15,1650,837,813,60.86956521739131,1.1275112751127512,798,10841.755637662272,2639.8725855696775
13,13.0,14.0,1.0,21,21,0,12,9,1050,564,486,100.0,1.6203703703703705,468,8180.861826430256,-1679.872712695715
14,14.0,15.0,1.0,30,18,12,15,3,900,510,390,60.0,0.46153846153846156,387,7877.999631846554,1022.9997732330461
15,15.0,16.0,1.0,45,21,24,12,9,1050,606,444,46.666666666666664,1.7736486486486485,429,11480.842473582174,-3.1482858913150267
16,16.0,17.0,1.0,57,30,27,15,15,1350,771,579,52.63157894736842,2.3316062176165806,540,12689.82915199387,-1562.8513501554503
17,17.0,18.0,1.0,39,24,15,9,15,1350,819,531,61.53846153846154,4.237288135593221,513,12023.829742406284,4022.8297536151554
18,18.0,19.0,1.0,39,24,15,21,3,1350,828,522,61.53846153846154,0.3694581280788177,495,4163.8194266670225,-6419.829749503234
19,19.0,20.0,1.0,27,12,15,3,9,900,642,258,44.44444444444444,10.465116279069766,243,7391.808480873109,2216.808878506932
20,20.0,21.0,1.0,39,18,21,12,6,1050,699,351,46.15384615384615,1.4957264957264957,348,5717.762765336362,-896.8443567069696
21,21.0,22.0,1.0,321,150,171,138,12,1350,972,378,46.728971962616825,0.3105590062111801,363,9049.281887058103,145.5297451389166
22,22.0,23.0,1.0,69,45,24,24,21,1800,1443,357,65.21739130434783,4.411764705882353,315,15764.737016023022,-865.4943682762668
23,23.0,24.0,1.0,30,24,6,9,15,750,621,129,80.0,9.689922480620156,90,9023.766146225724,3236.7662856414054
24,24.0,25.0,1.0,66,42,24,15,27,1500,1263,237,63.63636363636363,11.39240506329114,198,14021.882773195408,-3656.7663194202164
25,25.0,26.0,1.0,24,24,0,0,24,750,648,102,100.0,0.0,75,10343.999739906289,1445.9997455945932
26,26.0,27.0,1.0,24,15,9,12,3,750,666,84,62.5,2.232142857142857,72,6074.75576723476,1736.7561787248883
27,27.0,28.0,1.0,24,12,12,3,9,900,801,99,50.0,27.272727272727273,75,10751.745142407057,-1808.7557892094233
28,28.0,29.0,1.0,27,27,0,18,9,1050,963,87,100.0,6.03448275862069,63,10106.734413904092,1628.7345534879798
29,29.0,30.0,1.0,24,18,6,9,9,900,822,78,75.0,11.538461538461538,51,11717.721345085694,-3.01317705181782
30,30.0,31.0,1.0,51,27,24,15,12,1800,1698,102,52.94117647058824,14.11764705882353,78,13706.713285133581,-3185.7213764343624
31,31.0,32.0,1.0,54,54,0,36,18,1500,1422,78,100.0,9.615384615384615,42,14573.69928664495,3731.9997131260434
32,32.0,33.0,1.0,72,57,15,24,33,1650,1578,72,79.16666666666666,31.510416666666664,27,9536.651127276777,-1617.040639923836
33,33.0,34.0,1.0,60,51,9,24,27,1650,1614,36,85.0,51.56249999999999,18,6530.993609163528,-245.95938060614162
34,34.0,35.0,1.0,69,36,33,12,24,1800,1755,45,52.17391304347826,80.0,33,18095.840188379567,236.99978672721113
35,35.0,36.0,1.0,84,69,15,60,9,1500,1473,27,82.14285714285714,8.333333333333334,9,13763.370520369132,-180.56813399311704
36,36.0,37.0,1.0,18,18,0,9,9,750,735,15,100.0,50.0,6,11237.830094316592,4680.398763979581
37,37.0,38.0,1.0,57,33,24,27,6,1200,1161,39,57.89473684210527,6.837606837606837,24,9392.999465753668,-4377.000020997458
38,38.0,39.0,1.0,33,33,0,24,9,1200,1170,30,100.0,15.0,3,12151.78290590751,1856.9947168957515
39,39.0,40.0,1.0,27,12,15,3,9,1200,1173,27,44.44444444444444,133.33333333333334,18,9911.99964494451,897.1751895592046
40,40.0,41.0,1.0,24,18,6,9,9,1050,1026,24,75.0,43.75,3,14117.81911462897,-900.180498495286
41,41.0,42.0,1.0,45,27,18,18,9,1500,1461,39,60.0,19.23076923076923,21,14906.813794043233,-1614.005309280272
42,42.0,43.0,1.0,39,27,12,18,9,1500,1470,30,69.23076923076923,25.0,15,15206.795670880736,1976.994691413828
43,43.0,44.0,1.0,72,39,33,30,9,2100,2061,39,54.166666666666664,16.153846153846153,27,17302.859686879445,3299.9946855156745
44,44.0,45.0,1.0,105,57,48,33,24,1800,1755,45,54.285714285714285,29.09090909090909,54,21056.62234646457,-4977.005303271033
45,45.0,46.0,1.0,96,57,39,36,21,2250,2187,63,59.375,20.833333333333336,21,28196.740363607445,-2705.7982606457954
46,46.0,47.0,1.0,48,36,12,15,21,1350,1302,48,75.0,39.375,18,27515.782301477277,2465.782333855126
47,47.0,48.0,1.0,63,57,6,30,27,1650,1599,51,90.47619047619048,29.11764705882353,18,15514.222933049914,4376.9944995271235
48,48.0,49.0,1.0,84,45,39,18,27,1650,1617,33,53.57142857142857,75.0,33,11804.999536219952,-4313.776854018797
49,49.0,50.0,1.0,60,48,12,33,15,1650,1632,18,80.0,41.666666666666664,21,12826.983667832692,6893.999554440059
50,50.0,51.0,1.0,66,42,24,39,3,1950,1935,15,63.63636363636363,10.0,15,24761.737474577276,-6965.999555272729
51,51.0,52.0,1.0,306,147,159,147,0,1050,1041,9,48.03921568627451,0.0,36,19907.930169606,11451.385625891286
52,52.0,53.0,1.0,36,36,0,36,0,1350,1344,6,100.0,0.0,6,26375.482202721952,-1545.385643131968
53,53.0,54.0,1.0,48,30,18,30,0,1350,1347,3,62.5,0.0,18,22709.74965705597,-8097.000288526409
54,54.0,55.0,1.0,30,30,0,30,0,1200,1200,0,100.0,0.0,3,21149.568176189707,1316.999805559351
55,55.0,56.0,1.0,54,36,18,36,0,1500,1500,0,66.66666666666666,0.0,15,20075.583596642984,-2457.0051459539673
56,56.0,57.0,1.0,45,30,15,30,0,1500,1500,0,66.66666666666666,0.0,15,22229.734011518023,7800.005125822952
57,57.0,58.0,1.0,36,27,9,27,0,1050,1050,0,75.0,0.0,12,13646.720235709703,-6354.007947482693
58,58.0,59.0,1.0,54,45,9,45,0,1500,1500,0,83.33333333333334,0.0,9,23684.707873497628,6848.992682308213
59,59.0,60.0,1.0,54,45,9,45,0,1350,1350,0,83.33333333333334,0.0,9,21104.6762020964,1136.9733824161883
60,60.0,61.0,1.0,69,48,21,48,0,1800,1800,0,69.56521739130434,0.0,15,26507.71264367403,-7217.957584381784
61,61.0,62.0,1.0,504,399,105,399,0,1950,1938,12,79.16666666666666,0.0,78,19390.61746386173,-3496.045163308947
62,62.0,63.0,1.0,126,111,15,111,0,1800,1788,12,88.09523809523809,0.0,18,25670.145439424876,3676.0451632105855
63,63.0,64.0,1.0,72,36,36,36,0,1800,1797,3,50.0,0.0,45,26195.674515755152,4571.675152728871
64,64.0,65.0,1.0,51,36,15,36,0,1350,1350,0,70.58823529411765,0.0,15,19115.686272482435,-1145.9887228401644
