second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,105.0,21.0,15.0,6.0,236.0,2164.0,2400.0,20.0,0.44362292051756014
1,48.0,36.0,24.0,12.0,162.0,1038.0,1200.0,75.0,0.5780346820809249
2,60.0,48.0,25.0,23.0,199.0,1451.0,1650.0,80.0,1.0461750516884907
3,39.0,27.0,13.0,14.0,150.0,1350.0,1500.0,69.23076923076923,1.1965811965811965
4,57.0,38.0,12.0,26.0,101.0,949.0,1050.0,66.66666666666666,2.3972602739726026
5,582.0,507.0,116.0,391.0,197.0,1753.0,1950.0,87.11340206185567,3.749483643802742
6,180.0,177.0,39.0,138.0,116.0,1234.0,1350.0,98.33333333333333,3.8710883929684576
7,90.0,64.0,21.0,43.0,148.0,1652.0,1800.0,71.11111111111111,2.23106191629194
8,30.0,22.0,8.0,14.0,62.0,988.0,1050.0,73.33333333333333,1.8598178137651822
9,24.0,21.0,7.0,14.0,55.0,845.0,900.0,87.5,2.1301775147928996
10,21.0,20.0,6.0,14.0,52.0,848.0,900.0,95.23809523809523,2.476415094339623
11,27.0,20.0,7.0,13.0,70.0,1130.0,1200.0,74.07407407407408,1.9721871049304678
12,69.0,43.0,8.0,35.0,125.0,1525.0,1650.0,62.31884057971014,4.733606557377049
13,21.0,20.0,9.0,11.0,89.0,961.0,1050.0,95.23809523809523,1.335414498785987
14,30.0,24.0,8.0,16.0,79.0,821.0,900.0,80.0,2.192448233861145
15,45.0,21.0,6.0,15.0,97.0,953.0,1050.0,46.666666666666664,2.7544596012591813
16,57.0,46.0,7.0,39.0,118.0,1232.0,1350.0,80.7017543859649,6.105055658627086
17,39.0,32.0,8.0,24.0,106.0,1244.0,1350.0,82.05128205128204,3.2556270096463025
18,39.0,26.0,5.0,21.0,97.0,1253.0,1350.0,66.66666666666666,4.5251396648044695
19,27.0,18.0,6.0,12.0,94.0,806.0,900.0,66.66666666666666,2.2332506203473947
20,39.0,30.0,7.0,23.0,77.0,973.0,1050.0,76.92307692307693,3.5457348406988696
21,321.0,221.0,69.0,152.0,115.0,1235.0,1350.0,68.84735202492212,2.4080267558528425
22,69.0,45.0,9.0,36.0,193.0,1607.0,1800.0,65.21739130434783,4.4803982576229
23,30.0,22.0,5.0,17.0,86.0,664.0,750.0,73.33333333333333,3.8403614457831328
24,66.0,51.0,17.0,34.0,167.0,1333.0,1500.0,77.27272727272727,2.250562640660165
25,24.0,24.0,8.0,16.0,90.0,660.0,750.0,100.0,2.272727272727273
26,24.0,14.0,4.0,10.0,91.0,659.0,750.0,58.333333333333336,2.8452200303490134
27,24.0,21.0,3.0,18.0,112.0,788.0,900.0,87.5,6.852791878172589
28,27.0,18.0,6.0,12.0,130.0,920.0,1050.0,66.66666666666666,2.282608695652174
29,24.0,18.0,3.0,15.0,102.0,798.0,900.0,75.0,5.639097744360902
30,51.0,37.0,9.0,28.0,208.0,1592.0,1800.0,72.54901960784314,3.5175879396984926
31,54.0,40.0,15.0,25.0,176.0,1324.0,1500.0,74.07407407407408,1.8882175226586102
32,72.0,61.0,18.0,43.0,200.0,1450.0,1650.0,84.72222222222221,2.718390804597701
33,60.0,50.0,16.0,34.0,209.0,1441.0,1650.0,83.33333333333334,2.4332061068702293
34,69.0,55.0,18.0,37.0,246.0,1554.0,1800.0,79.71014492753623,2.380952380952381
35,84.0,52.0,6.0,46.0,228.0,1272.0,1500.0,61.904761904761905,9.040880503144654
36,18.0,15.0,5.0,10.0,114.0,636.0,750.0,83.33333333333334,2.358490566037736
37,57.0,40.0,10.0,30.0,213.0,987.0,1200.0,70.17543859649122,3.6474164133738602
38,33.0,30.0,6.0,24.0,176.0,1024.0,1200.0,90.9090909090909,4.6875
39,27.0,18.0,4.0,14.0,224.0,976.0,1200.0,66.66666666666666,4.30327868852459
40,24.0,22.0,6.0,16.0,190.0,860.0,1050.0,91.66666666666666,3.255813953488372
41,45.0,29.0,8.0,21.0,293.0,1207.0,1500.0,64.44444444444444,3.2622203811101906
42,39.0,28.0,7.0,21.0,345.0,1155.0,1500.0,71.7948717948718,3.896103896103896
43,72.0,46.0,12.0,34.0,492.0,1608.0,2100.0,63.888888888888886,3.700248756218906
44,105.0,67.0,24.0,43.0,509.0,1291.0,1800.0,63.8095238095238,2.498063516653757
45,96.0,60.0,24.0,36.0,732.0,1518.0,2250.0,62.5,2.223320158102767
46,48.0,38.0,19.0,19.0,505.0,845.0,1350.0,79.16666666666666,1.5976331360946747
47,63.0,52.0,23.0,29.0,593.0,1057.0,1650.0,82.53968253968253,1.9682448274443667
48,84.0,56.0,17.0,39.0,605.0,1045.0,1650.0,66.66666666666666,3.6222910216718267
49,60.0,51.0,22.0,29.0,656.0,994.0,1650.0,85.0,2.1881287726358147
50,66.0,33.0,14.0,19.0,809.0,1141.0,1950.0,50.0,2.3193940152748214
51,306.0,155.0,146.0,9.0,537.0,513.0,1050.0,50.65359477124183,0.12617159336697908
52,36.0,30.0,13.0,17.0,651.0,699.0,1350.0,83.33333333333334,2.5255860019808516
53,48.0,34.0,10.0,24.0,708.0,642.0,1350.0,70.83333333333334,5.046728971962617
54,30.0,27.0,15.0,12.0,638.0,562.0,1200.0,90.0,1.708185053380783
55,54.0,39.0,18.0,21.0,721.0,779.0,1500.0,72.22222222222221,2.246469833119384
56,45.0,28.0,15.0,13.0,845.0,655.0,1500.0,62.22222222222222,1.9847328244274811
57,36.0,27.0,18.0,9.0,639.0,411.0,1050.0,75.0,1.2773722627737227
58,54.0,43.0,24.0,19.0,999.0,501.0,1500.0,79.62962962962963,2.370259481037924
59,54.0,46.0,32.0,14.0,879.0,471.0,1350.0,85.18518518518519,1.253980891719745
60,69.0,52.0,29.0,23.0,1144.0,656.0,1800.0,75.36231884057972,2.176198486122792
61,504.0,404.0,359.0,45.0,1497.0,453.0,1950.0,80.15873015873017,0.5395782988064712
62,126.0,109.0,98.0,11.0,1378.0,422.0,1800.0,86.5079365079365,0.4787697069349066
63,72.0,28.0,22.0,6.0,1553.0,247.0,1800.0,38.88888888888889,1.9874861980125138
64,51.0,39.0,29.0,10.0,1129.0,221.0,1350.0,76.47058823529412,2.1064128569199565
65,108.0,54.0,23.0,31.0,1086.0,414.0,1500.0,50.0,4.883427851291745
66,57.0,35.0,30.0,5.0,1297.0,203.0,1500.0,61.40350877192983,1.231527093596059
67,69.0,42.0,36.0,6.0,1553.0,397.0,1950.0,60.86956521739131,0.818639798488665
68,69.0,32.0,28.0,4.0,1163.0,187.0,1350.0,46.3768115942029,1.0313216195569137
69,42.0,28.0,20.0,8.0,1094.0,256.0,1350.0,66.66666666666666,2.109375
70,51.0,25.0,14.0,11.0,1098.0,252.0,1350.0,49.01960784313725,4.209183673469387
71,36.0,22.0,20.0,2.0,1037.0,13.0,1050.0,61.111111111111114,8.076923076923077
72,36.0,17.0,13.0,4.0,949.0,251.0,1200.0,47.22222222222222,1.4710389212381245
73,24.0,11.0,6.0,5.0,746.0,304.0,1050.0,45.83333333333333,2.8782894736842106
74,75.0,26.0,20.0,6.0,1008.0,192.0,1200.0,34.66666666666667,1.875
75,45.0,20.0,12.0,8.0,1096.0,254.0,1350.0,44.44444444444444,3.543307086614173
76,18.0,16.0,10.0,6.0,564.0,186.0,750.0,88.88888888888889,2.4193548387096775
