second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,105.0,20.0,15.0,5.0,233.0,2167.0,2400.0,19.047619047619047,0.36917397323488693
1,48.0,34.0,28.0,6.0,205.0,995.0,1200.0,70.83333333333334,0.25843503230437903
2,60.0,32.0,27.0,5.0,247.0,1403.0,1650.0,53.333333333333336,0.21778728122277657
3,39.0,30.0,22.0,8.0,254.0,1246.0,1500.0,76.92307692307693,0.4377644827083029
4,57.0,17.0,11.0,6.0,204.0,846.0,1050.0,29.82456140350877,0.6769825918762088
5,582.0,463.0,366.0,97.0,685.0,1265.0,1950.0,79.55326460481099,0.40854014125575067
6,180.0,167.0,111.0,56.0,487.0,863.0,1350.0,92.77777777777779,0.7892017162005573
7,90.0,41.0,30.0,11.0,682.0,1118.0,1800.0,45.55555555555556,0.590339892665474
8,30.0,22.0,12.0,10.0,458.0,592.0,1050.0,73.33333333333333,1.4780405405405408
9,24.0,18.0,10.0,8.0,397.0,503.0,900.0,75.0,1.4314115308151094
10,21.0,15.0,7.0,8.0,409.0,491.0,900.0,71.42857142857143,2.094850160023276
11,27.0,23.0,13.0,10.0,541.0,659.0,1200.0,85.18518518518519,1.4007237072487453
12,69.0,41.0,25.0,16.0,784.0,866.0,1650.0,59.42028985507246,1.2193995381062355
13,21.0,21.0,8.0,13.0,531.0,519.0,1050.0,100.0,3.2875722543352603
14,30.0,17.0,10.0,7.0,479.0,421.0,900.0,56.666666666666664,1.4964370546318289
15,45.0,21.0,10.0,11.0,575.0,475.0,1050.0,46.666666666666664,2.431578947368421
16,57.0,28.0,15.0,13.0,730.0,620.0,1350.0,49.122807017543856,1.8870967741935485
17,39.0,24.0,15.0,9.0,810.0,540.0,1350.0,61.53846153846154,1.4999999999999998
18,39.0,21.0,16.0,5.0,798.0,552.0,1350.0,53.84615384615385,0.764266304347826
19,27.0,13.0,7.0,6.0,590.0,310.0,900.0,48.148148148148145,2.488479262672811
20,39.0,21.0,14.0,7.0,656.0,394.0,1050.0,53.84615384615385,1.3324873096446699
21,321.0,149.0,140.0,9.0,934.0,416.0,1350.0,46.41744548286604,0.20861950549450545
22,69.0,41.0,29.0,12.0,1356.0,444.0,1800.0,59.42028985507246,1.6775396085740912
23,30.0,21.0,12.0,9.0,580.0,170.0,750.0,70.0,3.308823529411765
24,66.0,44.0,24.0,20.0,1247.0,253.0,1500.0,66.66666666666666,4.940711462450594
25,24.0,22.0,8.0,14.0,664.0,86.0,750.0,91.66666666666666,15.261627906976743
26,24.0,16.0,10.0,6.0,641.0,109.0,750.0,66.66666666666666,4.128440366972477
27,24.0,12.0,2.0,10.0,760.0,140.0,900.0,50.0,32.14285714285714
28,27.0,27.0,17.0,10.0,941.0,109.0,1050.0,100.0,5.666486778197518
29,24.0,18.0,8.0,10.0,806.0,94.0,900.0,75.0,11.968085106382977
30,51.0,25.0,12.0,13.0,1654.0,146.0,1800.0,49.01960784313725,13.356164383561644
31,54.0,53.0,38.0,15.0,1358.0,142.0,1500.0,98.14814814814815,4.169755374351372
