lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,1.0,1.0,105,16,89,12,4,2400,241,2159,15.238095238095239,0.37054191755442334,1764,255.99989865997708,125.99999999714092
1,1.0,2.0,1.0,48,40,8,33,7,1200,222,978,83.33333333333334,0.2602714259155977,966,859.994666611298,83.99999950351166
2,2.0,3.0,1.0,60,29,31,21,8,1650,258,1392,48.333333333333336,0.451559934318555,1339,1348.9822907966086,73.9999985022064
3,3.0,4.0,1.0,39,28,11,20,8,1500,253,1247,71.7948717948718,0.48115477145148355,1212,1747.9680226151333,530.9999100007799
4,4.0,5.0,1.0,57,22,35,14,8,1050,179,871,38.59649122807017,0.6888633754305395,844,1801.964375777283,-25.000082785862602
5,5.0,6.0,1.0,582,465,117,394,71,1950,565,1385,79.89690721649485,0.25371547948468914,1381,14649.458949375146,6977.017101244817
6,6.0,7.0,1.0,180,168,12,135,33,1350,421,929,93.33333333333333,0.35522066738428415,893,16199.88954305898,6755.881465356098
7,7.0,8.0,1.0,90,43,47,21,22,1800,606,1194,47.77777777777778,1.5793251974156497,1165,2982.968076085458,-14090.930245400868
8,8.0,9.0,1.0,30,19,11,7,12,1050,418,632,63.33333333333333,2.8481012658227844,612,3518.999826333192,1716.0317073067768
9,9.0,10.0,1.0,24,18,6,6,12,900,364,536,75.0,3.3582089552238807,514,4597.950308738881,261.000005099044
10,10.0,11.0,1.0,21,14,7,5,9,900,386,514,66.66666666666666,3.151750972762646,494,3833.971535856352,-421.0283229269712
11,11.0,12.0,1.0,27,21,6,9,12,1200,500,700,77.77777777777779,2.2857142857142856,662,6120.939651789955,-741.9715379183979
12,12.0,13.0,1.0,69,39,30,19,20,1650,737,913,56.52173913043478,1.9023462270133162,873,9418.859820536669,2382.8938135853073
13,13.0,14.0,1.0,21,19,2,7,12,1050,508,542,90.47619047619048,3.321033210332103,516,5958.902508248661,-1259.8939728628884
14,14.0,15.0,1.0,30,17,13,8,9,900,466,434,56.666666666666664,2.3329493087557602,414,4976.999757432728,-138.00008121194287
15,15.0,16.0,1.0,45,21,24,9,12,1050,554,496,46.666666666666664,2.82258064516129,466,7980.888295759172,537.8940613340379
16,16.0,17.0,1.0,57,27,30,14,13,1350,703,647,47.368421052631575,1.93751379995584,610,9006.87534644473,-722.8938222151412
17,17.0,18.0,1.0,39,26,13,13,13,1350,788,562,66.66666666666666,2.402135231316726,542,8605.875899018183,2242.8759099685612
18,18.0,19.0,1.0,39,30,9,20,10,1350,767,583,76.92307692307693,1.157804459691252,544,3209.8689778976754,-4219.875906576227
19,19.0,20.0,1.0,27,14,13,5,9,900,565,335,51.85185185185185,4.835820895522388,313,5153.941353962359,715.9416017660034
20,20.0,21.0,1.0,39,20,19,14,6,1050,629,421,51.28205128205128,1.0688836104513064,405,5959.7875430208505,1446.0229200307663
21,21.0,22.0,1.0,321,152,169,142,10,1350,901,449,47.35202492211838,0.2117381348222968,431,7191.453533157969,-293.3534727002569
22,22.0,23.0,1.0,69,40,29,24,16,1800,1307,493,57.971014492753625,2.434077079107505,463,13999.765244013177,-1450.6110828757398
23,23.0,24.0,1.0,30,23,7,12,11,750,563,187,76.66666666666667,3.676470588235294,160,7842.859760271086,3418.8598219780392
24,24.0,25.0,1.0,66,44,22,26,18,1500,1210,290,66.66666666666666,3.580901856763926,269,11863.815416078136,-3656.85992331501
25,25.0,26.0,1.0,24,24,0,6,18,750,651,99,100.0,22.727272727272727,82,10003.999522721424,2685.9995265232706
26,26.0,27.0,1.0,24,16,8,11,5,750,626,124,66.66666666666666,2.7492668621700878,109,5495.807087227668,-83.1922825436146
27,27.0,28.0,1.0,24,11,13,4,7,900,737,163,45.83333333333333,9.662576687116564,137,7990.8035503184365,-1229.807108869598
28,28.0,29.0,1.0,27,26,1,20,6,1050,918,132,96.29629629629629,2.3863636363636362,114,6245.868914251957,108.86904639050476
29,29.0,30.0,1.0,24,18,6,12,6,900,788,112,75.0,4.017857142857143,90,9217.786833431659,777.9178068534652
30,30.0,31.0,1.0,51,25,26,14,11,1800,1628,172,49.01960784313725,8.222591362126245,152,12124.734373246452,-1543.787012245546
31,31.0,32.0,1.0,54,53,1,42,11,1500,1346,154,98.14814814814815,2.5510204081632653,124,13012.768326069689,2668.999886494245
32,32.0,33.0,1.0,72,57,15,35,22,1650,1518,132,79.16666666666666,7.857142857142857,95,8096.715921495131,-936.0484247719064
33,33.0,34.0,1.0,60,48,12,31,17,1650,1557,93,80.0,9.729448491155045,75,6147.99550291373,-825.9515995226724
34,34.0,35.0,1.0,69,38,31,20,18,1800,1708,92,55.072463768115945,17.608695652173914,78,19017.841958943012,236.99978672721113
35,35.0,36.0,1.0,84,70,14,59,11,1500,1405,95,83.33333333333334,2.9438001784121317,63,15364.32804914521,-180.56813399311693
36,36.0,37.0,1.0,18,18,0,10,8,750,705,45,100.0,13.333333333333334,30,11697.842476232658,4520.4111409539755
37,37.0,38.0,1.0,57,32,25,27,5,1200,1169,31,56.14035087719298,7.168458781362006,25,9091.999498258732,-4337.000017475317
38,38.0,39.0,1.0,33,33,0,25,8,1200,1127,73,100.0,5.260273972602739,39,14591.736889361207,3816.9363150091394
39,39.0,40.0,1.0,27,12,15,6,6,1200,1135,65,44.44444444444444,18.46153846153846,46,10371.999549612921,-962.7787995805054
40,40.0,41.0,1.0,24,18,6,8,10,1050,1014,36,75.0,36.45833333333333,13,15177.771339434243,-320.22827893708256
41,41.0,42.0,1.0,45,27,18,17,10,1500,1453,47,60.0,18.773466833541928,31,16006.764249038622,-1554.0070789256336
42,42.0,43.0,1.0,39,31,8,21,10,1500,1449,51,79.48717948717949,14.005602240896357,26,17430.682400064998,2656.9309842513803
43,43.0,44.0,1.0,72,39,33,31,8,2100,2039,61,54.166666666666664,8.8841882601798,40,16502.806602295386,1819.054853497867
44,44.0,45.0,1.0,105,53,52,47,6,1800,1772,28,50.476190476190474,8.206686930091186,60,18852.70280050425,-5636.872580118616
45,45.0,46.0,1.0,96,57,39,48,9,2250,2218,32,59.375,13.18359375,22,27676.754531443763,-1804.877894601239
46,46.0,47.0,1.0,48,33,15,30,3,1350,1331,19,68.75,7.105263157894737,21,25712.7964585715,2305.7964910027586
47,47.0,48.0,1.0,63,57,6,52,5,1650,1618,32,90.47619047619048,4.9579326923076925,18,15214.237100467933,4336.994499527276
48,48.0,49.0,1.0,84,45,39,41,4,1650,1628,22,53.57142857142857,7.317073170731707,33,11864.985621361586,-4073.7910115017944
49,49.0,50.0,1.0,60,55,5,50,5,1650,1633,17,91.66666666666666,9.705882352941176,14,15153.815352760514,6793.99956504279
50,50.0,51.0,1.0,66,32,34,28,4,1950,1932,18,48.484848484848484,15.476190476190474,25,22691.757660513016,-6865.999565873106
51,51.0,52.0,1.0,306,148,158,145,3,1050,1039,11,48.36601307189542,1.974921630094044,33,21296.04615913013,6205.883396217501
52,52.0,53.0,1.0,36,35,1,32,3,1350,1337,13,97.22222222222221,9.735576923076922,5,22854.496385387352,-1180.8834052685952
53,53.0,54.0,1.0,48,30,18,27,3,1350,1339,11,62.5,13.636363636363637,18,24029.763831597887,-3216.0002967183495
54,54.0,55.0,1.0,30,30,0,27,3,1200,1191,9,100.0,14.814814814814815,3,20889.58235074006,1216.9998232287455
55,55.0,56.0,1.0,54,37,17,34,3,1500,1485,15,68.51851851851852,8.823529411764707,16,21676.5974324449,-596.0054847118136
56,56.0,57.0,1.0,45,30,15,27,3,1500,1488,12,66.66666666666666,13.888888888888888,13,22049.748179000402,5939.005457582512
57,57.0,58.0,1.0,36,25,11,22,3,1050,1044,6,69.44444444444444,23.863636363636363,12,13004.73440312429,-6676.007958153771
