lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,1.0,1.0,35,5,30,5,0,89,89,0,14.285714285714285,0.0,0,0.0,0.0
1,1.0,2.0,1.0,16,13,3,13,0,83,83,0,81.25,0.0,0,0.0,0.0
2,2.0,3.0,1.0,20,12,8,12,0,122,122,0,60.0,0.0,0,0.0,0.0
3,3.0,4.0,1.0,13,10,3,10,0,140,140,0,76.92307692307693,0.0,0,0.0,0.0
4,4.0,5.0,1.0,19,7,12,7,0,114,114,0,36.84210526315789,0.0,0,0.0,0.0
5,5.0,6.0,1.0,194,155,39,155,0,311,311,0,79.89690721649485,0.0,0,0.0,0.0
6,6.0,7.0,1.0,60,59,1,59,0,233,233,0,98.33333333333333,0.0,0,0.0,0.0
7,7.0,8.0,1.0,30,14,16,14,0,311,311,0,46.666666666666664,0.0,0,0.0,0.0
8,8.0,9.0,1.0,10,7,3,7,0,208,208,0,70.0,0.0,0,0.0,0.0
9,9.0,10.0,1.0,8,6,2,6,0,186,186,0,75.0,0.0,0,0.0,0.0
10,10.0,11.0,1.0,7,5,2,5,0,187,187,0,71.42857142857143,0.0,0,0.0,0.0
11,11.0,12.0,1.0,9,9,0,9,0,257,257,0,100.0,0.0,0,0.0,0.0
12,12.0,13.0,1.0,23,15,8,15,0,363,363,0,65.21739130434783,0.0,0,0.0,0.0
13,13.0,14.0,1.0,7,7,0,7,0,242,242,0,100.0,0.0,0,0.0,0.0
14,14.0,15.0,1.0,10,6,4,6,0,214,214,0,60.0,0.0,0,0.0,0.0
15,15.0,16.0,1.0,15,7,8,7,0,256,256,0,46.666666666666664,0.0,0,0.0,0.0
16,16.0,17.0,1.0,19,10,9,10,0,331,331,0,52.63157894736842,0.0,0,0.0,0.0
17,17.0,18.0,1.0,13,9,4,9,0,350,350,0,69.23076923076923,0.0,0,0.0,0.0
18,18.0,19.0,1.0,13,8,5,8,0,351,351,0,61.53846153846154,0.0,0,0.0,0.0
19,19.0,20.0,1.0,9,5,4,5,0,260,260,0,55.55555555555556,0.0,0,0.0,0.0
20,20.0,21.0,1.0,13,7,6,7,0,292,292,0,53.84615384615385,0.0,0,0.0,0.0
21,21.0,22.0,1.0,107,52,55,52,0,399,399,0,48.598130841121495,0.0,0,0.0,0.0
22,22.0,23.0,1.0,23,14,9,14,0,574,574,0,60.86956521739131,0.0,2,0.0,0.0
23,23.0,24.0,1.0,10,8,2,8,0,244,244,0,80.0,0.0,0,0.0,0.0
24,24.0,25.0,1.0,22,15,7,15,0,497,497,0,68.18181818181817,0.0,3,0.0,0.0
25,25.0,26.0,1.0,8,7,1,7,0,250,250,0,87.5,0.0,2,0.0,0.0
26,26.0,27.0,1.0,8,6,2,6,0,250,250,0,75.0,0.0,2,0.0,0.0
27,27.0,28.0,1.0,8,4,4,4,0,300,300,0,50.0,0.0,0,0.0,0.0
28,28.0,29.0,1.0,9,8,1,8,0,350,350,0,88.88888888888889,0.0,4,0.0,0.0
29,29.0,30.0,1.0,8,6,2,6,0,300,300,0,75.0,0.0,1,0.0,0.0
30,30.0,31.0,1.0,17,9,8,9,0,600,600,0,52.94117647058824,0.0,9,0.0,0.0
31,31.0,32.0,1.0,18,15,3,15,0,500,500,0,83.33333333333334,0.0,4,0.0,0.0
32,32.0,33.0,1.0,24,18,6,18,0,550,550,0,75.0,0.0,1,0.0,0.0
33,33.0,34.0,1.0,20,15,5,15,0,550,550,0,75.0,0.0,9,0.0,0.0
34,34.0,35.0,1.0,23,13,10,13,0,600,600,0,56.52173913043478,0.0,10,0.0,0.0
35,35.0,36.0,1.0,28,24,4,24,0,500,500,0,85.71428571428571,0.0,2,0.0,0.0
36,36.0,37.0,1.0,6,5,1,5,0,250,250,0,83.33333333333334,0.0,3,0.0,0.0
37,37.0,38.0,1.0,19,12,7,12,0,400,400,0,63.1578947368421,0.0,6,0.0,0.0
38,38.0,39.0,1.0,11,11,0,11,0,400,400,0,100.0,0.0,0,0.0,0.0
39,39.0,40.0,1.0,9,4,5,4,0,400,400,0,44.44444444444444,0.0,4,0.0,0.0
40,40.0,41.0,1.0,8,5,3,5,0,350,350,0,62.5,0.0,2,0.0,0.0
41,41.0,42.0,1.0,15,9,6,9,0,500,500,0,60.0,0.0,7,0.0,0.0
42,42.0,43.0,1.0,13,9,4,9,0,500,500,0,69.23076923076923,0.0,5,0.0,0.0
43,43.0,44.0,1.0,24,12,12,12,0,700,700,0,50.0,0.0,10,0.0,0.0
44,44.0,45.0,1.0,35,19,16,19,0,600,600,0,54.285714285714285,0.0,18,0.0,0.0
45,45.0,46.0,1.0,32,18,14,18,0,750,750,0,56.25,0.0,6,0.0,0.0
46,46.0,47.0,1.0,16,11,5,11,0,450,450,0,68.75,0.0,5,0.0,0.0
47,47.0,48.0,1.0,21,19,2,19,0,550,550,0,90.47619047619048,0.0,2,0.0,0.0
48,48.0,49.0,1.0,28,16,12,16,0,550,550,0,57.14285714285714,0.0,10,0.0,0.0
49,49.0,50.0,1.0,20,17,3,17,0,550,550,0,85.0,0.0,6,0.0,0.0
50,50.0,51.0,1.0,22,11,11,11,0,650,650,0,50.0,0.0,8,0.0,0.0
51,51.0,52.0,1.0,102,49,53,49,0,350,350,0,48.03921568627451,0.0,10,0.0,0.0
52,52.0,53.0,1.0,12,11,1,11,0,450,450,0,91.66666666666666,0.0,1,0.0,0.0
53,53.0,54.0,1.0,16,10,6,10,0,450,450,0,62.5,0.0,5,0.0,0.0
54,54.0,55.0,1.0,10,10,0,10,0,400,400,0,100.0,0.0,1,0.0,0.0
55,55.0,56.0,1.0,18,13,5,13,0,500,500,0,72.22222222222221,0.0,5,0.0,0.0
56,56.0,57.0,1.0,15,10,5,10,0,500,500,0,66.66666666666666,0.0,4,0.0,0.0
57,57.0,58.0,1.0,12,7,5,7,0,350,350,0,58.333333333333336,0.0,4,0.0,0.0
58,58.0,59.0,1.0,18,15,3,15,0,500,500,0,83.33333333333334,0.0,5,0.0,0.0
59,59.0,60.0,1.0,18,16,2,16,0,450,450,0,88.88888888888889,0.0,2,0.0,0.0
60,60.0,61.0,1.0,23,16,7,16,0,600,600,0,69.56521739130434,0.0,5,0.0,0.0
61,61.0,62.0,1.0,168,133,35,133,0,650,650,0,79.16666666666666,0.0,22,0.0,0.0
62,62.0,63.0,1.0,42,37,5,37,0,600,600,0,88.09523809523809,0.0,2,0.0,0.0
63,63.0,64.0,1.0,24,13,11,13,0,600,600,0,54.166666666666664,0.0,13,0.0,0.0
64,64.0,65.0,1.0,17,14,3,14,0,450,450,0,82.35294117647058,0.0,3,0.0,0.0
65,65.0,66.0,1.0,36,9,27,9,0,500,500,0,25.0,0.0,14,0.0,0.0
66,66.0,67.0,1.0,19,11,8,11,0,500,500,0,57.89473684210527,0.0,6,0.0,0.0
67,67.0,68.0,1.0,23,14,9,14,0,650,650,0,60.86956521739131,0.0,7,0.0,0.0
68,68.0,69.0,1.0,23,8,15,8,0,450,450,0,34.78260869565217,0.0,14,0.0,0.0
69,69.0,70.0,1.0,14,10,4,10,0,450,450,0,71.42857142857143,0.0,5,0.0,0.0
70,70.0,71.0,1.0,17,8,9,8,0,450,450,0,47.05882352941176,0.0,7,0.0,0.0
71,71.0,72.0,1.0,12,6,6,6,0,350,350,0,50.0,0.0,6,0.0,0.0
72,72.0,73.0,1.0,12,5,7,5,0,400,400,0,41.66666666666667,0.0,4,0.0,0.0
73,73.0,74.0,1.0,8,3,5,3,0,350,350,0,37.5,0.0,6,0.0,0.0
74,74.0,75.0,1.0,25,6,19,6,0,400,400,0,24.0,0.0,20,0.0,0.0
75,75.0,76.0,1.0,15,7,8,7,0,450,450,0,46.666666666666664,0.0,2,0.0,0.0
76,76.0,77.0,1.0,6,5,1,5,0,250,250,0,83.33333333333334,0.0,1,0.0,0.0
77,77.0,78.0,1.0,9,9,0,9,0,350,350,0,100.0,0.0,1,0.0,0.0
78,78.0,79.0,1.0,22,9,13,9,0,500,500,0,40.909090909090914,0.0,7,0.0,0.0
79,79.0,80.0,1.0,12,6,6,6,0,400,400,0,50.0,0.0,9,0.0,0.0
80,80.0,81.0,1.0,9,5,4,5,0,250,250,0,55.55555555555556,0.0,3,0.0,0.0
81,81.0,82.0,1.0,105,52,53,52,0,550,550,0,49.523809523809526,0.0,7,0.0,0.0
82,82.0,83.0,1.0,6,6,0,6,0,300,300,0,100.0,0.0,1,0.0,0.0
83,83.0,84.0,1.0,17,6,11,6,0,500,500,0,35.294117647058826,0.0,9,0.0,0.0
84,84.0,85.0,1.0,14,7,7,7,0,400,400,0,50.0,0.0,6,0.0,0.0
85,85.0,86.0,1.0,21,14,7,14,0,500,500,0,66.66666666666666,0.0,9,0.0,0.0
86,86.0,87.0,1.0,13,9,4,9,0,450,450,0,69.23076923076923,0.0,4,0.0,0.0
87,87.0,88.0,1.0,9,7,2,7,0,300,300,0,77.77777777777779,0.0,3,0.0,0.0
88,88.0,89.0,1.0,14,11,3,11,0,500,500,0,78.57142857142857,0.0,3,0.0,0.0
89,89.0,90.0,1.0,18,9,9,9,0,500,500,0,50.0,0.0,6,0.0,0.0
90,90.0,91.0,1.0,27,19,8,19,0,600,600,0,70.37037037037037,0.0,10,0.0,0.0
91,91.0,92.0,1.0,18,13,5,13,0,500,500,0,72.22222222222221,0.0,5,0.0,0.0
92,92.0,93.0,1.0,14,12,2,12,0,450,450,0,85.71428571428571,0.0,1,0.0,0.0
93,93.0,94.0,1.0,37,37,0,37,0,450,450,0,100.0,0.0,1,0.0,0.0
94,94.0,95.0,1.0,7,7,0,7,0,350,350,0,100.0,0.0,0,0.0,0.0
95,95.0,96.0,1.0,26,12,14,12,0,400,400,0,46.15384615384615,0.0,2,0.0,0.0
96,96.0,97.0,1.0,14,14,0,14,0,600,600,0,100.0,0.0,0,0.0,0.0
97,97.0,98.0,1.0,18,11,7,11,0,500,500,0,61.111111111111114,0.0,6,0.0,0.0
98,98.0,99.0,1.0,12,11,1,11,0,450,450,0,91.66666666666666,0.0,1,0.0,0.0
99,99.0,100.0,1.0,11,10,1,10,0,400,400,0,90.9090909090909,0.0,0,0.0,0.0
100,100.0,101.0,1.0,8,6,2,6,0,250,250,0,75.0,0.0,1,0.0,0.0
101,101.0,102.0,1.0,7,6,1,6,0,300,300,0,85.71428571428571,0.0,0,0.0,0.0
102,102.0,103.0,1.0,78,64,14,64,0,550,550,0,82.05128205128204,0.0,12,0.0,0.0
103,103.0,104.0,1.0,15,8,7,8,0,400,400,0,53.333333333333336,0.0,9,0.0,0.0
104,104.0,105.0,1.0,10,9,1,9,0,350,350,0,90.0,0.0,2,0.0,0.0
105,105.0,106.0,1.0,33,30,3,30,0,450,450,0,90.9090909090909,0.0,3,0.0,0.0
106,106.0,107.0,1.0,11,10,1,10,0,400,400,0,90.9090909090909,0.0,1,0.0,0.0
107,107.0,108.0,1.0,14,13,1,13,0,450,450,0,92.85714285714286,0.0,1,0.0,0.0
108,108.0,109.0,1.0,14,9,5,9,0,500,500,0,64.28571428571429,0.0,3,0.0,0.0
109,109.0,110.0,1.0,12,10,2,10,0,350,350,0,83.33333333333334,0.0,4,0.0,0.0
110,110.0,111.0,1.0,12,10,2,10,0,400,400,0,83.33333333333334,0.0,0,0.0,0.0
111,111.0,112.0,1.0,110,107,3,107,0,600,600,0,97.27272727272728,0.0,4,0.0,0.0
112,112.0,113.0,1.0,11,9,2,9,0,350,350,0,81.81818181818183,0.0,1,0.0,0.0
113,113.0,114.0,1.0,22,10,12,10,0,500,500,0,45.45454545454545,0.0,12,0.0,0.0
114,114.0,115.0,1.0,9,9,0,9,0,400,400,0,100.0,0.0,2,0.0,0.0
115,115.0,116.0,1.0,13,8,5,8,0,450,450,0,61.53846153846154,0.0,3,0.0,0.0
116,116.0,117.0,1.0,16,10,6,10,0,500,500,0,62.5,0.0,6,0.0,0.0
117,117.0,118.0,1.0,16,12,4,12,0,550,550,0,75.0,0.0,5,0.0,0.0
118,118.0,119.0,1.0,20,9,11,9,0,500,500,0,45.0,0.0,10,0.0,0.0
119,119.0,120.0,1.0,17,13,4,13,0,550,550,0,76.47058823529412,0.0,5,0.0,0.0
120,120.0,121.0,1.0,16,11,5,11,0,550,550,0,68.75,0.0,4,0.0,0.0
121,121.0,122.0,1.0,28,17,11,17,0,600,600,0,60.71428571428571,0.0,10,0.0,0.0
122,122.0,123.0,1.0,25,18,7,18,0,550,550,0,72.0,0.0,4,0.0,0.0
123,123.0,124.0,1.0,13,8,5,8,0,450,450,0,61.53846153846154,0.0,8,0.0,0.0
124,124.0,125.0,1.0,11,9,2,9,0,400,400,0,81.81818181818183,0.0,1,0.0,0.0
125,125.0,126.0,1.0,31,22,9,22,0,450,450,0,70.96774193548387,0.0,10,0.0,0.0
126,126.0,127.0,1.0,21,12,9,12,0,600,600,0,57.14285714285714,0.0,9,0.0,0.0
127,127.0,128.0,1.0,16,8,8,8,0,300,300,0,50.0,0.0,6,0.0,0.0
128,128.0,129.0,1.0,16,10,6,10,0,500,500,0,62.5,0.0,6,0.0,0.0
129,129.0,130.0,1.0,15,10,5,10,0,500,500,0,66.66666666666666,0.0,6,0.0,0.0
130,130.0,131.0,1.0,17,12,5,12,0,450,450,0,70.58823529411765,0.0,2,0.0,0.0
131,131.0,132.0,1.0,13,9,4,9,0,450,450,0,69.23076923076923,0.0,6,0.0,0.0
132,132.0,133.0,1.0,13,9,4,9,0,400,400,0,69.23076923076923,0.0,4,0.0,0.0
133,133.0,134.0,1.0,12,8,4,8,0,450,450,0,66.66666666666666,0.0,4,0.0,0.0
134,134.0,135.0,1.0,13,7,6,7,0,450,450,0,53.84615384615385,0.0,4,0.0,0.0
135,135.0,136.0,1.0,21,10,11,10,0,400,400,0,47.61904761904761,0.0,6,0.0,0.0
136,136.0,137.0,1.0,9,8,1,8,0,350,350,0,88.88888888888889,0.0,1,0.0,0.0
137,137.0,138.0,1.0,12,7,5,7,0,300,300,0,58.333333333333336,0.0,4,0.0,0.0
138,138.0,139.0,1.0,34,17,17,17,0,450,450,0,50.0,0.0,12,0.0,0.0
139,139.0,140.0,1.0,10,6,4,6,0,300,300,0,60.0,0.0,7,0.0,0.0
140,140.0,141.0,1.0,14,10,4,10,0,450,450,0,71.42857142857143,0.0,4,0.0,0.0
141,141.0,142.0,1.0,104,52,52,52,0,500,500,0,50.0,0.0,7,0.0,0.0
142,142.0,143.0,1.0,7,7,0,7,0,350,350,0,100.0,0.0,0,0.0,0.0
143,143.0,144.0,1.0,58,46,12,46,0,400,400,0,79.3103448275862,0.0,8,0.0,0.0
144,144.0,145.0,1.0,13,11,2,11,0,550,550,0,84.61538461538461,0.0,4,0.0,0.0
145,145.0,146.0,1.0,11,7,4,7,0,350,350,0,63.63636363636363,0.0,3,0.0,0.0
146,146.0,147.0,1.0,15,12,3,12,0,400,400,0,80.0,0.0,2,0.0,0.0
147,147.0,148.0,1.0,13,13,0,13,0,350,350,0,100.0,0.0,2,0.0,0.0
148,148.0,149.0,1.0,8,8,0,8,0,250,250,0,100.0,0.0,0,0.0,0.0
149,149.0,150.0,1.0,9,5,4,5,0,350,350,0,55.55555555555556,0.0,1,0.0,0.0
150,150.0,151.0,1.0,17,12,5,12,0,500,500,0,70.58823529411765,0.0,8,0.0,0.0
151,151.0,152.0,1.0,17,13,4,13,0,450,450,0,76.47058823529412,0.0,2,0.0,0.0
152,152.0,153.0,1.0,17,10,7,10,0,400,400,0,58.82352941176471,0.0,9,0.0,0.0
153,153.0,154.0,1.0,8,2,6,2,0,150,150,0,25.0,0.0,5,0.0,0.0
154,154.0,155.0,1.0,7,4,3,4,0,300,300,0,57.14285714285714,0.0,1,0.0,0.0
155,155.0,156.0,1.0,22,5,17,5,0,400,400,0,22.727272727272727,0.0,6,0.0,0.0
156,156.0,157.0,1.0,13,11,2,11,0,500,500,0,84.61538461538461,0.0,4,0.0,0.0
157,157.0,158.0,1.0,25,18,7,18,0,600,600,0,72.0,0.0,6,0.0,0.0
158,158.0,159.0,1.0,17,15,2,15,0,600,600,0,88.23529411764706,0.0,1,0.0,0.0
159,159.0,160.0,1.0,7,7,0,7,0,300,300,0,100.0,0.0,1,0.0,0.0
160,160.0,161.0,1.0,5,4,1,4,0,250,250,0,80.0,0.0,0,0.0,0.0
161,161.0,162.0,1.0,12,11,1,11,0,450,450,0,91.66666666666666,0.0,1,0.0,0.0
162,162.0,163.0,1.0,69,51,18,51,0,600,600,0,73.91304347826086,0.0,15,0.0,0.0
163,163.0,164.0,1.0,54,48,6,48,0,500,500,0,88.88888888888889,0.0,9,0.0,0.0
164,164.0,165.0,1.0,14,11,3,11,0,450,450,0,78.57142857142857,0.0,1,0.0,0.0
165,165.0,166.0,1.0,30,13,17,13,0,450,450,0,43.333333333333336,0.0,12,0.0,0.0
166,166.0,167.0,1.0,14,13,1,13,0,350,350,0,92.85714285714286,0.0,1,0.0,0.0
167,167.0,168.0,1.0,18,14,4,14,0,400,400,0,77.77777777777779,0.0,2,0.0,0.0
168,168.0,169.0,1.0,26,20,6,20,0,700,700,0,76.92307692307693,0.0,5,0.0,0.0
169,169.0,170.0,1.0,7,5,2,5,0,350,350,0,71.42857142857143,0.0,3,0.0,0.0
170,170.0,171.0,1.0,16,10,6,10,0,550,550,0,62.5,0.0,4,0.0,0.0
171,171.0,172.0,1.0,107,102,5,102,0,450,450,0,95.32710280373831,0.0,6,0.0,0.0
172,172.0,173.0,1.0,14,6,8,6,0,450,450,0,42.857142857142854,0.0,9,0.0,0.0
173,173.0,174.0,1.0,14,6,8,6,0,400,400,0,42.857142857142854,0.0,6,0.0,0.0
174,174.0,175.0,1.0,9,7,2,7,0,400,400,0,77.77777777777779,0.0,2,0.0,0.0
175,175.0,176.0,1.0,14,9,5,9,0,350,350,0,64.28571428571429,0.0,6,0.0,0.0
176,176.0,177.0,1.0,9,9,0,9,0,300,300,0,100.0,0.0,1,0.0,0.0
177,177.0,178.0,1.0,16,13,3,13,0,350,350,0,81.25,0.0,3,0.0,0.0
178,178.0,179.0,1.0,25,12,13,12,0,550,550,0,48.0,0.0,12,0.0,0.0
179,179.0,180.0,1.0,16,7,9,7,0,350,350,0,43.75,0.0,7,0.0,0.0
180,180.0,181.0,1.0,14,8,6,8,0,450,450,0,57.14285714285714,0.0,7,0.0,0.0
181,181.0,182.0,1.0,19,15,4,15,0,550,550,0,78.94736842105263,0.0,5,0.0,0.0
182,182.0,183.0,1.0,17,9,8,9,0,400,400,0,52.94117647058824,0.0,5,0.0,0.0
183,183.0,184.0,1.0,21,3,18,3,0,350,350,0,14.285714285714285,0.0,16,0.0,0.0
184,184.0,185.0,1.0,9,7,2,7,0,300,300,0,77.77777777777779,0.0,3,0.0,0.0
185,185.0,186.0,1.0,30,21,9,21,0,450,450,0,70.0,0.0,10,0.0,0.0
186,186.0,187.0,1.0,10,4,6,4,0,300,300,0,40.0,0.0,6,0.0,0.0
187,187.0,188.0,1.0,26,12,14,12,0,500,500,0,46.15384615384615,0.0,12,0.0,0.0
188,188.0,189.0,1.0,15,10,5,10,0,450,450,0,66.66666666666666,0.0,7,0.0,0.0
189,189.0,190.0,1.0,11,6,5,6,0,400,400,0,54.54545454545454,0.0,5,0.0,0.0
190,190.0,191.0,1.0,19,13,6,13,0,500,500,0,68.42105263157895,0.0,7,0.0,0.0
191,191.0,192.0,1.0,17,10,7,10,0,450,450,0,58.82352941176471,0.0,6,0.0,0.0
192,192.0,193.0,1.0,29,14,15,14,0,500,500,0,48.275862068965516,0.0,16,0.0,0.0
193,193.0,194.0,1.0,13,7,6,7,0,350,350,0,53.84615384615385,0.0,5,0.0,0.0
194,194.0,195.0,1.0,16,14,2,14,0,500,500,0,87.5,0.0,2,0.0,0.0
195,195.0,196.0,1.0,23,6,17,6,0,400,400,0,26.08695652173913,0.0,7,0.0,0.0
196,196.0,197.0,1.0,8,5,3,5,0,350,350,0,62.5,0.0,2,0.0,0.0
197,197.0,198.0,1.0,20,11,9,11,0,500,500,0,55.00000000000001,0.0,11,0.0,0.0
198,198.0,199.0,1.0,26,17,9,17,0,550,550,0,65.38461538461539,0.0,5,0.0,0.0
199,199.0,200.0,1.0,9,7,2,7,0,450,450,0,77.77777777777779,0.0,3,0.0,0.0
200,200.0,201.0,1.0,7,5,2,5,0,350,350,0,71.42857142857143,0.0,3,0.0,0.0
201,201.0,202.0,1.0,5,4,1,4,0,250,250,0,80.0,0.0,0,0.0,0.0
202,202.0,203.0,1.0,3,2,1,2,0,150,150,0,66.66666666666666,0.0,2,0.0,0.0
