lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,1.0,1.0,105,3,102,0,3,2400,0,2400,2.857142857142857,0.0,1940,0.0,0.0
1,1.0,2.0,1.0,48,5,43,0,5,1200,0,1200,10.416666666666668,0.0,1189,0.0,0.0
2,2.0,3.0,1.0,60,3,57,0,3,1650,0,1650,5.0,0.0,1634,0.0,0.0
3,3.0,4.0,1.0,39,2,37,0,2,1500,0,1500,5.128205128205128,0.0,1472,0.0,0.0
4,4.0,5.0,1.0,57,7,50,0,7,1050,0,1050,12.280701754385964,0.0,1028,0.0,0.0
5,5.0,6.0,1.0,582,13,569,0,13,1950,0,1950,2.2336769759450172,0.0,1877,0.0,0.0
6,6.0,7.0,1.0,180,6,174,0,6,1350,0,1350,3.3333333333333335,0.0,1289,0.0,0.0
7,7.0,8.0,1.0,90,8,82,0,8,1800,0,1800,8.88888888888889,0.0,1744,0.0,0.0
8,8.0,9.0,1.0,30,5,25,0,5,1050,0,1050,16.666666666666664,0.0,1006,0.0,0.0
9,9.0,10.0,1.0,24,5,19,0,5,900,0,900,20.833333333333336,0.0,854,0.0,0.0
10,10.0,11.0,1.0,21,4,17,0,4,900,0,900,19.047619047619047,0.0,856,0.0,0.0
11,11.0,12.0,1.0,27,9,18,0,9,1200,0,1200,33.33333333333333,0.0,1129,0.0,0.0
12,12.0,13.0,1.0,69,11,58,0,11,1650,0,1650,15.942028985507244,0.0,1551,0.0,0.0
13,13.0,14.0,1.0,21,5,16,0,5,1050,0,1050,23.809523809523807,0.0,984,0.0,0.0
14,14.0,15.0,1.0,30,4,26,0,4,900,0,900,13.333333333333334,0.0,848,0.0,0.0
15,15.0,16.0,1.0,45,28,17,0,28,1050,0,1050,62.22222222222222,0.0,983,0.0,0.0
16,16.0,17.0,1.0,57,7,50,0,7,1350,0,1350,12.280701754385964,0.0,1249,0.0,0.0
17,17.0,18.0,1.0,39,7,32,0,7,1350,0,1350,17.94871794871795,0.0,1252,0.0,0.0
18,18.0,19.0,1.0,39,5,34,0,5,1350,0,1350,12.82051282051282,0.0,1245,0.0,0.0
19,19.0,20.0,1.0,27,6,21,0,6,900,0,900,22.22222222222222,0.0,816,0.0,0.0
20,20.0,21.0,1.0,39,10,29,0,10,1050,0,1050,25.64102564102564,0.0,959,0.0,0.0
21,21.0,22.0,1.0,321,32,289,0,32,1350,0,1350,9.968847352024921,0.0,1230,0.0,0.0
22,22.0,23.0,1.0,69,12,57,0,12,1800,0,1800,17.391304347826086,0.0,1619,0.0,0.0
23,23.0,24.0,1.0,30,7,23,0,7,750,0,750,23.333333333333332,0.0,669,0.0,0.0
24,24.0,25.0,1.0,66,12,54,0,12,1500,0,1500,18.181818181818183,0.0,1362,0.0,0.0
