second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,105.0,24.0,9.0,15.0,192.0,2208.0,2400.0,22.857142857142858,1.8115942028985508
1,48.0,27.0,18.0,9.0,144.0,1056.0,1200.0,56.25,0.5681818181818182
2,60.0,33.0,27.0,6.0,255.0,1395.0,1650.0,55.00000000000001,0.2628434886499402
3,39.0,27.0,21.0,6.0,264.0,1236.0,1500.0,69.23076923076923,0.34674063800277394
4,57.0,21.0,18.0,3.0,195.0,855.0,1050.0,36.84210526315789,0.2046783625730994
5,582.0,465.0,462.0,3.0,621.0,1329.0,1950.0,79.89690721649485,0.00952771833133007
6,180.0,177.0,174.0,3.0,489.0,861.0,1350.0,98.33333333333333,0.02703352156674276
7,90.0,45.0,39.0,6.0,612.0,1188.0,1800.0,50.0,0.2331002331002331
8,30.0,21.0,15.0,6.0,381.0,669.0,1050.0,70.0,0.6278026905829597
9,24.0,18.0,12.0,6.0,336.0,564.0,900.0,75.0,0.7978723404255319
10,21.0,15.0,12.0,3.0,360.0,540.0,900.0,71.42857142857143,0.4166666666666667
11,27.0,21.0,15.0,6.0,465.0,735.0,1200.0,77.77777777777779,0.6530612244897959
12,69.0,39.0,24.0,15.0,699.0,951.0,1650.0,56.52173913043478,1.084384858044164
13,21.0,21.0,9.0,12.0,483.0,567.0,1050.0,100.0,2.4691358024691357
14,30.0,18.0,12.0,6.0,438.0,462.0,900.0,60.0,0.9740259740259741
15,45.0,21.0,12.0,9.0,477.0,573.0,1050.0,46.666666666666664,1.37434554973822
16,57.0,27.0,18.0,9.0,627.0,723.0,1350.0,47.368421052631575,0.9336099585062241
17,39.0,27.0,18.0,9.0,642.0,708.0,1350.0,69.23076923076923,0.9533898305084745
18,39.0,24.0,15.0,9.0,564.0,786.0,1350.0,61.53846153846154,1.0305343511450382
19,27.0,12.0,6.0,6.0,528.0,372.0,900.0,44.44444444444444,2.4193548387096775
20,39.0,21.0,18.0,3.0,462.0,588.0,1050.0,53.84615384615385,0.29761904761904756
21,321.0,150.0,141.0,9.0,624.0,726.0,1350.0,46.728971962616825,0.11869175312115349
22,69.0,45.0,24.0,21.0,1119.0,681.0,1800.0,65.21739130434783,2.3127753303964758
23,30.0,24.0,15.0,9.0,522.0,228.0,750.0,80.0,1.9736842105263157
24,66.0,42.0,21.0,21.0,831.0,669.0,1500.0,63.63636363636363,2.242152466367713
25,24.0,24.0,0.0,24.0,342.0,408.0,750.0,100.0,0.0
26,24.0,15.0,3.0,12.0,396.0,354.0,750.0,62.5,8.474576271186441
27,24.0,12.0,3.0,9.0,495.0,405.0,900.0,50.0,6.666666666666666
28,27.0,27.0,15.0,12.0,576.0,474.0,1050.0,100.0,1.7721518987341773
29,24.0,18.0,6.0,12.0,459.0,441.0,900.0,75.0,4.081632653061225
30,51.0,33.0,3.0,30.0,1119.0,681.0,1800.0,64.70588235294117,26.431718061674008
31,54.0,54.0,24.0,30.0,906.0,594.0,1500.0,100.0,3.1565656565656566
32,72.0,54.0,12.0,42.0,1056.0,594.0,1650.0,75.0,9.722222222222223
33,60.0,42.0,6.0,36.0,1134.0,516.0,1650.0,70.0,19.186046511627907
34,69.0,36.0,6.0,30.0,1194.0,606.0,1800.0,52.17391304347826,14.851485148514852
35,84.0,66.0,51.0,15.0,1119.0,381.0,1500.0,78.57142857142857,1.1579434923575729
36,18.0,15.0,3.0,12.0,549.0,201.0,750.0,83.33333333333334,14.925373134328357
37,57.0,30.0,21.0,9.0,891.0,309.0,1200.0,52.63157894736842,1.6643550624133148
38,33.0,30.0,18.0,12.0,873.0,327.0,1200.0,90.9090909090909,2.4464831804281344
39,27.0,12.0,3.0,9.0,996.0,204.0,1200.0,44.44444444444444,17.64705882352941
40,24.0,18.0,3.0,15.0,825.0,225.0,1050.0,75.0,23.333333333333336
41,45.0,24.0,9.0,15.0,1167.0,333.0,1500.0,53.333333333333336,7.5075075075075075
42,39.0,15.0,3.0,12.0,1317.0,183.0,1500.0,38.46153846153847,32.78688524590164
43,72.0,36.0,24.0,12.0,1863.0,237.0,2100.0,50.0,4.4303797468354436
44,105.0,54.0,24.0,30.0,1695.0,105.0,1800.0,51.42857142857142,21.428571428571427
45,96.0,54.0,30.0,24.0,2157.0,93.0,2250.0,56.25,19.35483870967742
46,48.0,30.0,24.0,6.0,1305.0,45.0,1350.0,62.5,7.5
47,63.0,57.0,48.0,9.0,1560.0,90.0,1650.0,90.47619047619048,3.4375
48,84.0,48.0,42.0,6.0,1548.0,102.0,1650.0,57.14285714285714,2.310924369747899
49,60.0,57.0,48.0,9.0,1566.0,84.0,1650.0,95.0,3.683035714285714
50,66.0,36.0,27.0,9.0,1842.0,108.0,1950.0,54.54545454545454,6.018518518518518
51,306.0,150.0,141.0,9.0,996.0,54.0,1050.0,49.01960784313725,1.2411347517730495
52,36.0,36.0,24.0,12.0,1266.0,84.0,1350.0,100.0,8.035714285714286
53,48.0,30.0,21.0,9.0,1290.0,60.0,1350.0,62.5,9.642857142857142
54,30.0,30.0,21.0,9.0,1158.0,42.0,1200.0,100.0,12.244897959183671
55,54.0,39.0,30.0,9.0,1431.0,69.0,1500.0,72.22222222222221,6.521739130434782
56,45.0,36.0,27.0,9.0,1446.0,54.0,1500.0,80.0,9.25925925925926
57,36.0,21.0,15.0,6.0,1032.0,18.0,1050.0,58.333333333333336,23.333333333333332
58,54.0,45.0,39.0,6.0,1470.0,30.0,1500.0,83.33333333333334,7.6923076923076925
59,54.0,45.0,39.0,6.0,1326.0,24.0,1350.0,83.33333333333334,8.653846153846155
60,69.0,48.0,45.0,3.0,1776.0,24.0,1800.0,69.56521739130434,5.0
61,504.0,396.0,384.0,12.0,1920.0,30.0,1950.0,78.57142857142857,2.03125
62,126.0,108.0,102.0,6.0,1773.0,27.0,1800.0,85.71428571428571,3.9215686274509807
63,72.0,39.0,33.0,6.0,1788.0,12.0,1800.0,54.166666666666664,27.272727272727273
64,51.0,42.0,36.0,6.0,1338.0,12.0,1350.0,82.35294117647058,18.75
65,108.0,27.0,21.0,6.0,1473.0,27.0,1500.0,25.0,15.873015873015873
66,57.0,30.0,24.0,6.0,1488.0,12.0,1500.0,52.63157894736842,31.25
67,69.0,42.0,36.0,6.0,1896.0,54.0,1950.0,60.86956521739131,6.018518518518518
68,69.0,27.0,21.0,6.0,1311.0,39.0,1350.0,39.130434782608695,9.89010989010989
69,42.0,30.0,24.0,6.0,1305.0,45.0,1350.0,71.42857142857143,7.5
70,51.0,21.0,15.0,6.0,1323.0,27.0,1350.0,41.17647058823529,20.0
71,36.0,18.0,15.0,3.0,1041.0,9.0,1050.0,50.0,23.333333333333332
72,36.0,15.0,12.0,3.0,1176.0,24.0,1200.0,41.66666666666667,12.5
73,24.0,12.0,3.0,9.0,1014.0,36.0,1050.0,50.0,87.5
74,75.0,27.0,21.0,6.0,1158.0,42.0,1200.0,36.0,8.163265306122447
75,45.0,18.0,9.0,9.0,1290.0,60.0,1350.0,40.0,22.5
76,18.0,18.0,9.0,9.0,717.0,33.0,750.0,100.0,22.72727272727273
77,27.0,27.0,18.0,9.0,1020.0,30.0,1050.0,100.0,17.5
78,66.0,30.0,24.0,6.0,1443.0,57.0,1500.0,45.45454545454545,6.578947368421053
79,36.0,21.0,12.0,9.0,1152.0,48.0,1200.0,58.333333333333336,18.75
80,27.0,18.0,9.0,9.0,702.0,48.0,750.0,66.66666666666666,15.625
81,315.0,153.0,147.0,6.0,1608.0,42.0,1650.0,48.57142857142857,1.6034985422740522
82,18.0,15.0,9.0,6.0,879.0,21.0,900.0,83.33333333333334,28.57142857142857
83,51.0,18.0,12.0,6.0,1464.0,36.0,1500.0,35.294117647058826,20.833333333333332
84,42.0,27.0,21.0,6.0,1167.0,33.0,1200.0,64.28571428571429,10.38961038961039
85,63.0,42.0,33.0,9.0,1452.0,48.0,1500.0,66.66666666666666,8.522727272727272
86,39.0,21.0,12.0,9.0,1311.0,39.0,1350.0,53.84615384615385,25.961538461538463
87,27.0,21.0,9.0,12.0,873.0,27.0,900.0,77.77777777777779,44.44444444444444
88,42.0,33.0,24.0,9.0,1467.0,33.0,1500.0,78.57142857142857,17.045454545454547
89,54.0,27.0,21.0,6.0,1473.0,27.0,1500.0,50.0,15.873015873015873
90,81.0,60.0,51.0,9.0,1752.0,48.0,1800.0,74.07407407407408,6.617647058823529
91,54.0,39.0,27.0,12.0,1458.0,42.0,1500.0,72.22222222222221,15.873015873015872
92,42.0,36.0,24.0,12.0,1320.0,30.0,1350.0,85.71428571428571,22.5
93,111.0,111.0,96.0,15.0,1329.0,21.0,1350.0,100.0,10.044642857142858
94,21.0,21.0,9.0,12.0,1026.0,24.0,1050.0,100.0,58.33333333333333
95,78.0,33.0,24.0,9.0,1164.0,36.0,1200.0,42.30769230769231,12.5
96,42.0,39.0,30.0,9.0,1758.0,42.0,1800.0,92.85714285714286,12.857142857142856
97,54.0,33.0,24.0,9.0,1476.0,24.0,1500.0,61.111111111111114,23.4375
98,36.0,27.0,24.0,3.0,1335.0,15.0,1350.0,75.0,11.25
99,33.0,33.0,21.0,12.0,1176.0,24.0,1200.0,100.0,28.57142857142857
100,24.0,18.0,18.0,0.0,735.0,15.0,750.0,75.0,0.0
101,21.0,18.0,15.0,3.0,885.0,15.0,900.0,85.71428571428571,12.0
102,234.0,189.0,186.0,3.0,1635.0,15.0,1650.0,80.76923076923077,1.7741935483870968
103,45.0,27.0,24.0,3.0,1194.0,6.0,1200.0,60.0,25.0
104,30.0,27.0,24.0,3.0,1044.0,6.0,1050.0,90.0,21.875
105,99.0,90.0,87.0,3.0,1338.0,12.0,1350.0,90.9090909090909,3.8793103448275863
106,33.0,30.0,27.0,3.0,1188.0,12.0,1200.0,90.9090909090909,11.11111111111111
107,42.0,42.0,36.0,6.0,1320.0,30.0,1350.0,100.0,7.499999999999999
108,42.0,27.0,18.0,9.0,1413.0,87.0,1500.0,64.28571428571429,8.620689655172413
109,36.0,33.0,21.0,12.0,972.0,78.0,1050.0,91.66666666666666,7.692307692307692
110,36.0,24.0,12.0,12.0,1113.0,87.0,1200.0,66.66666666666666,13.793103448275863
111,330.0,324.0,303.0,21.0,1647.0,153.0,1800.0,98.18181818181819,0.81537565521258
112,33.0,27.0,12.0,15.0,939.0,111.0,1050.0,81.81818181818183,11.824324324324325
113,66.0,27.0,12.0,15.0,1383.0,117.0,1500.0,40.909090909090914,16.025641025641026
114,27.0,18.0,9.0,9.0,1149.0,51.0,1200.0,66.66666666666666,23.52941176470588
115,39.0,27.0,18.0,9.0,1314.0,36.0,1350.0,69.23076923076923,18.75
116,48.0,33.0,24.0,9.0,1461.0,39.0,1500.0,68.75,14.423076923076923
117,48.0,36.0,27.0,9.0,1569.0,81.0,1650.0,75.0,6.790123456790123
118,60.0,36.0,24.0,12.0,1428.0,72.0,1500.0,60.0,10.416666666666666
119,51.0,42.0,27.0,15.0,1566.0,84.0,1650.0,82.35294117647058,10.912698412698413
120,48.0,27.0,12.0,15.0,1542.0,108.0,1650.0,56.25,19.09722222222222
121,84.0,48.0,36.0,12.0,1719.0,81.0,1800.0,57.14285714285714,7.407407407407407
122,75.0,45.0,33.0,12.0,1581.0,69.0,1650.0,60.0,8.695652173913045
123,39.0,18.0,6.0,12.0,1311.0,39.0,1350.0,46.15384615384615,69.23076923076924
124,33.0,21.0,3.0,18.0,1146.0,54.0,1200.0,63.63636363636363,133.33333333333334
125,93.0,75.0,63.0,12.0,1269.0,81.0,1350.0,80.64516129032258,3.1746031746031744
126,63.0,30.0,18.0,12.0,1758.0,42.0,1800.0,47.61904761904761,28.57142857142857
127,48.0,27.0,15.0,12.0,867.0,33.0,900.0,56.25,21.81818181818182
128,48.0,27.0,15.0,12.0,1458.0,42.0,1500.0,56.25,28.571428571428573
129,45.0,27.0,21.0,6.0,1449.0,51.0,1500.0,60.0,8.403361344537814
130,51.0,33.0,27.0,6.0,1314.0,36.0,1350.0,64.70588235294117,8.333333333333332
131,39.0,27.0,15.0,12.0,1305.0,45.0,1350.0,69.23076923076923,24.0
132,39.0,33.0,21.0,12.0,1164.0,36.0,1200.0,84.61538461538461,19.047619047619047
133,36.0,24.0,12.0,12.0,1302.0,48.0,1350.0,66.66666666666666,28.125
134,39.0,18.0,6.0,12.0,1314.0,36.0,1350.0,46.15384615384615,75.0
135,63.0,21.0,12.0,9.0,1155.0,45.0,1200.0,33.33333333333333,20.0
136,27.0,21.0,12.0,9.0,1017.0,33.0,1050.0,77.77777777777779,23.863636363636363
137,36.0,21.0,12.0,9.0,876.0,24.0,900.0,58.333333333333336,28.124999999999996
138,102.0,60.0,51.0,9.0,1296.0,54.0,1350.0,58.82352941176471,4.411764705882353
139,30.0,12.0,9.0,3.0,882.0,18.0,900.0,40.0,16.666666666666664
140,42.0,27.0,18.0,9.0,1305.0,45.0,1350.0,64.28571428571429,15.0
141,312.0,153.0,144.0,9.0,1464.0,36.0,1500.0,49.03846153846153,2.6041666666666665
142,21.0,21.0,9.0,12.0,1020.0,30.0,1050.0,100.0,46.666666666666664
143,174.0,132.0,126.0,6.0,1173.0,27.0,1200.0,75.86206896551724,2.1164021164021163
144,39.0,33.0,21.0,12.0,1617.0,33.0,1650.0,84.61538461538461,28.57142857142857
145,33.0,27.0,18.0,9.0,1029.0,21.0,1050.0,81.81818181818183,25.0
