second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,105.0,15.0,15.0,0.0,261.0,2139.0,2400.0,14.285714285714285,0.0
1,48.0,39.0,30.0,9.0,222.0,978.0,1200.0,81.25,0.36809815950920244
2,60.0,36.0,33.0,3.0,330.0,1320.0,1650.0,60.0,0.11363636363636363
3,39.0,33.0,30.0,3.0,366.0,1134.0,1500.0,84.61538461538461,0.13227513227513227
4,57.0,27.0,21.0,6.0,270.0,780.0,1050.0,47.368421052631575,0.3846153846153846
5,582.0,465.0,417.0,48.0,612.0,1338.0,1950.0,79.89690721649485,0.16775817014549796
6,180.0,174.0,171.0,3.0,423.0,927.0,1350.0,96.66666666666667,0.025549310168625446
7,90.0,48.0,39.0,9.0,570.0,1230.0,1800.0,53.333333333333336,0.3377110694183865
8,30.0,21.0,18.0,3.0,363.0,687.0,1050.0,70.0,0.2547307132459971
9,24.0,18.0,15.0,3.0,312.0,588.0,900.0,75.0,0.30612244897959184
10,21.0,15.0,15.0,0.0,321.0,579.0,900.0,71.42857142857143,0.0
11,27.0,21.0,15.0,6.0,444.0,756.0,1200.0,77.77777777777779,0.634920634920635
12,69.0,30.0,18.0,12.0,609.0,1041.0,1650.0,43.47826086956522,1.0566762728146013
13,21.0,21.0,12.0,9.0,432.0,618.0,1050.0,100.0,1.2742718446601944
14,30.0,15.0,15.0,0.0,393.0,507.0,900.0,50.0,0.0
15,45.0,21.0,12.0,9.0,480.0,570.0,1050.0,46.666666666666664,1.3815789473684212
16,57.0,27.0,18.0,9.0,612.0,738.0,1350.0,47.368421052631575,0.9146341463414634
17,39.0,24.0,18.0,6.0,666.0,684.0,1350.0,61.53846153846154,0.6578947368421052
18,39.0,24.0,15.0,9.0,669.0,681.0,1350.0,61.53846153846154,1.1894273127753303
19,27.0,15.0,6.0,9.0,534.0,366.0,900.0,55.55555555555556,3.6885245901639343
20,39.0,24.0,15.0,9.0,567.0,483.0,1050.0,61.53846153846154,1.3043478260869563
21,321.0,147.0,141.0,6.0,804.0,546.0,1350.0,45.794392523364486,0.10521393500116905
22,69.0,45.0,33.0,12.0,1233.0,567.0,1800.0,65.21739130434783,1.1544011544011543
23,30.0,24.0,12.0,12.0,534.0,216.0,750.0,80.0,3.4722222222222223
24,66.0,42.0,36.0,6.0,1107.0,393.0,1500.0,63.63636363636363,0.6361323155216284
25,24.0,24.0,18.0,6.0,582.0,168.0,750.0,100.0,1.488095238095238
26,24.0,18.0,15.0,3.0,582.0,168.0,750.0,75.0,0.8928571428571429
27,24.0,12.0,9.0,3.0,693.0,207.0,900.0,50.0,1.4492753623188404
28,27.0,27.0,24.0,3.0,840.0,210.0,1050.0,100.0,0.625
29,24.0,18.0,15.0,3.0,717.0,183.0,900.0,75.0,0.9836065573770492
30,51.0,33.0,18.0,15.0,1485.0,315.0,1800.0,64.70588235294117,4.761904761904763
31,54.0,54.0,36.0,18.0,1254.0,246.0,1500.0,100.0,3.048780487804878
32,72.0,57.0,30.0,27.0,1395.0,255.0,1650.0,79.16666666666666,5.8235294117647065
33,60.0,51.0,30.0,21.0,1446.0,204.0,1650.0,85.0,5.661764705882352
34,69.0,39.0,21.0,18.0,1593.0,207.0,1800.0,56.52173913043478,7.453416149068322
35,84.0,48.0,36.0,12.0,1320.0,180.0,1500.0,57.14285714285714,2.7777777777777777
36,18.0,18.0,6.0,12.0,660.0,90.0,750.0,100.0,16.666666666666668
37,57.0,30.0,21.0,9.0,1071.0,129.0,1200.0,52.63157894736842,3.9867109634551494
38,33.0,33.0,21.0,12.0,1038.0,162.0,1200.0,100.0,4.232804232804233
39,27.0,12.0,0.0,12.0,1062.0,138.0,1200.0,44.44444444444444,0.0
40,24.0,18.0,3.0,15.0,930.0,120.0,1050.0,75.0,43.75
