second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,105.0,15.0,12.0,3.0,249.0,2151.0,2400.0,14.285714285714285,0.2789400278940028
1,48.0,37.0,37.0,0.0,234.0,966.0,1200.0,77.08333333333334,0.0
2,60.0,33.0,24.0,9.0,283.0,1367.0,1650.0,55.00000000000001,0.4526335040234089
3,39.0,29.0,18.0,11.0,258.0,1242.0,1500.0,74.35897435897436,0.7380568974771874
4,57.0,22.0,9.0,13.0,183.0,867.0,1050.0,38.59649122807017,1.7493271818531333
5,582.0,465.0,328.0,137.0,576.0,1374.0,1950.0,79.89690721649485,0.5927814463734157
6,180.0,173.0,111.0,62.0,428.0,922.0,1350.0,96.11111111111111,0.8178460456117722
7,90.0,44.0,19.0,25.0,607.0,1193.0,1800.0,48.888888888888886,1.9852649225746681
8,30.0,19.0,4.0,15.0,406.0,644.0,1050.0,63.33333333333333,6.114130434782609
9,24.0,18.0,5.0,13.0,357.0,543.0,900.0,75.0,4.30939226519337
10,21.0,14.0,3.0,11.0,375.0,525.0,900.0,66.66666666666666,6.285714285714285
11,27.0,22.0,9.0,13.0,494.0,706.0,1200.0,81.48148148148148,2.4551463644948064
12,69.0,37.0,15.0,22.0,727.0,923.0,1650.0,53.62318840579711,2.621885157096424
13,21.0,19.0,5.0,14.0,507.0,543.0,1050.0,90.47619047619048,5.414364640883978
14,30.0,16.0,7.0,9.0,460.0,440.0,900.0,53.333333333333336,2.62987012987013
15,45.0,20.0,7.0,13.0,556.0,494.0,1050.0,44.44444444444444,3.9473684210526314
16,57.0,30.0,14.0,16.0,704.0,646.0,1350.0,52.63157894736842,2.3883237505528525
17,39.0,26.0,12.0,14.0,782.0,568.0,1350.0,66.66666666666666,2.772887323943662
18,39.0,25.0,18.0,7.0,768.0,582.0,1350.0,64.1025641025641,0.9020618556701031
19,27.0,14.0,5.0,9.0,576.0,324.0,900.0,51.85185185185185,5.0
20,39.0,23.0,12.0,11.0,639.0,411.0,1050.0,58.97435897435898,2.3418491484184916
21,321.0,149.0,140.0,9.0,904.0,446.0,1350.0,46.41744548286604,0.19458680333119793
22,69.0,39.0,25.0,14.0,1321.0,479.0,1800.0,56.52173913043478,2.104384133611691
23,30.0,21.0,12.0,9.0,571.0,179.0,750.0,70.0,3.142458100558659
24,66.0,44.0,24.0,20.0,1216.0,284.0,1500.0,66.66666666666666,4.401408450704226
25,24.0,23.0,3.0,20.0,645.0,105.0,750.0,95.83333333333334,47.61904761904761
26,24.0,16.0,12.0,4.0,628.0,122.0,750.0,66.66666666666666,2.0491803278688523
27,24.0,10.0,3.0,7.0,744.0,156.0,900.0,41.66666666666667,13.461538461538462
28,27.0,27.0,20.0,7.0,918.0,132.0,1050.0,100.0,2.7840909090909087
29,24.0,18.0,11.0,7.0,786.0,114.0,900.0,75.0,5.023923444976076
30,51.0,29.0,15.0,14.0,1623.0,177.0,1800.0,56.86274509803921,9.491525423728815
31,54.0,54.0,38.0,16.0,1344.0,156.0,1500.0,100.0,4.048582995951417
32,72.0,57.0,28.0,29.0,1508.0,142.0,1650.0,79.16666666666666,12.034708249496983
33,60.0,48.0,27.0,21.0,1555.0,95.0,1650.0,80.0,13.508771929824562
34,69.0,37.0,17.0,20.0,1712.0,88.0,1800.0,53.62318840579711,24.06417112299465
35,84.0,70.0,60.0,10.0,1383.0,117.0,1500.0,83.33333333333334,2.1367521367521367
36,18.0,18.0,10.0,8.0,688.0,62.0,750.0,100.0,9.67741935483871
37,57.0,30.0,25.0,5.0,1161.0,39.0,1200.0,52.63157894736842,6.153846153846154
38,33.0,33.0,25.0,8.0,1101.0,99.0,1200.0,100.0,3.878787878787879
39,27.0,12.0,6.0,6.0,1062.0,138.0,1200.0,44.44444444444444,8.695652173913043
40,24.0,16.0,7.0,9.0,922.0,128.0,1050.0,66.66666666666666,10.546875
41,45.0,27.0,17.0,10.0,1326.0,174.0,1500.0,60.0,5.070993914807302
42,39.0,29.0,18.0,11.0,1322.0,178.0,1500.0,74.35897435897436,5.149812734082397
43,72.0,39.0,28.0,11.0,1852.0,248.0,2100.0,54.166666666666664,3.326612903225806
44,105.0,53.0,36.0,17.0,1692.0,108.0,1800.0,50.476190476190474,7.87037037037037
45,96.0,54.0,35.0,19.0,2140.0,110.0,2250.0,56.25,11.103896103896103
46,48.0,33.0,18.0,15.0,1269.0,81.0,1350.0,68.75,13.88888888888889
47,63.0,56.0,38.0,18.0,1530.0,120.0,1650.0,88.88888888888889,6.5131578947368425
48,84.0,49.0,33.0,16.0,1545.0,105.0,1650.0,58.333333333333336,7.61904761904762
49,60.0,57.0,39.0,18.0,1565.0,85.0,1650.0,95.0,8.959276018099548
50,66.0,31.0,22.0,9.0,1850.0,100.0,1950.0,46.96969696969697,7.977272727272728
51,306.0,150.0,142.0,8.0,1005.0,45.0,1050.0,49.01960784313725,1.3145539906103287
52,36.0,36.0,28.0,8.0,1291.0,59.0,1350.0,100.0,6.5375302663438255
53,48.0,30.0,21.0,9.0,1298.0,52.0,1350.0,62.5,11.126373626373624
54,30.0,29.0,21.0,8.0,1163.0,37.0,1200.0,96.66666666666667,12.355212355212354
55,54.0,34.0,28.0,6.0,1432.0,68.0,1500.0,62.96296296296296,4.72689075630252
56,45.0,33.0,29.0,4.0,1471.0,29.0,1500.0,73.33333333333333,7.13436385255648
57,36.0,26.0,23.0,3.0,1033.0,17.0,1050.0,72.22222222222221,8.056265984654733
58,54.0,47.0,44.0,3.0,1482.0,18.0,1500.0,87.03703703703704,5.681818181818182
59,54.0,48.0,45.0,3.0,1334.0,16.0,1350.0,88.88888888888889,5.625
60,69.0,48.0,45.0,3.0,1781.0,19.0,1800.0,69.56521739130434,6.315789473684211
61,504.0,398.0,394.0,4.0,1926.0,24.0,1950.0,78.96825396825396,0.8248730964467005
62,126.0,108.0,105.0,3.0,1780.0,20.0,1800.0,85.71428571428571,2.571428571428571
63,72.0,38.0,35.0,3.0,1789.0,11.0,1800.0,52.77777777777778,14.025974025974026
64,51.0,39.0,36.0,3.0,1341.0,9.0,1350.0,76.47058823529412,12.499999999999998
65,108.0,40.0,38.0,2.0,1482.0,18.0,1500.0,37.03703703703704,4.385964912280701
66,57.0,33.0,30.0,3.0,1467.0,33.0,1500.0,57.89473684210527,4.545454545454546
