second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,105.0,15.0,15.0,0.0,261.0,2139.0,2400.0,14.285714285714285,0.0
1,48.0,39.0,30.0,9.0,222.0,978.0,1200.0,81.25,0.36809815950920244
2,60.0,36.0,33.0,3.0,327.0,1323.0,1650.0,60.0,0.11337868480725624
3,39.0,33.0,30.0,3.0,348.0,1152.0,1500.0,84.61538461538461,0.13020833333333334
4,57.0,42.0,21.0,21.0,279.0,771.0,1050.0,73.68421052631578,1.3618677042801557
5,582.0,465.0,465.0,0.0,597.0,1353.0,1950.0,79.89690721649485,0.0
6,180.0,177.0,177.0,0.0,435.0,915.0,1350.0,98.33333333333333,0.0
7,90.0,42.0,42.0,0.0,627.0,1173.0,1800.0,46.666666666666664,0.0
8,30.0,21.0,21.0,0.0,432.0,618.0,1050.0,70.0,0.0
9,24.0,18.0,18.0,0.0,384.0,516.0,900.0,75.0,0.0
10,21.0,15.0,15.0,0.0,372.0,528.0,900.0,71.42857142857143,0.0
11,27.0,24.0,21.0,3.0,546.0,654.0,1200.0,88.88888888888889,0.26212319790301436
12,69.0,42.0,33.0,9.0,777.0,873.0,1650.0,60.86956521739131,0.5154639175257731
13,21.0,21.0,15.0,6.0,519.0,531.0,1050.0,100.0,0.7909604519774013
14,30.0,18.0,18.0,0.0,492.0,408.0,900.0,60.0,0.0
15,45.0,21.0,18.0,3.0,585.0,465.0,1050.0,46.666666666666664,0.3763440860215054
16,57.0,30.0,27.0,3.0,735.0,615.0,1350.0,52.63157894736842,0.24390243902439024
17,39.0,27.0,21.0,6.0,765.0,585.0,1350.0,69.23076923076923,0.6593406593406593
18,39.0,24.0,21.0,3.0,747.0,603.0,1350.0,61.53846153846154,0.31982942430703626
19,27.0,15.0,12.0,3.0,672.0,228.0,900.0,55.55555555555556,0.9868421052631579
20,39.0,24.0,18.0,6.0,627.0,423.0,1050.0,61.53846153846154,0.8274231678486997
21,321.0,153.0,141.0,12.0,849.0,501.0,1350.0,47.66355140186916,0.22932857688877564
22,69.0,42.0,36.0,6.0,1401.0,399.0,1800.0,60.86956521739131,0.7518796992481203
23,30.0,24.0,21.0,3.0,642.0,108.0,750.0,80.0,0.9920634920634921
24,66.0,42.0,30.0,12.0,1191.0,309.0,1500.0,63.63636363636363,1.9417475728155342
25,24.0,24.0,12.0,12.0,615.0,135.0,750.0,100.0,5.555555555555555
26,24.0,18.0,12.0,6.0,606.0,144.0,750.0,75.0,2.6041666666666665
27,24.0,12.0,3.0,9.0,723.0,177.0,900.0,50.0,15.254237288135593
28,27.0,27.0,18.0,9.0,879.0,171.0,1050.0,100.0,3.070175438596491
29,24.0,18.0,9.0,9.0,729.0,171.0,900.0,75.0,5.2631578947368425
30,51.0,24.0,15.0,9.0,1578.0,222.0,1800.0,47.05882352941176,4.864864864864865
31,54.0,54.0,39.0,15.0,1308.0,192.0,1500.0,100.0,3.0048076923076925
32,72.0,54.0,27.0,27.0,1485.0,165.0,1650.0,75.0,10.0
33,60.0,48.0,24.0,24.0,1527.0,123.0,1650.0,80.0,13.414634146341465
34,69.0,39.0,15.0,24.0,1626.0,174.0,1800.0,56.52173913043478,16.551724137931036
35,84.0,72.0,60.0,12.0,1347.0,153.0,1500.0,85.71428571428571,1.9607843137254903
36,18.0,18.0,9.0,9.0,660.0,90.0,750.0,100.0,8.333333333333334
37,57.0,39.0,33.0,6.0,1113.0,87.0,1200.0,68.42105263157895,2.5078369905956115
38,33.0,33.0,24.0,9.0,1029.0,171.0,1200.0,100.0,2.6315789473684212
39,27.0,12.0,6.0,6.0,1074.0,126.0,1200.0,44.44444444444444,9.523809523809524
40,24.0,18.0,9.0,9.0,933.0,117.0,1050.0,75.0,8.974358974358974
41,45.0,27.0,15.0,12.0,1338.0,162.0,1500.0,60.0,7.407407407407408
