second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,105.0,20.0,15.0,5.0,227.0,2173.0,2400.0,19.047619047619047,0.3681546249424758
1,48.0,40.0,23.0,17.0,159.0,1041.0,1200.0,83.33333333333334,0.8520235559453702
2,60.0,51.0,24.0,27.0,187.0,1463.0,1650.0,85.0,1.268796992481203
3,39.0,24.0,11.0,13.0,142.0,1358.0,1500.0,61.53846153846154,1.3053956352925427
4,57.0,38.0,11.0,27.0,93.0,957.0,1050.0,66.66666666666666,2.6930749501282416
5,582.0,534.0,210.0,324.0,221.0,1729.0,1950.0,91.75257731958763,1.7400644468313642
6,180.0,168.0,89.0,79.0,145.0,1205.0,1350.0,93.33333333333333,0.9944519558021352
7,90.0,66.0,22.0,44.0,178.0,1622.0,1800.0,73.33333333333333,2.219482120838471
8,30.0,23.0,5.0,18.0,75.0,975.0,1050.0,76.66666666666667,3.876923076923077
9,24.0,19.0,5.0,14.0,60.0,840.0,900.0,79.16666666666666,2.9999999999999996
10,21.0,15.0,4.0,11.0,70.0,830.0,900.0,71.42857142857143,2.9819277108433733
11,27.0,22.0,6.0,16.0,91.0,1109.0,1200.0,81.48148148148148,2.8854824165915236
12,69.0,49.0,9.0,40.0,127.0,1523.0,1650.0,71.01449275362319,4.815057999562268
13,21.0,21.0,5.0,16.0,74.0,976.0,1050.0,100.0,3.4426229508196724
14,30.0,23.0,5.0,18.0,67.0,833.0,900.0,76.66666666666667,3.8895558223289317
15,45.0,36.0,4.0,32.0,76.0,974.0,1050.0,80.0,8.62422997946612
16,57.0,51.0,5.0,46.0,91.0,1259.0,1350.0,89.47368421052632,9.864972200158855
17,39.0,31.0,5.0,26.0,95.0,1255.0,1350.0,79.48717948717949,5.5936254980079685
18,39.0,27.0,3.0,24.0,90.0,1260.0,1350.0,69.23076923076923,8.571428571428571
19,27.0,18.0,1.0,17.0,53.0,847.0,900.0,66.66666666666666,18.06375442739079
20,39.0,27.0,4.0,23.0,63.0,987.0,1050.0,69.23076923076923,6.117021276595745
21,321.0,218.0,79.0,139.0,80.0,1270.0,1350.0,67.91277258566979,1.8703279178710257
22,69.0,41.0,2.0,39.0,109.0,1691.0,1800.0,59.42028985507246,20.756948551153165
23,30.0,19.0,5.0,14.0,44.0,706.0,750.0,63.33333333333333,2.9745042492917846
24,66.0,52.0,13.0,39.0,118.0,1382.0,1500.0,78.78787878787878,3.256150506512301
25,24.0,23.0,3.0,20.0,55.0,695.0,750.0,95.83333333333334,7.194244604316547
26,24.0,19.0,5.0,14.0,54.0,696.0,750.0,79.16666666666666,3.0172413793103443
27,24.0,18.0,6.0,12.0,61.0,839.0,900.0,75.0,2.1454112038140645
28,27.0,20.0,8.0,12.0,66.0,984.0,1050.0,74.07407407407408,1.600609756097561
29,24.0,21.0,5.0,16.0,55.0,845.0,900.0,87.5,3.408284023668639
30,51.0,42.0,9.0,33.0,98.0,1702.0,1800.0,82.35294117647058,3.8777908343125733
31,54.0,41.0,8.0,33.0,107.0,1393.0,1500.0,75.92592592592592,4.441852117731515
32,72.0,61.0,12.0,49.0,106.0,1544.0,1650.0,84.72222222222221,4.363665803108808
33,60.0,53.0,8.0,45.0,119.0,1531.0,1650.0,88.33333333333333,6.062214239059438
34,69.0,48.0,11.0,37.0,141.0,1659.0,1800.0,69.56521739130434,3.6495150419201057
35,84.0,46.0,7.0,39.0,104.0,1396.0,1500.0,54.761904761904766,5.986492018010643
36,18.0,14.0,4.0,10.0,46.0,704.0,750.0,77.77777777777779,2.663352272727273
37,57.0,37.0,8.0,29.0,77.0,1123.0,1200.0,64.91228070175438,3.873552983081033
38,33.0,26.0,4.0,22.0,76.0,1124.0,1200.0,78.78787878787878,5.871886120996441
39,27.0,22.0,2.0,20.0,68.0,1132.0,1200.0,81.48148148148148,10.600706713780918
40,24.0,21.0,6.0,15.0,60.0,990.0,1050.0,87.5,2.6515151515151514
41,45.0,34.0,8.0,26.0,82.0,1418.0,1500.0,75.55555555555556,3.4379407616361073
42,39.0,25.0,6.0,19.0,93.0,1407.0,1500.0,64.1025641025641,3.3759772565742714
43,72.0,46.0,10.0,36.0,138.0,1962.0,2100.0,63.888888888888886,3.853211009174312
44,105.0,75.0,11.0,64.0,159.0,1641.0,1800.0,71.42857142857143,6.381917899285359
45,96.0,72.0,14.0,58.0,164.0,2086.0,2250.0,75.0,4.468565949869881
46,48.0,43.0,8.0,35.0,111.0,1239.0,1350.0,89.58333333333334,4.766949152542373
