second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,105.0,20.0,15.0,5.0,237.0,2163.0,2400.0,19.047619047619047,0.36985668053629217
1,48.0,36.0,29.0,7.0,222.0,978.0,1200.0,75.0,0.29617093293843877
2,60.0,35.0,27.0,8.0,258.0,1392.0,1650.0,58.333333333333336,0.351213282247765
3,39.0,27.0,20.0,7.0,245.0,1255.0,1500.0,69.23076923076923,0.4183266932270916
4,57.0,19.0,12.0,7.0,189.0,861.0,1050.0,33.33333333333333,0.7113821138211383
5,582.0,470.0,359.0,111.0,567.0,1383.0,1950.0,80.75601374570446,0.4359542957963492
6,180.0,176.0,112.0,64.0,415.0,935.0,1350.0,97.77777777777777,0.825057295645531
7,90.0,41.0,24.0,17.0,559.0,1241.0,1800.0,45.55555555555556,1.0273972602739727
8,30.0,20.0,8.0,12.0,375.0,675.0,1050.0,66.66666666666666,2.333333333333333
9,24.0,18.0,6.0,12.0,324.0,576.0,900.0,75.0,3.125
10,21.0,14.0,6.0,8.0,336.0,564.0,900.0,66.66666666666666,2.127659574468085
11,27.0,23.0,10.0,13.0,441.0,759.0,1200.0,85.18518518518519,2.0553359683794468
12,69.0,34.0,15.0,19.0,640.0,1010.0,1650.0,49.275362318840585,2.0693069306930694
13,21.0,18.0,6.0,12.0,442.0,608.0,1050.0,85.71428571428571,3.4539473684210527
14,30.0,18.0,9.0,9.0,388.0,512.0,900.0,60.0,1.7578125
15,45.0,21.0,7.0,14.0,467.0,583.0,1050.0,46.666666666666664,3.6020583190394513
16,57.0,24.0,7.0,17.0,609.0,741.0,1350.0,42.10526315789473,4.424522845575477
17,39.0,25.0,10.0,15.0,665.0,685.0,1350.0,64.1025641025641,2.9562043795620436
18,39.0,19.0,12.0,7.0,673.0,677.0,1350.0,48.717948717948715,1.1632200886262924
19,27.0,13.0,3.0,10.0,478.0,422.0,900.0,48.148148148148145,7.109004739336493
20,39.0,19.0,12.0,7.0,576.0,474.0,1050.0,48.717948717948715,1.2921940928270044
21,321.0,148.0,138.0,10.0,841.0,509.0,1350.0,46.10591900311526,0.19219270521909967
22,69.0,35.0,15.0,20.0,1189.0,611.0,1800.0,50.72463768115942,3.927986906710311
23,30.0,22.0,5.0,17.0,503.0,247.0,750.0,73.33333333333333,10.323886639676115
