second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,35.0,5.0,5.0,0.0,89.0,0.0,89.0,14.285714285714285,0.0
1,16.0,13.0,13.0,0.0,83.0,0.0,83.0,81.25,0.0
2,20.0,12.0,12.0,0.0,122.0,0.0,122.0,60.0,0.0
3,13.0,10.0,10.0,0.0,136.0,0.0,136.0,76.92307692307693,0.0
4,19.0,7.0,7.0,0.0,86.0,9.0,95.0,36.84210526315789,0.0
5,194.0,155.0,155.0,0.0,231.0,28.0,259.0,79.89690721649485,0.0
6,60.0,59.0,59.0,0.0,159.0,31.0,190.0,98.33333333333333,0.0
7,30.0,14.0,14.0,0.0,214.0,49.0,263.0,46.666666666666664,0.0
8,10.0,7.0,7.0,0.0,117.0,33.0,150.0,70.0,0.0
9,8.0,6.0,6.0,0.0,81.0,36.0,117.0,75.0,0.0
10,7.0,5.0,5.0,0.0,70.0,35.0,105.0,71.42857142857143,0.0
11,9.0,8.0,6.0,2.0,82.0,61.0,143.0,88.88888888888889,0.7814207650273224
12,23.0,13.0,9.0,4.0,90.0,97.0,187.0,56.52173913043478,0.8568155784650631
13,7.0,7.0,6.0,1.0,48.0,72.0,120.0,100.0,0.2777777777777778
14,10.0,6.0,5.0,1.0,49.0,58.0,107.0,60.0,0.3689655172413794
15,15.0,6.0,6.0,0.0,57.0,72.0,129.0,40.0,0.0
16,19.0,9.0,7.0,2.0,66.0,101.0,167.0,47.368421052631575,0.4724186704384724
17,13.0,9.0,9.0,0.0,78.0,83.0,161.0,69.23076923076923,0.0
18,13.0,5.0,3.0,2.0,67.0,94.0,161.0,38.46153846153847,1.1418439716312057
19,9.0,5.0,5.0,0.0,68.0,82.0,150.0,55.55555555555556,0.0
20,13.0,5.0,5.0,0.0,70.0,78.0,148.0,38.46153846153847,0.0
21,107.0,50.0,48.0,2.0,109.0,86.0,195.0,46.728971962616825,0.09447674418604651
22,23.0,14.0,9.0,5.0,164.0,153.0,317.0,60.86956521739131,1.1510530137981119
23,10.0,6.0,6.0,0.0,66.0,75.0,141.0,60.0,0.0
24,22.0,15.0,13.0,2.0,143.0,117.0,260.0,68.18181818181817,0.3418803418803419
25,8.0,8.0,8.0,0.0,69.0,50.0,119.0,100.0,0.0
26,8.0,6.0,4.0,2.0,57.0,62.0,119.0,75.0,0.9596774193548386
27,8.0,4.0,4.0,0.0,62.0,79.0,141.0,50.0,0.0
28,9.0,6.0,4.0,2.0,65.0,100.0,165.0,66.66666666666666,0.825
29,8.0,4.0,4.0,0.0,57.0,82.0,139.0,50.0,0.0
30,17.0,9.0,7.0,2.0,120.0,187.0,307.0,52.94117647058824,0.46906035141329255
31,18.0,14.0,9.0,5.0,98.0,159.0,257.0,77.77777777777779,0.8979734451432565
32,24.0,16.0,14.0,2.0,102.0,183.0,285.0,66.66666666666666,0.2224824355971897
33,20.0,15.0,11.0,4.0,104.0,183.0,287.0,75.0,0.5702930948832589
34,23.0,13.0,11.0,2.0,95.0,194.0,289.0,56.52173913043478,0.27085285848172447
35,28.0,6.0,6.0,0.0,101.0,173.0,274.0,21.428571428571427,0.0
36,6.0,5.0,5.0,0.0,57.0,83.0,140.0,83.33333333333334,0.0
37,19.0,14.0,5.0,9.0,92.0,140.0,232.0,73.68421052631578,2.982857142857143
38,11.0,6.0,5.0,1.0,78.0,128.0,206.0,54.54545454545454,0.321875
39,9.0,4.0,4.0,0.0,101.0,142.0,243.0,44.44444444444444,0.0
40,8.0,6.0,6.0,0.0,68.0,118.0,186.0,75.0,0.0
41,15.0,9.0,8.0,1.0,93.0,169.0,262.0,60.0,0.1937869822485207
42,13.0,9.0,6.0,3.0,101.0,180.0,281.0,69.23076923076923,0.7805555555555554
43,24.0,14.0,10.0,4.0,124.0,255.0,379.0,58.333333333333336,0.5945098039215686
44,35.0,17.0,15.0,2.0,188.0,207.0,395.0,48.57142857142857,0.2544283413848631
45,32.0,19.0,17.0,2.0,228.0,272.0,500.0,59.375,0.2162629757785467
46,16.0,12.0,11.0,1.0,114.0,153.0,267.0,75.0,0.15864527629233513
47,21.0,15.0,12.0,3.0,105.0,210.0,315.0,71.42857142857143,0.375
48,28.0,14.0,11.0,3.0,106.0,217.0,323.0,50.0,0.40594888981985755
49,20.0,16.0,15.0,1.0,120.0,222.0,342.0,80.0,0.1027027027027027
50,22.0,11.0,9.0,2.0,159.0,266.0,425.0,50.0,0.35505430242272346
51,102.0,94.0,6.0,88.0,88.0,147.0,235.0,92.15686274509804,23.446712018140587
52,12.0,9.0,6.0,3.0,95.0,195.0,290.0,75.0,0.7435897435897436
53,16.0,10.0,6.0,4.0,90.0,193.0,283.0,62.5,0.9775474956822107
54,10.0,8.0,8.0,0.0,75.0,173.0,248.0,80.0,0.0
55,18.0,10.0,8.0,2.0,86.0,221.0,307.0,55.55555555555556,0.34728506787330315
56,15.0,8.0,7.0,1.0,92.0,220.0,312.0,53.333333333333336,0.20259740259740258
57,12.0,9.0,7.0,2.0,72.0,158.0,230.0,75.0,0.41591320072332727
58,18.0,16.0,11.0,5.0,93.0,219.0,312.0,88.88888888888889,0.6475716064757161
