second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,35.0,5.0,5.0,0.0,89.0,0.0,89.0,14.285714285714285,0.0
1,16.0,13.0,13.0,0.0,83.0,0.0,83.0,81.25,0.0
2,20.0,12.0,12.0,0.0,122.0,0.0,122.0,60.0,0.0
3,13.0,10.0,10.0,0.0,140.0,0.0,140.0,76.92307692307693,0.0
4,19.0,7.0,7.0,0.0,114.0,0.0,114.0,36.84210526315789,0.0
5,194.0,155.0,155.0,0.0,311.0,0.0,311.0,79.89690721649485,0.0
6,60.0,59.0,59.0,0.0,233.0,0.0,233.0,98.33333333333333,0.0
7,30.0,14.0,14.0,0.0,311.0,0.0,311.0,46.666666666666664,0.0
8,10.0,7.0,7.0,0.0,208.0,0.0,208.0,70.0,0.0
9,8.0,6.0,6.0,0.0,186.0,0.0,186.0,75.0,0.0
10,7.0,5.0,5.0,0.0,187.0,0.0,187.0,71.42857142857143,0.0
11,9.0,9.0,9.0,0.0,257.0,0.0,257.0,100.0,0.0
12,23.0,15.0,15.0,0.0,363.0,0.0,363.0,65.21739130434783,0.0
13,7.0,7.0,7.0,0.0,242.0,0.0,242.0,100.0,0.0
14,10.0,6.0,6.0,0.0,214.0,0.0,214.0,60.0,0.0
15,15.0,7.0,7.0,0.0,256.0,0.0,256.0,46.666666666666664,0.0
16,19.0,10.0,10.0,0.0,331.0,0.0,331.0,52.63157894736842,0.0
17,13.0,9.0,9.0,0.0,350.0,0.0,350.0,69.23076923076923,0.0
18,13.0,8.0,8.0,0.0,351.0,0.0,351.0,61.53846153846154,0.0
19,9.0,5.0,5.0,0.0,260.0,0.0,260.0,55.55555555555556,0.0
20,13.0,7.0,7.0,0.0,292.0,0.0,292.0,53.84615384615385,0.0
21,107.0,52.0,52.0,0.0,399.0,0.0,399.0,48.598130841121495,0.0
22,23.0,14.0,14.0,0.0,565.0,0.0,565.0,60.86956521739131,0.0
23,10.0,8.0,8.0,0.0,226.0,0.0,226.0,80.0,0.0
24,22.0,15.0,15.0,0.0,469.0,0.0,469.0,68.18181818181817,0.0
25,8.0,8.0,8.0,0.0,244.0,0.0,244.0,100.0,0.0
26,8.0,6.0,6.0,0.0,232.0,0.0,232.0,75.0,0.0
27,8.0,4.0,4.0,0.0,272.0,0.0,272.0,50.0,0.0
28,9.0,9.0,9.0,0.0,330.0,0.0,330.0,100.0,0.0
29,8.0,6.0,6.0,0.0,275.0,0.0,275.0,75.0,0.0
30,17.0,9.0,8.0,1.0,532.0,2.0,534.0,52.94117647058824,33.375
31,18.0,18.0,17.0,1.0,390.0,2.0,392.0,100.0,11.529411764705882
32,24.0,19.0,17.0,2.0,426.0,4.0,430.0,79.16666666666666,12.647058823529411
33,20.0,15.0,13.0,2.0,419.0,4.0,423.0,75.0,16.26923076923077
34,23.0,13.0,12.0,1.0,466.0,3.0,469.0,56.52173913043478,13.027777777777777
35,28.0,8.0,7.0,1.0,397.0,3.0,400.0,28.57142857142857,19.047619047619047
36,6.0,6.0,6.0,0.0,199.0,1.0,200.0,100.0,0.0
37,19.0,8.0,7.0,1.0,337.0,5.0,342.0,42.10526315789473,9.771428571428572
38,11.0,11.0,11.0,0.0,306.0,2.0,308.0,100.0,0.0
39,9.0,4.0,3.0,1.0,334.0,4.0,338.0,44.44444444444444,28.166666666666664
40,8.0,6.0,5.0,1.0,285.0,2.0,287.0,75.0,28.700000000000003
41,15.0,9.0,8.0,1.0,410.0,3.0,413.0,60.0,17.208333333333332
42,13.0,7.0,6.0,1.0,434.0,4.0,438.0,53.84615384615385,18.25
43,24.0,14.0,13.0,1.0,595.0,5.0,600.0,58.333333333333336,9.230769230769232
44,35.0,15.0,14.0,1.0,551.0,3.0,554.0,42.857142857142854,13.19047619047619
45,32.0,18.0,17.0,1.0,709.0,5.0,714.0,56.25,8.4
46,16.0,11.0,11.0,0.0,416.0,0.0,416.0,68.75,0.0
47,21.0,18.0,17.0,1.0,477.0,3.0,480.0,85.71428571428571,9.411764705882351
48,28.0,14.0,13.0,1.0,486.0,3.0,489.0,50.0,12.538461538461538
49,20.0,16.0,15.0,1.0,498.0,2.0,500.0,80.0,16.666666666666668
50,22.0,10.0,9.0,1.0,589.0,3.0,592.0,45.45454545454545,21.925925925925924
51,102.0,50.0,49.0,1.0,326.0,2.0,328.0,49.01960784313725,3.346938775510204
52,12.0,12.0,11.0,1.0,414.0,4.0,418.0,100.0,9.5
53,16.0,10.0,9.0,1.0,417.0,3.0,420.0,62.5,15.555555555555555
54,10.0,8.0,7.0,1.0,371.0,2.0,373.0,80.0,26.642857142857142
55,18.0,10.0,10.0,0.0,462.0,1.0,463.0,55.55555555555556,0.0
56,15.0,10.0,10.0,0.0,464.0,0.0,464.0,66.66666666666666,0.0
57,12.0,9.0,9.0,0.0,334.0,0.0,334.0,75.0,0.0
58,18.0,15.0,15.0,0.0,477.0,0.0,477.0,83.33333333333334,0.0
59,18.0,16.0,16.0,0.0,423.0,0.0,423.0,88.88888888888889,0.0
60,23.0,16.0,16.0,0.0,519.0,0.0,519.0,69.56521739130434,0.0
