lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,0.125605,0.125605,3,0,3,0,0,1,1,0,0.0,0.0,0,0.0,0.0
1,0.125605,0.298227,0.17262200000000003,3,0,3,0,0,4,4,0,0.0,0.0,0,0.0,0.0
2,0.298227,0.563713,0.265486,5,1,4,1,0,9,9,0,20.0,0.0,0,0.0,0.0
3,0.563713,0.786454,0.22274099999999997,1,0,1,0,0,9,9,0,0.0,0.0,0,0.0,0.0
4,0.786454,0.896602,0.11014800000000002,2,0,2,0,0,11,11,0,0.0,0.0,0,0.0,0.0
5,0.896602,1.101064,0.20446200000000003,1,0,1,0,0,12,12,0,0.0,0.0,0,0.0,0.0
6,1.101064,1.348419,0.247355,4,3,1,3,0,14,14,0,75.0,0.0,0,0.0,0.0
7,1.348419,1.834237,0.48581799999999986,3,3,0,3,0,14,14,0,100.0,0.0,0,0.0,0.0
8,1.834237,2.124754,0.2905169999999999,2,2,0,2,0,14,14,0,100.0,0.0,0,0.0,0.0
9,2.124754,2.322545,0.19779100000000005,2,2,0,2,0,14,14,0,100.0,0.0,0,0.0,0.0
10,2.322545,2.962379,0.639834,2,0,2,0,0,14,14,0,0.0,0.0,0,0.0,0.0
11,2.962379,3.166878,0.2044990000000002,1,1,0,1,0,16,16,0,100.0,0.0,0,0.0,0.0
12,3.166878,3.361572,0.1946939999999997,1,1,0,1,0,16,16,0,100.0,0.0,0,0.0,0.0
13,3.361572,3.673047,0.31147500000000017,1,0,1,0,0,16,16,0,0.0,0.0,0,0.0,0.0
14,3.673047,3.875735,0.2026880000000002,1,1,0,1,0,17,17,0,100.0,0.0,0,0.0,0.0
15,3.875735,4.059756,0.184021,2,2,0,2,0,17,17,0,100.0,0.0,0,0.0,0.0
16,4.059756,4.215684,0.1559280000000003,3,1,2,1,0,18,18,0,33.33333333333333,0.0,0,0.0,0.0
17,4.215684,4.881577,0.6658929999999996,3,1,2,1,0,20,20,0,33.33333333333333,0.0,0,0.0,0.0
18,4.881577,5.086532,0.204955,2,1,1,1,0,22,22,0,50.0,0.0,0,0.0,0.0
19,5.086532,5.462667,0.37613499999999966,16,1,15,1,0,23,23,0,6.25,0.0,0,0.0,0.0
