lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,0.176135,0.176135,1,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
1,0.176135,0.310339,0.13420399999999996,3,0,3,0,0,1,1,0,0.0,0.0,0,0.0,0.0
2,0.310339,0.485433,0.17509400000000003,2,0,2,0,0,5,5,0,0.0,0.0,0,0.0,0.0
3,0.485433,0.60624,0.120807,1,0,1,0,0,6,6,0,0.0,0.0,0,0.0,0.0
4,0.60624,1.000925,0.39468500000000006,1,0,1,0,0,7,7,0,0.0,0.0,0,0.0,0.0
5,1.000925,1.285146,0.28422099999999983,1,1,0,1,0,8,8,0,100.0,0.0,0,0.0,0.0
6,1.285146,2.245763,0.9606170000000003,2,1,1,1,0,9,9,0,50.0,0.0,0,0.0,0.0
7,2.245763,2.453849,0.20808599999999977,2,1,1,1,0,9,9,0,50.0,0.0,0,0.0,0.0
8,2.453849,2.690307,0.23645799999999983,2,2,0,2,0,10,10,0,100.0,0.0,0,0.0,0.0
9,2.690307,2.858511,0.16820400000000024,1,1,0,1,0,10,10,0,100.0,0.0,0,0.0,0.0
10,2.858511,3.403241,0.5447299999999999,3,1,2,1,0,10,10,0,33.33333333333333,0.0,0,0.0,0.0
11,3.403241,3.608388,0.2051470000000002,1,1,0,1,0,12,12,0,100.0,0.0,0,0.0,0.0
12,3.608388,4.868842,1.2604539999999997,1,1,0,1,0,12,12,0,100.0,0.0,0,0.0,0.0
13,4.868842,5.082933,0.2140909999999998,7,0,7,0,0,12,12,0,0.0,0.0,0,0.0,0.0
14,5.082933,5.483797,0.40086400000000033,3,0,3,0,0,21,21,0,0.0,0.0,0,0.0,0.0
15,5.483797,5.688942,0.2051449999999999,1,1,0,1,0,22,22,0,100.0,0.0,0,0.0,0.0
16,5.688942,5.918741,0.22979899999999986,1,1,0,1,0,22,22,0,100.0,0.0,0,0.0,0.0
17,5.918741,6.521164,0.6024229999999999,1,0,1,0,0,22,22,0,0.0,0.0,0,0.0,0.0
18,6.521164,6.726322,0.20515799999999995,1,1,0,1,0,23,23,0,100.0,0.0,0,0.0,0.0
19,6.726322,6.957324,0.23100200000000015,2,2,0,2,0,23,23,0,100.0,0.0,0,0.0,0.0
20,6.957324,7.177611,0.2202869999999999,3,2,1,2,0,23,23,0,66.66666666666666,0.0,0,0.0,0.0
21,7.177611,7.409291,0.23167999999999989,4,3,1,3,0,24,24,0,75.0,0.0,0,0.0,0.0
22,7.409291,7.548624,0.1393330000000006,2,1,1,1,0,25,25,0,50.0,0.0,0,0.0,0.0
23,7.548624,7.686781,0.13815699999999964,1,1,0,1,0,26,26,0,100.0,0.0,0,0.0,0.0
24,7.686781,7.92846,0.24167900000000042,3,2,1,2,0,27,27,0,66.66666666666666,0.0,0,0.0,0.0
25,7.92846,8.132663,0.20420300000000058,3,2,1,2,0,28,28,0,66.66666666666666,0.0,0,0.0,0.0
26,8.132663,8.238979,0.10631599999999963,2,1,1,1,0,29,29,0,50.0,0.0,0,0.0,0.0
27,8.238979,8.444119,0.2051400000000001,1,1,0,1,0,29,29,0,100.0,0.0,0,0.0,0.0
28,8.444119,9.049279,0.6051599999999997,1,1,0,1,0,29,29,0,100.0,0.0,0,0.0,0.0
29,9.049279,9.254492,0.20521300000000053,1,1,0,1,0,29,29,0,100.0,0.0,0,0.0,0.0
30,9.254492,10.089634,0.8351419999999994,1,1,0,1,0,29,29,0,100.0,0.0,0,0.0,0.0
31,10.089634,10.560162,0.47052799999999984,2,0,2,0,0,29,29,0,0.0,0.0,0,0.0,0.0
32,10.560162,10.765362,0.2051999999999996,1,1,0,1,0,31,31,0,100.0,0.0,0,0.0,0.0
33,10.765362,11.603267,0.837905000000001,1,1,0,1,0,31,31,0,100.0,0.0,0,0.0,0.0
34,11.603267,11.80845,0.2051829999999999,1,1,0,1,0,31,31,0,100.0,0.0,0,0.0,0.0
35,11.80845,12.21963,0.4111799999999999,1,1,0,1,0,31,31,0,100.0,0.0,0,0.0,0.0
36,12.21963,12.624168,0.40453799999999873,2,0,2,0,0,31,31,0,0.0,0.0,0,0.0,0.0
37,12.624168,12.829329,0.20516100000000037,3,1,2,1,0,33,33,0,33.33333333333333,0.0,0,0.0,0.0
38,12.829329,13.664246,0.8349170000000008,1,1,0,1,0,35,35,0,100.0,0.0,0,0.0,0.0
39,13.664246,13.869386,0.2051400000000001,1,1,0,1,0,35,35,0,100.0,0.0,0,0.0,0.0
40,13.869386,14.704104,0.8347179999999987,1,1,0,1,0,35,35,0,100.0,0.0,0,0.0,0.0
41,14.704104,14.909264,0.20516000000000112,1,1,0,1,0,35,35,0,100.0,0.0,0,0.0,0.0
42,14.909264,15.688509,0.7792449999999995,1,1,0,1,0,35,35,0,100.0,0.0,0,0.0,0.0
43,15.688509,15.947898,0.25938900000000054,2,1,1,1,0,36,36,0,50.0,0.0,0,0.0,0.0
44,15.947898,16.771432,0.8235340000000004,1,1,0,1,0,36,36,0,100.0,0.0,0,0.0,0.0
45,16.771432,16.976612,0.20517999999999859,1,1,0,1,0,36,36,0,100.0,0.0,0,0.0,0.0
46,16.976612,17.110463,0.13385099999999994,1,1,0,1,0,36,36,0,100.0,0.0,0,0.0,0.0
47,17.110463,17.488053,0.3775900000000014,1,1,0,1,0,36,36,0,100.0,0.0,0,0.0,0.0
48,17.488053,17.699857,0.21180400000000077,1,0,1,0,0,36,36,0,0.0,0.0,0,0.0,0.0
49,17.699857,17.905018,0.20516099999999682,3,2,1,2,0,37,37,0,66.66666666666666,0.0,0,0.0,0.0
50,17.905018,18.118325,0.21330700000000036,1,1,0,1,0,38,38,0,100.0,0.0,0,0.0,0.0
51,18.118325,18.322555,0.20423000000000258,1,1,0,1,0,38,38,0,100.0,0.0,0,0.0,0.0
52,18.322555,18.869621,0.5470659999999974,1,1,0,1,0,38,38,0,100.0,0.0,0,0.0,0.0
53,18.869621,20.692241,1.8226200000000006,2,0,2,0,0,38,38,0,0.0,0.0,0,0.0,0.0
54,20.692241,20.802632,0.1103909999999999,2,0,2,0,0,40,40,0,0.0,0.0,0,0.0,0.0
55,20.802632,21.00783,0.20519799999999933,1,1,0,1,0,42,42,0,100.0,0.0,0,0.0,0.0
56,21.00783,21.186706,0.17887600000000248,2,2,0,2,0,42,42,0,100.0,0.0,0,0.0,0.0
57,21.186706,21.519796,0.33308999999999855,1,1,0,1,0,42,42,0,100.0,0.0,0,0.0,0.0
58,21.519796,21.770404,0.2506079999999997,51,0,51,0,0,43,43,0,0.0,0.0,0,0.0,0.0
59,21.770404,22.035173,0.26476900000000114,45,45,0,45,0,47,47,0,100.0,0.0,0,0.0,0.0
60,22.035173,22.769628,0.7344550000000005,1,1,0,1,0,47,47,0,100.0,0.0,0,0.0,0.0
61,22.769628,24.264329,1.4947009999999992,4,0,4,0,0,47,47,0,0.0,0.0,0,0.0,0.0
62,24.264329,24.469484,0.2051550000000013,1,1,0,1,0,49,49,0,100.0,0.0,0,0.0,0.0
63,24.469484,24.650719,0.18123499999999737,2,2,0,2,0,49,49,0,100.0,0.0,0,0.0,0.0
64,24.650719,24.866822,0.21610300000000038,3,2,1,2,0,50,50,0,66.66666666666666,0.0,0,0.0,0.0
65,24.866822,25.289847,0.42302500000000265,4,2,2,2,0,50,50,0,50.0,0.0,1,0.0,0.0
66,25.289847,25.494993,0.20514599999999916,1,1,0,1,0,50,50,0,100.0,0.0,0,0.0,0.0
67,25.494993,25.729623,0.23462999999999923,2,2,0,2,0,50,50,0,100.0,0.0,0,0.0,0.0
68,25.729623,26.028901,0.29927800000000104,1,1,0,1,0,50,50,0,100.0,0.0,0,0.0,0.0
69,26.028901,26.213014,0.18411299999999997,3,1,2,1,0,50,50,0,33.33333333333333,0.0,2,0.0,0.0
70,26.213014,27.383314,1.1702999999999975,1,1,0,1,0,50,50,0,100.0,0.0,0,0.0,0.0
71,27.383314,27.498039,0.11472499999999997,1,1,0,1,0,50,50,0,100.0,0.0,0,0.0,0.0
72,27.498039,28.105226,0.6071869999999997,1,1,0,1,0,50,50,0,100.0,0.0,0,0.0,0.0
73,28.105226,28.308275,0.20304900000000004,1,1,0,1,0,50,50,0,100.0,0.0,0,0.0,0.0
74,28.308275,28.512479,0.20420400000000072,2,2,0,2,0,50,50,0,100.0,0.0,0,0.0,0.0
75,28.512479,29.114527,0.6020479999999999,1,1,0,1,0,50,50,0,100.0,0.0,0,0.0,0.0
76,29.114527,29.319781,0.20525400000000005,1,1,0,1,0,50,50,0,100.0,0.0,0,0.0,0.0
77,29.319781,29.869621,0.5498399999999997,1,1,0,1,0,50,50,0,100.0,0.0,0,0.0,0.0
78,29.869621,30.124853,0.255232000000003,2,2,0,2,0,50,50,0,100.0,0.0,0,0.0,0.0
79,30.124853,30.329995,0.2051419999999986,1,1,0,1,0,50,50,0,100.0,0.0,0,0.0,0.0
80,30.329995,30.724542,0.3945469999999993,1,1,0,1,0,50,50,0,100.0,0.0,0,0.0,0.0
