second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,35.0,5.0,5.0,0.0,89.0,0.0,89.0,14.285714285714285,0.0
1,16.0,13.0,13.0,0.0,83.0,0.0,83.0,81.25,0.0
2,20.0,12.0,12.0,0.0,122.0,0.0,122.0,60.0,0.0
3,13.0,10.0,10.0,0.0,140.0,0.0,140.0,76.92307692307693,0.0
4,19.0,7.0,7.0,0.0,114.0,0.0,114.0,36.84210526315789,0.0
5,194.0,155.0,155.0,0.0,311.0,0.0,311.0,79.89690721649485,0.0
6,60.0,59.0,59.0,0.0,233.0,0.0,233.0,98.33333333333333,0.0
7,30.0,14.0,14.0,0.0,311.0,0.0,311.0,46.666666666666664,0.0
8,10.0,7.0,7.0,0.0,208.0,0.0,208.0,70.0,0.0
9,8.0,6.0,6.0,0.0,186.0,0.0,186.0,75.0,0.0
10,7.0,5.0,5.0,0.0,187.0,0.0,187.0,71.42857142857143,0.0
11,9.0,9.0,9.0,0.0,257.0,0.0,257.0,100.0,0.0
12,23.0,15.0,15.0,0.0,363.0,0.0,363.0,65.21739130434783,0.0
13,7.0,7.0,7.0,0.0,242.0,0.0,242.0,100.0,0.0
14,10.0,6.0,6.0,0.0,214.0,0.0,214.0,60.0,0.0
15,15.0,7.0,7.0,0.0,256.0,0.0,256.0,46.666666666666664,0.0
16,19.0,10.0,10.0,0.0,331.0,0.0,331.0,52.63157894736842,0.0
17,13.0,9.0,9.0,0.0,350.0,0.0,350.0,69.23076923076923,0.0
18,13.0,8.0,8.0,0.0,351.0,0.0,351.0,61.53846153846154,0.0
19,9.0,5.0,5.0,0.0,260.0,0.0,260.0,55.55555555555556,0.0
20,13.0,7.0,7.0,0.0,292.0,0.0,292.0,53.84615384615385,0.0
21,107.0,52.0,52.0,0.0,399.0,0.0,399.0,48.598130841121495,0.0
22,23.0,15.0,15.0,0.0,574.0,0.0,574.0,65.21739130434783,0.0
23,10.0,8.0,8.0,0.0,244.0,0.0,244.0,80.0,0.0
24,22.0,15.0,15.0,0.0,497.0,0.0,497.0,68.18181818181817,0.0
25,8.0,8.0,8.0,0.0,250.0,0.0,250.0,100.0,0.0
26,8.0,6.0,6.0,0.0,250.0,0.0,250.0,75.0,0.0
27,8.0,4.0,4.0,0.0,300.0,0.0,300.0,50.0,0.0
28,9.0,9.0,9.0,0.0,350.0,0.0,350.0,100.0,0.0
29,8.0,6.0,6.0,0.0,300.0,0.0,300.0,75.0,0.0
30,17.0,11.0,11.0,0.0,600.0,0.0,600.0,64.70588235294117,0.0
31,18.0,18.0,18.0,0.0,500.0,0.0,500.0,100.0,0.0
32,24.0,19.0,19.0,0.0,550.0,0.0,550.0,79.16666666666666,0.0
33,20.0,17.0,17.0,0.0,550.0,0.0,550.0,85.0,0.0
34,23.0,13.0,13.0,0.0,600.0,0.0,600.0,56.52173913043478,0.0
35,28.0,24.0,24.0,0.0,500.0,0.0,500.0,85.71428571428571,0.0
36,6.0,6.0,6.0,0.0,250.0,0.0,250.0,100.0,0.0
37,19.0,17.0,17.0,0.0,400.0,0.0,400.0,89.47368421052632,0.0
38,11.0,11.0,11.0,0.0,400.0,0.0,400.0,100.0,0.0
39,9.0,4.0,4.0,0.0,400.0,0.0,400.0,44.44444444444444,0.0
40,8.0,6.0,6.0,0.0,350.0,0.0,350.0,75.0,0.0
41,15.0,11.0,11.0,0.0,500.0,0.0,500.0,73.33333333333333,0.0
42,13.0,13.0,13.0,0.0,500.0,0.0,500.0,100.0,0.0
43,24.0,16.0,16.0,0.0,700.0,0.0,700.0,66.66666666666666,0.0
44,35.0,28.0,28.0,0.0,600.0,0.0,600.0,80.0,0.0
45,32.0,25.0,25.0,0.0,750.0,0.0,750.0,78.125,0.0
46,16.0,15.0,15.0,0.0,450.0,0.0,450.0,93.75,0.0
47,21.0,19.0,19.0,0.0,550.0,0.0,550.0,90.47619047619048,0.0
48,28.0,21.0,21.0,0.0,550.0,0.0,550.0,75.0,0.0
49,20.0,19.0,19.0,0.0,550.0,0.0,550.0,95.0,0.0
50,22.0,14.0,14.0,0.0,650.0,0.0,650.0,63.63636363636363,0.0
51,102.0,101.0,101.0,0.0,350.0,0.0,350.0,99.01960784313727,0.0
52,12.0,12.0,12.0,0.0,450.0,0.0,450.0,100.0,0.0
53,16.0,12.0,12.0,0.0,450.0,0.0,450.0,75.0,0.0
54,10.0,10.0,10.0,0.0,400.0,0.0,400.0,100.0,0.0
55,18.0,15.0,15.0,0.0,500.0,0.0,500.0,83.33333333333334,0.0
56,15.0,12.0,12.0,0.0,500.0,0.0,500.0,80.0,0.0
57,12.0,9.0,9.0,0.0,350.0,0.0,350.0,75.0,0.0
58,18.0,18.0,18.0,0.0,500.0,0.0,500.0,100.0,0.0
59,18.0,16.0,16.0,0.0,450.0,0.0,450.0,88.88888888888889,0.0
60,23.0,20.0,20.0,0.0,600.0,0.0,600.0,86.95652173913044,0.0
61,168.0,143.0,143.0,0.0,650.0,0.0,650.0,85.11904761904762,0.0
62,42.0,39.0,39.0,0.0,600.0,0.0,600.0,92.85714285714286,0.0
63,24.0,18.0,18.0,0.0,600.0,0.0,600.0,75.0,0.0
