second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,37.0,32.0,1.0,31.0,1.0,149.0,150.0,86.48648648648648,31.20805369127517
1,17.0,17.0,0.0,17.0,1.0,149.0,150.0,100.0,0.0
2,20.0,20.0,0.0,20.0,1.0,149.0,150.0,100.0,0.0
3,16.0,16.0,0.0,16.0,1.0,149.0,150.0,100.0,0.0
4,38.0,38.0,0.0,38.0,1.0,149.0,150.0,100.0,0.0
5,212.0,212.0,0.0,212.0,1.0,149.0,150.0,100.0,0.0
6,38.0,38.0,0.0,38.0,1.0,149.0,150.0,100.0,0.0
7,19.0,19.0,0.0,19.0,0.0,100.0,100.0,100.0,0.0
8,7.0,7.0,0.0,7.0,1.0,99.0,100.0,100.0,0.0
9,6.0,6.0,0.0,6.0,1.0,149.0,150.0,100.0,0.0
10,6.0,6.0,0.0,6.0,0.0,100.0,100.0,100.0,0.0
11,18.0,18.0,0.0,18.0,1.0,149.0,150.0,100.0,0.0
12,15.0,15.0,0.0,15.0,1.0,149.0,150.0,100.0,0.0
13,5.0,5.0,0.0,5.0,1.0,99.0,100.0,100.0,0.0
14,12.0,12.0,0.0,12.0,1.0,149.0,150.0,100.0,0.0
15,16.0,16.0,0.0,16.0,1.0,149.0,150.0,100.0,0.0
16,26.0,26.0,0.0,26.0,1.0,149.0,150.0,100.0,0.0
17,10.0,10.0,0.0,10.0,0.0,100.0,100.0,100.0,0.0
18,6.0,6.0,0.0,6.0,1.0,49.0,50.0,100.0,0.0
19,9.0,9.0,0.0,9.0,1.0,99.0,100.0,100.0,0.0
20,69.0,69.0,0.0,69.0,1.0,149.0,150.0,100.0,0.0
21,55.0,55.0,0.0,55.0,1.0,99.0,100.0,100.0,0.0
22,19.0,18.0,0.0,18.0,2.0,148.0,150.0,94.73684210526315,0.0
23,12.0,12.0,1.0,11.0,2.0,98.0,100.0,100.0,11.224489795918368
24,23.0,18.0,1.0,17.0,6.0,144.0,150.0,78.26086956521739,17.708333333333336
25,9.0,7.0,0.0,7.0,6.0,94.0,100.0,77.77777777777779,0.0
26,6.0,4.0,0.0,4.0,7.0,93.0,100.0,66.66666666666666,0.0
27,9.0,7.0,0.0,7.0,7.0,93.0,100.0,77.77777777777779,0.0
28,10.0,9.0,0.0,9.0,12.0,138.0,150.0,90.0,0.0
29,16.0,9.0,0.0,9.0,11.0,89.0,100.0,56.25,0.0
30,18.0,18.0,4.0,14.0,14.0,136.0,150.0,100.0,3.860294117647059
31,12.0,12.0,0.0,12.0,11.0,89.0,100.0,100.0,0.0
32,23.0,17.0,0.0,17.0,8.0,92.0,100.0,73.91304347826086,0.0
33,16.0,13.0,0.0,13.0,10.0,90.0,100.0,81.25,0.0
34,37.0,28.0,0.0,28.0,17.0,133.0,150.0,75.67567567567568,0.0
35,15.0,13.0,0.0,13.0,18.0,132.0,150.0,86.66666666666667,0.0
36,12.0,10.0,1.0,9.0,18.0,132.0,150.0,83.33333333333334,10.227272727272727
37,13.0,13.0,0.0,13.0,13.0,87.0,100.0,100.0,0.0
38,13.0,10.0,1.0,9.0,19.0,131.0,150.0,76.92307692307693,10.305343511450381
39,5.0,3.0,0.0,3.0,17.0,83.0,100.0,60.0,0.0
40,10.0,7.0,0.0,7.0,23.0,127.0,150.0,70.0,0.0
41,20.0,16.0,2.0,14.0,24.0,126.0,150.0,80.0,8.333333333333334
42,14.0,10.0,4.0,6.0,13.0,87.0,100.0,71.42857142857143,1.7241379310344829
43,32.0,26.0,2.0,24.0,25.0,125.0,150.0,81.25,14.399999999999999
44,30.0,25.0,4.0,21.0,26.0,124.0,150.0,83.33333333333334,6.350806451612903
45,25.0,18.0,3.0,15.0,28.0,122.0,150.0,72.0,6.147540983606557
46,18.0,18.0,1.0,17.0,16.0,84.0,100.0,100.0,20.238095238095237
47,30.0,22.0,1.0,21.0,31.0,119.0,150.0,73.33333333333333,26.470588235294116
48,19.0,17.0,0.0,17.0,23.0,77.0,100.0,89.47368421052632,0.0
49,23.0,18.0,4.0,14.0,32.0,118.0,150.0,78.26086956521739,4.4491525423728815
50,111.0,107.0,2.0,105.0,32.0,118.0,150.0,96.3963963963964,66.73728813559322
51,6.0,6.0,0.0,6.0,21.0,79.0,100.0,100.0,0.0
52,15.0,13.0,0.0,13.0,33.0,117.0,150.0,86.66666666666667,0.0
53,13.0,11.0,0.0,11.0,33.0,117.0,150.0,84.61538461538461,0.0
54,20.0,18.0,3.0,15.0,35.0,115.0,150.0,90.0,6.521739130434782
55,13.0,11.0,3.0,8.0,23.0,77.0,100.0,84.61538461538461,3.4632034632034627
56,13.0,8.0,1.0,7.0,36.0,114.0,150.0,61.53846153846154,9.210526315789474
57,14.0,13.0,3.0,10.0,23.0,77.0,100.0,92.85714285714286,4.329004329004329
58,12.0,11.0,2.0,9.0,25.0,75.0,100.0,91.66666666666666,6.0
59,22.0,22.0,7.0,15.0,36.0,114.0,150.0,100.0,2.819548872180451
60,20.0,16.0,3.0,13.0,36.0,114.0,150.0,80.0,5.701754385964912
61,183.0,157.0,142.0,15.0,41.0,109.0,150.0,85.79234972677595,0.1453676185553689
62,32.0,28.0,15.0,13.0,41.0,109.0,150.0,87.5,1.1926605504587156
63,23.0,17.0,4.0,13.0,41.0,109.0,150.0,73.91304347826086,4.472477064220183
64,36.0,34.0,4.0,30.0,41.0,109.0,150.0,94.44444444444444,10.321100917431192
65,15.0,12.0,2.0,10.0,27.0,73.0,100.0,80.0,6.8493150684931505
66,20.0,17.0,2.0,15.0,28.0,72.0,100.0,85.0,10.416666666666668
67,22.0,19.0,4.0,15.0,42.0,108.0,150.0,86.36363636363636,5.208333333333334
68,22.0,20.0,2.0,18.0,43.0,107.0,150.0,90.9090909090909,12.616822429906541
69,14.0,11.0,0.0,11.0,43.0,107.0,150.0,78.57142857142857,0.0
70,22.0,20.0,2.0,18.0,43.0,107.0,150.0,90.9090909090909,12.616822429906541
71,10.0,9.0,2.0,7.0,28.0,72.0,100.0,90.0,4.861111111111112
72,9.0,7.0,0.0,7.0,30.0,70.0,100.0,77.77777777777779,0.0
73,23.0,16.0,9.0,7.0,31.0,69.0,100.0,69.56521739130434,1.1272141706924317
74,7.0,7.0,1.0,6.0,31.0,69.0,100.0,100.0,8.695652173913045
75,16.0,16.0,0.0,16.0,45.0,105.0,150.0,100.0,0.0
76,5.0,5.0,0.0,5.0,31.0,69.0,100.0,100.0,0.0
77,11.0,10.0,0.0,10.0,45.0,105.0,150.0,90.9090909090909,0.0
78,29.0,19.0,4.0,15.0,47.0,103.0,150.0,65.51724137931035,5.461165048543689
79,4.0,4.0,0.0,4.0,30.0,70.0,100.0,100.0,0.0
80,7.0,7.0,0.0,7.0,17.0,33.0,50.0,100.0,0.0
81,105.0,103.0,0.0,103.0,47.0,103.0,150.0,98.09523809523809,0.0
82,7.0,7.0,0.0,7.0,47.0,103.0,150.0,100.0,0.0
83,23.0,16.0,0.0,16.0,47.0,103.0,150.0,69.56521739130434,0.0
84,16.0,13.0,2.0,11.0,47.0,103.0,150.0,81.25,8.009708737864077
85,21.0,19.0,3.0,16.0,47.0,103.0,150.0,90.47619047619048,7.766990291262136
86,10.0,8.0,0.0,8.0,33.0,67.0,100.0,80.0,0.0
87,12.0,10.0,2.0,8.0,33.0,67.0,100.0,83.33333333333334,5.970149253731343
88,8.0,6.0,0.0,6.0,31.0,69.0,100.0,75.0,0.0
89,28.0,21.0,7.0,14.0,47.0,103.0,150.0,75.0,2.912621359223301
90,25.0,23.0,7.0,16.0,47.0,103.0,150.0,92.0,3.3287101248266295
91,12.0,12.0,1.0,11.0,47.0,103.0,150.0,100.0,16.019417475728154
92,44.0,42.0,30.0,12.0,47.0,103.0,150.0,95.45454545454545,0.5825242718446603
93,5.0,5.0,0.0,5.0,30.0,70.0,100.0,100.0,0.0
94,5.0,5.0,0.0,5.0,31.0,69.0,100.0,100.0,0.0
95,28.0,28.0,0.0,28.0,47.0,103.0,150.0,100.0,0.0
96,19.0,17.0,0.0,17.0,47.0,103.0,150.0,89.47368421052632,0.0
97,16.0,16.0,2.0,14.0,47.0,103.0,150.0,100.0,10.194174757281553
98,16.0,16.0,0.0,16.0,47.0,103.0,150.0,100.0,0.0
99,5.0,5.0,0.0,5.0,17.0,33.0,50.0,100.0,0.0
100,4.0,4.0,0.0,4.0,30.0,70.0,100.0,100.0,0.0
101,10.0,6.0,0.0,6.0,30.0,70.0,100.0,60.0,0.0
102,78.0,68.0,57.0,11.0,49.0,101.0,150.0,87.17948717948718,0.28660760812923397
103,14.0,11.0,4.0,7.0,34.0,66.0,100.0,78.57142857142857,2.6515151515151514
104,18.0,17.0,8.0,9.0,51.0,99.0,150.0,94.44444444444444,1.7045454545454544
105,28.0,28.0,15.0,13.0,34.0,66.0,100.0,100.0,1.3131313131313131
106,13.0,13.0,4.0,9.0,51.0,99.0,150.0,100.0,3.4090909090909087
107,15.0,13.0,0.0,13.0,51.0,99.0,150.0,86.66666666666667,0.0
108,16.0,16.0,0.0,16.0,51.0,99.0,150.0,100.0,0.0
109,5.0,3.0,1.0,2.0,34.0,66.0,100.0,60.0,3.0303030303030303
110,10.0,10.0,2.0,8.0,37.0,63.0,100.0,100.0,6.349206349206349
111,110.0,110.0,1.0,109.0,51.0,99.0,150.0,100.0,165.15151515151516
112,18.0,18.0,10.0,8.0,51.0,99.0,150.0,100.0,1.2121212121212122
113,17.0,17.0,7.0,10.0,51.0,99.0,150.0,100.0,2.1645021645021645
114,8.0,7.0,2.0,5.0,31.0,69.0,100.0,87.5,3.6231884057971016
115,15.0,15.0,2.0,13.0,51.0,99.0,150.0,100.0,9.848484848484848
116,16.0,14.0,0.0,14.0,51.0,99.0,150.0,87.5,0.0
117,26.0,18.0,4.0,14.0,51.0,99.0,150.0,69.23076923076923,5.303030303030303
118,15.0,13.0,0.0,13.0,51.0,99.0,150.0,86.66666666666667,0.0
119,16.0,15.0,2.0,13.0,37.0,63.0,100.0,93.75,10.317460317460318
120,18.0,15.0,4.0,11.0,51.0,99.0,150.0,83.33333333333334,4.166666666666666
121,25.0,23.0,12.0,11.0,51.0,99.0,150.0,92.0,1.3888888888888888
122,23.0,16.0,1.0,15.0,51.0,99.0,150.0,69.56521739130434,22.727272727272727
123,11.0,10.0,0.0,10.0,34.0,66.0,100.0,90.9090909090909,0.0
124,27.0,26.0,0.0,26.0,51.0,99.0,150.0,96.29629629629629,0.0
125,19.0,15.0,0.0,15.0,51.0,99.0,150.0,78.94736842105263,0.0
126,22.0,21.0,0.0,21.0,51.0,99.0,150.0,95.45454545454545,0.0
127,20.0,19.0,0.0,19.0,51.0,99.0,150.0,95.0,0.0
128,18.0,17.0,0.0,17.0,51.0,99.0,150.0,94.44444444444444,0.0
129,12.0,12.0,0.0,12.0,20.0,30.0,50.0,100.0,0.0
130,6.0,6.0,4.0,2.0,14.0,36.0,50.0,100.0,0.6944444444444444
131,13.0,12.0,1.0,11.0,51.0,99.0,150.0,92.3076923076923,16.666666666666664
132,17.0,16.0,3.0,13.0,51.0,99.0,150.0,94.11764705882352,6.565656565656565
133,13.0,8.0,1.0,7.0,51.0,99.0,150.0,61.53846153846154,10.606060606060606
134,19.0,15.0,0.0,15.0,51.0,99.0,150.0,78.94736842105263,0.0
135,16.0,14.0,0.0,14.0,51.0,99.0,150.0,87.5,0.0
136,4.0,4.0,0.0,4.0,31.0,69.0,100.0,100.0,0.0
137,35.0,30.0,9.0,21.0,52.0,98.0,150.0,85.71428571428571,3.5714285714285716
138,16.0,14.0,2.0,12.0,32.0,68.0,100.0,87.5,8.823529411764705
139,11.0,9.0,2.0,7.0,34.0,66.0,100.0,81.81818181818183,5.303030303030303
