lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,1.04052,1.04052,12,11,1,0,11,50,0,50,91.66666666666666,0.0,0,0.0,0.0
1,1.04052,2.066465,1.025945,5,5,0,0,5,50,0,50,100.0,0.0,0,0.0,0.0
2,2.066465,3.106378,1.0399129999999999,7,7,0,0,7,50,0,50,100.0,0.0,0,0.0,0.0
3,3.106378,4.135656,1.0292780000000001,6,6,0,0,6,50,0,50,100.0,0.0,0,0.0,0.0
4,4.135656,5.268717,1.1330609999999997,5,5,0,0,5,50,0,50,100.0,0.0,0,0.0,0.0
5,5.268717,6.307483,1.0387660000000007,8,8,0,0,8,50,0,50,100.0,0.0,0,0.0,0.0
6,6.307483,7.307616,1.000133,7,7,0,0,7,50,0,50,100.0,0.0,0,0.0,0.0
7,7.307616,8.38536,1.077744,13,13,0,0,13,50,0,50,100.0,0.0,0,0.0,0.0
8,8.38536,9.408995,1.0236350000000005,3,3,0,0,3,50,0,50,100.0,0.0,0,0.0,0.0
9,9.408995,10.445523,1.0365279999999988,2,2,0,0,2,50,0,50,100.0,0.0,0,0.0,0.0
10,10.445523,11.470182,1.0246589999999998,2,2,0,0,2,50,0,50,100.0,0.0,0,0.0,0.0
11,11.470182,12.506409,1.0362270000000002,10,10,0,0,10,50,0,50,100.0,0.0,0,0.0,0.0
12,12.506409,14.116629,1.61022,5,5,0,0,5,50,0,50,100.0,0.0,0,0.0,0.0
13,14.116629,15.290706,1.1740770000000005,7,7,0,0,7,50,0,50,100.0,0.0,0,0.0,0.0
14,15.290706,16.310244,1.0195380000000007,10,10,0,0,10,50,0,50,100.0,0.0,0,0.0,0.0
15,16.310244,17.340409,1.0301650000000002,14,14,0,0,14,50,0,50,100.0,0.0,0,0.0,0.0
16,17.340409,19.119977,1.7795679999999976,5,5,0,0,5,50,0,50,100.0,0.0,0,0.0,0.0
17,19.119977,20.67453,1.554553000000002,7,7,0,0,7,50,0,50,100.0,0.0,0,0.0,0.0
18,20.67453,22.085094,1.4105640000000008,4,4,0,0,4,50,0,50,100.0,0.0,0,0.0,0.0
19,22.085094,23.295419,1.2103249999999974,12,11,1,0,11,50,1,49,91.66666666666666,0.0,1,0.0,0.0
20,23.295419,24.409966,1.1145470000000017,6,6,0,1,5,50,1,49,100.0,5.1020408163265305,0,0.0,0.0
21,24.409966,25.416296,1.0063299999999984,9,7,2,1,6,50,3,47,77.77777777777779,6.382978723404256,2,0.0,0.0
22,25.416296,26.668497,1.2522009999999995,1,1,0,0,1,50,3,47,100.0,0.0,0,0.0,0.0
23,26.668497,28.306505,1.6380080000000028,4,2,2,0,2,50,5,45,50.0,0.0,2,0.0,0.0
24,28.306505,29.899978,1.5934729999999995,3,2,1,0,2,50,5,45,66.66666666666666,0.0,0,0.0,0.0
25,29.899978,30.951773,1.0517949999999985,7,6,1,0,6,50,7,43,85.71428571428571,0.0,2,0.0,0.0
26,30.951773,31.952336,1.0005629999999996,3,3,0,0,3,50,7,43,100.0,0.0,0,0.0,0.0
27,31.952336,33.042354,1.0900180000000042,8,8,0,0,8,50,7,43,100.0,0.0,0,0.0,0.0
28,33.042354,34.636915,1.5945609999999988,6,3,3,0,3,50,7,43,50.0,0.0,2,0.0,0.0
29,34.636915,35.801163,1.1642480000000006,13,4,9,0,4,50,9,41,30.76923076923077,0.0,10,0.0,0.0
30,35.801163,36.832191,1.0310279999999992,4,2,2,0,2,50,10,40,50.0,0.0,2,0.0,0.0
31,36.832191,37.843914,1.0117229999999964,7,5,2,0,5,50,10,40,71.42857142857143,0.0,1,0.0,0.0
32,37.843914,38.908288,1.0643740000000008,6,6,0,0,6,50,10,40,100.0,0.0,1,0.0,0.0
33,38.908288,39.938652,1.0303639999999987,4,2,2,0,2,50,11,39,50.0,0.0,2,0.0,0.0
34,39.938652,40.969237,1.030585000000002,2,2,0,0,2,50,11,39,100.0,0.0,0,0.0,0.0
35,40.969237,41.995855,1.0266179999999991,4,3,1,0,3,50,12,38,75.0,0.0,1,0.0,0.0
36,41.995855,43.04697,1.051115000000003,8,6,2,0,6,50,12,38,75.0,0.0,1,0.0,0.0
37,43.04697,44.191401,1.1444309999999973,8,7,1,0,7,50,12,38,87.5,0.0,2,0.0,0.0
38,44.191401,45.222689,1.0312880000000035,4,4,0,2,2,50,12,38,100.0,1.3157894736842106,0,0.0,0.0
39,45.222689,47.049976,1.8272869999999983,12,9,3,2,7,50,12,38,75.0,4.605263157894737,3,0.0,0.0
40,47.049976,48.093602,1.0436259999999962,8,6,2,1,5,50,12,38,75.0,6.578947368421052,1,0.0,0.0
41,48.093602,49.138816,1.0452140000000014,7,7,0,0,7,50,12,38,100.0,0.0,1,0.0,0.0
42,49.138816,50.27393,1.1351140000000015,4,3,1,0,3,50,12,38,75.0,0.0,1,0.0,0.0
43,50.27393,51.305426,1.031495999999997,5,2,3,0,2,50,12,38,40.0,0.0,3,0.0,0.0
44,51.305426,52.334038,1.0286120000000025,2,2,0,0,2,50,12,38,100.0,0.0,0,0.0,0.0
45,52.334038,53.380549,1.0465110000000024,8,8,0,0,8,50,12,38,100.0,0.0,0,0.0,0.0
46,53.380549,54.513158,1.132608999999995,3,3,0,0,3,50,12,38,100.0,0.0,0,0.0,0.0
47,54.513158,56.282122,1.768964000000004,6,6,0,0,6,50,12,38,100.0,0.0,0,0.0,0.0
48,56.282122,57.407868,1.1257459999999995,5,3,2,0,3,50,12,38,60.0,0.0,2,0.0,0.0
49,57.407868,58.409183,1.0013149999999982,5,5,0,0,5,50,12,38,100.0,0.0,0,0.0,0.0
50,58.409183,59.468748,1.0595649999999992,7,6,1,0,6,50,12,38,85.71428571428571,0.0,1,0.0,0.0
51,59.468748,60.510276,1.0415279999999996,5,5,0,0,5,50,12,38,100.0,0.0,0,0.0,0.0
52,60.510276,61.543605,1.033329000000002,5,2,3,0,2,50,12,38,40.0,0.0,3,0.0,0.0
53,61.543605,62.588562,1.0449570000000037,71,52,19,49,3,50,14,36,73.23943661971832,0.08503401360544217,8,0.0,0.0
54,62.588562,63.609424,1.020861999999994,12,8,4,2,6,50,14,36,66.66666666666666,4.166666666666667,4,0.0,0.0
55,63.609424,64.708535,1.0991110000000006,9,5,4,0,5,50,14,36,55.55555555555556,0.0,3,0.0,0.0
56,64.708535,66.110178,1.401643000000007,10,8,2,1,7,50,14,36,80.0,9.722222222222223,3,0.0,0.0
57,66.110178,67.114178,1.0039999999999907,4,4,0,0,4,50,14,36,100.0,0.0,0,0.0,0.0
58,67.114178,68.129977,1.0157990000000012,10,9,1,0,9,50,14,36,90.0,0.0,1,0.0,0.0
59,68.129977,69.490038,1.3600610000000017,12,12,0,0,12,50,14,36,100.0,0.0,0,0.0,0.0
60,69.490038,70.527315,1.0372770000000031,6,4,2,0,4,50,14,36,66.66666666666666,0.0,2,0.0,0.0
61,70.527315,71.574186,1.0468709999999959,10,10,0,0,10,50,14,36,100.0,0.0,0,0.0,0.0
62,71.574186,72.70402,1.1298340000000024,3,3,0,0,3,50,14,36,100.0,0.0,0,0.0,0.0
63,72.70402,73.733202,1.0291820000000058,4,4,0,0,4,50,14,36,100.0,0.0,0,0.0,0.0
64,73.733202,75.45154,1.7183379999999886,17,12,5,9,3,50,14,36,70.58823529411765,0.46296296296296297,5,0.0,0.0
65,75.45154,76.629078,1.1775380000000126,9,9,0,0,9,50,14,36,100.0,0.0,0,0.0,0.0
66,76.629078,77.664438,1.0353599999999972,2,2,0,0,2,50,14,36,100.0,0.0,0,0.0,0.0
67,77.664438,78.739964,1.0755259999999964,7,6,1,0,6,50,14,36,85.71428571428571,0.0,0,0.0,0.0
68,78.739964,79.949739,1.2097749999999934,7,4,3,2,2,50,16,34,57.14285714285714,1.4705882352941175,4,0.0,0.0
69,79.949739,81.016483,1.066744,3,3,0,0,3,50,16,34,100.0,0.0,0,0.0,0.0
70,81.016483,82.726055,1.7095720000000085,4,4,0,0,4,50,16,34,100.0,0.0,0,0.0,0.0
71,82.726055,83.749445,1.023389999999992,3,3,0,0,3,50,16,34,100.0,0.0,0,0.0,0.0
72,83.749445,84.791931,1.042486000000011,8,5,3,0,5,50,16,34,62.5,0.0,3,0.0,0.0
73,84.791931,85.828078,1.0361469999999997,5,4,1,2,2,50,16,34,80.0,1.4705882352941175,1,0.0,0.0
74,85.828078,86.889435,1.061357000000001,4,4,0,2,2,50,16,34,100.0,1.4705882352941175,0,0.0,0.0
