second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
0,105.0,24.0,9.0,15.0,192.0,2208.0,2400.0,22.857142857142858,1.8115942028985508
1,48.0,27.0,18.0,9.0,144.0,1056.0,1200.0,56.25,0.5681818181818182
2,60.0,33.0,27.0,6.0,231.0,1419.0,1650.0,55.00000000000001,0.25839793281653745
3,39.0,30.0,21.0,9.0,204.0,1296.0,1500.0,76.92307692307693,0.496031746031746
4,57.0,27.0,18.0,9.0,111.0,939.0,1050.0,47.368421052631575,0.5591054313099042
5,582.0,456.0,453.0,3.0,462.0,1488.0,1950.0,78.35051546391753,0.008678701132236701
6,180.0,177.0,171.0,6.0,312.0,1038.0,1350.0,98.33333333333333,0.04563431700638881
7,90.0,75.0,36.0,39.0,231.0,1569.0,1800.0,83.33333333333334,1.2428298279158698
8,30.0,21.0,18.0,3.0,114.0,936.0,1050.0,70.0,0.18696581196581194
9,24.0,18.0,15.0,3.0,96.0,804.0,900.0,75.0,0.22388059701492538
10,21.0,15.0,12.0,3.0,93.0,807.0,900.0,71.42857142857143,0.2788104089219331
11,27.0,27.0,12.0,15.0,93.0,1107.0,1200.0,100.0,1.3550135501355014
12,69.0,39.0,12.0,27.0,126.0,1524.0,1650.0,56.52173913043478,2.4360236220472444
13,21.0,21.0,12.0,9.0,84.0,966.0,1050.0,100.0,0.8152173913043478
14,30.0,30.0,12.0,18.0,99.0,801.0,900.0,100.0,1.6853932584269662
15,45.0,45.0,12.0,33.0,78.0,972.0,1050.0,100.0,2.970679012345679
16,57.0,57.0,12.0,45.0,36.0,1314.0,1350.0,100.0,3.852739726027397
17,39.0,33.0,9.0,24.0,51.0,1299.0,1350.0,84.61538461538461,2.771362586605081
18,39.0,39.0,0.0,39.0,36.0,1314.0,1350.0,100.0,0.0
19,27.0,15.0,3.0,12.0,48.0,852.0,900.0,55.55555555555556,4.225352112676056
20,39.0,39.0,3.0,36.0,27.0,1023.0,1050.0,100.0,12.316715542521994
21,321.0,303.0,6.0,297.0,72.0,1278.0,1350.0,94.39252336448598,52.2887323943662
22,69.0,57.0,15.0,42.0,153.0,1647.0,1800.0,82.6086956521739,3.060109289617486
23,30.0,24.0,9.0,15.0,51.0,699.0,750.0,80.0,1.78826895565093
24,66.0,54.0,27.0,27.0,126.0,1374.0,1500.0,81.81818181818183,1.0917030567685588
25,24.0,24.0,18.0,6.0,48.0,702.0,750.0,100.0,0.35612535612535606
26,24.0,18.0,0.0,18.0,54.0,696.0,750.0,75.0,0.0
27,24.0,12.0,6.0,6.0,75.0,825.0,900.0,50.0,1.090909090909091
28,27.0,27.0,6.0,21.0,90.0,960.0,1050.0,100.0,3.828125
29,24.0,18.0,6.0,12.0,57.0,843.0,900.0,75.0,2.135231316725979
30,51.0,36.0,6.0,30.0,117.0,1683.0,1800.0,70.58823529411765,5.347593582887701
31,54.0,54.0,9.0,45.0,102.0,1398.0,1500.0,100.0,5.364806866952789
32,72.0,57.0,24.0,33.0,78.0,1572.0,1650.0,79.16666666666666,1.4432251908396947
33,60.0,45.0,24.0,21.0,93.0,1557.0,1650.0,75.0,0.9272639691714837
34,69.0,39.0,21.0,18.0,183.0,1617.0,1800.0,56.52173913043478,0.9541478929234031
35,84.0,72.0,6.0,66.0,153.0,1347.0,1500.0,85.71428571428571,12.249443207126948
36,18.0,18.0,6.0,12.0,57.0,693.0,750.0,100.0,2.1645021645021645
37,57.0,51.0,6.0,45.0,144.0,1056.0,1200.0,89.47368421052632,8.522727272727273
38,33.0,27.0,6.0,21.0,60.0,1140.0,1200.0,81.81818181818183,3.68421052631579
39,27.0,12.0,6.0,6.0,69.0,1131.0,1200.0,44.44444444444444,1.0610079575596818
40,24.0,18.0,6.0,12.0,72.0,978.0,1050.0,75.0,2.147239263803681
41,45.0,33.0,12.0,21.0,120.0,1380.0,1500.0,73.33333333333333,1.9021739130434783
42,39.0,39.0,6.0,33.0,114.0,1386.0,1500.0,100.0,5.952380952380952
43,72.0,48.0,18.0,30.0,144.0,1956.0,2100.0,66.66666666666666,1.7893660531697344
44,105.0,78.0,36.0,42.0,267.0,1533.0,1800.0,74.28571428571429,1.3698630136986303
45,96.0,75.0,33.0,42.0,291.0,1959.0,2250.0,78.125,1.4617847695948767
46,48.0,42.0,24.0,18.0,219.0,1131.0,1350.0,87.5,0.8952254641909815
47,63.0,48.0,24.0,24.0,123.0,1527.0,1650.0,76.19047619047619,1.0805500982318272
48,84.0,63.0,24.0,39.0,147.0,1503.0,1650.0,75.0,1.783932135728543
49,60.0,51.0,30.0,21.0,183.0,1467.0,1650.0,85.0,0.787321063394683
50,66.0,36.0,18.0,18.0,177.0,1773.0,1950.0,54.54545454545454,1.0998307952622675
51,306.0,297.0,6.0,291.0,108.0,942.0,1050.0,97.05882352941177,54.060509554140125
52,36.0,36.0,9.0,27.0,126.0,1224.0,1350.0,100.0,3.308823529411765
53,48.0,36.0,9.0,27.0,81.0,1269.0,1350.0,75.0,3.191489361702128
54,30.0,24.0,15.0,9.0,72.0,1128.0,1200.0,80.0,0.6382978723404256
55,54.0,36.0,15.0,21.0,144.0,1356.0,1500.0,66.66666666666666,1.5486725663716814
56,45.0,36.0,12.0,24.0,126.0,1374.0,1500.0,80.0,2.1834061135371177
57,36.0,21.0,9.0,12.0,81.0,969.0,1050.0,58.333333333333336,1.4447884416924663
58,54.0,54.0,21.0,33.0,144.0,1356.0,1500.0,100.0,1.7383059418457647
59,54.0,48.0,30.0,18.0,114.0,1236.0,1350.0,88.88888888888889,0.6553398058252426
60,69.0,60.0,21.0,39.0,129.0,1671.0,1800.0,86.95652173913044,2.0005129520389846
61,504.0,393.0,366.0,27.0,333.0,1617.0,1950.0,77.97619047619048,0.088962559688555
62,126.0,111.0,90.0,21.0,360.0,1440.0,1800.0,88.09523809523809,0.29166666666666663
63,72.0,42.0,18.0,24.0,384.0,1416.0,1800.0,58.333333333333336,1.694915254237288
64,51.0,36.0,21.0,15.0,198.0,1152.0,1350.0,70.58823529411765,0.8370535714285714
65,108.0,93.0,9.0,84.0,162.0,1338.0,1500.0,86.11111111111111,10.463378176382662
66,57.0,45.0,18.0,27.0,216.0,1284.0,1500.0,78.94736842105263,1.752336448598131
67,69.0,54.0,18.0,36.0,162.0,1788.0,1950.0,78.26086956521739,2.1812080536912752
68,69.0,60.0,9.0,51.0,87.0,1263.0,1350.0,86.95652173913044,6.0570071258907365
69,42.0,36.0,15.0,21.0,126.0,1224.0,1350.0,85.71428571428571,1.5441176470588236
70,51.0,33.0,9.0,24.0,123.0,1227.0,1350.0,64.70588235294117,2.9339853300733494
71,36.0,30.0,9.0,21.0,96.0,954.0,1050.0,83.33333333333334,2.568134171907757
72,36.0,21.0,12.0,9.0,111.0,1089.0,1200.0,58.333333333333336,0.8264462809917356
73,24.0,18.0,3.0,15.0,72.0,978.0,1050.0,75.0,5.368098159509203
74,75.0,36.0,9.0,27.0,183.0,1017.0,1200.0,48.0,3.5398230088495573
75,45.0,24.0,6.0,18.0,189.0,1161.0,1350.0,53.333333333333336,3.488372093023256
76,18.0,18.0,0.0,18.0,90.0,660.0,750.0,100.0,0.0
77,27.0,27.0,0.0,27.0,57.0,993.0,1050.0,100.0,0.0
78,66.0,39.0,6.0,33.0,57.0,1443.0,1500.0,59.09090909090909,5.717255717255718
79,36.0,24.0,6.0,18.0,90.0,1110.0,1200.0,66.66666666666666,3.243243243243243
80,27.0,27.0,0.0,27.0,42.0,708.0,750.0,100.0,0.0
81,315.0,309.0,6.0,303.0,138.0,1512.0,1650.0,98.09523809523809,55.10912698412698
82,18.0,18.0,6.0,12.0,48.0,852.0,900.0,100.0,2.112676056338028
83,51.0,39.0,6.0,33.0,57.0,1443.0,1500.0,76.47058823529412,5.717255717255718
84,42.0,27.0,6.0,21.0,78.0,1122.0,1200.0,64.28571428571429,3.7433155080213902
85,63.0,45.0,12.0,33.0,138.0,1362.0,1500.0,71.42857142857143,3.0286343612334803
86,39.0,33.0,6.0,27.0,132.0,1218.0,1350.0,84.61538461538461,4.987684729064039
87,27.0,24.0,0.0,24.0,66.0,834.0,900.0,88.88888888888889,0.0
88,42.0,33.0,6.0,27.0,99.0,1401.0,1500.0,78.57142857142857,4.817987152034261
89,54.0,33.0,6.0,27.0,81.0,1419.0,1500.0,61.111111111111114,4.7568710359408035
90,81.0,63.0,33.0,30.0,204.0,1596.0,1800.0,77.77777777777779,1.0252904989747094
91,54.0,54.0,12.0,42.0,114.0,1386.0,1500.0,100.0,3.7878787878787876
92,42.0,30.0,12.0,18.0,78.0,1272.0,1350.0,71.42857142857143,1.5919811320754718
93,111.0,111.0,90.0,21.0,84.0,1266.0,1350.0,100.0,0.24881516587677724
94,21.0,21.0,6.0,15.0,42.0,1008.0,1050.0,100.0,2.604166666666667
95,78.0,78.0,6.0,72.0,27.0,1173.0,1200.0,100.0,12.27621483375959
96,42.0,42.0,6.0,36.0,36.0,1764.0,1800.0,100.0,6.122448979591836
97,54.0,54.0,6.0,48.0,30.0,1470.0,1500.0,100.0,8.16326530612245
98,36.0,36.0,6.0,30.0,36.0,1314.0,1350.0,100.0,5.136986301369863
99,33.0,33.0,12.0,21.0,18.0,1182.0,1200.0,100.0,1.7766497461928934
100,24.0,24.0,6.0,18.0,12.0,738.0,750.0,100.0,3.048780487804878
101,21.0,18.0,6.0,12.0,12.0,888.0,900.0,85.71428571428571,2.027027027027027
102,234.0,207.0,177.0,30.0,138.0,1512.0,1650.0,88.46153846153845,0.1849609900457358
103,45.0,27.0,9.0,18.0,141.0,1059.0,1200.0,60.0,2.26628895184136
104,30.0,27.0,21.0,6.0,102.0,948.0,1050.0,90.0,0.31645569620253167
105,99.0,84.0,45.0,39.0,129.0,1221.0,1350.0,84.84848484848484,0.9582309582309582
106,33.0,33.0,18.0,15.0,132.0,1068.0,1200.0,100.0,0.9363295880149813
107,42.0,36.0,12.0,24.0,135.0,1215.0,1350.0,85.71428571428571,2.2222222222222223
108,42.0,36.0,6.0,30.0,105.0,1395.0,1500.0,85.71428571428571,5.376344086021505
109,36.0,36.0,6.0,30.0,54.0,996.0,1050.0,100.0,5.271084337349397
110,36.0,24.0,0.0,24.0,24.0,1176.0,1200.0,66.66666666666666,0.0
111,330.0,330.0,6.0,324.0,84.0,1716.0,1800.0,100.0,56.64335664335664
112,33.0,21.0,6.0,15.0,42.0,1008.0,1050.0,63.63636363636363,2.604166666666667
113,66.0,24.0,12.0,12.0,147.0,1353.0,1500.0,36.36363636363637,1.1086474501108647
114,27.0,27.0,12.0,15.0,144.0,1056.0,1200.0,100.0,1.4204545454545454
115,39.0,30.0,3.0,27.0,171.0,1179.0,1350.0,76.92307692307693,10.305343511450381
116,48.0,42.0,6.0,36.0,105.0,1395.0,1500.0,87.5,6.451612903225806
117,48.0,36.0,12.0,24.0,87.0,1563.0,1650.0,75.0,2.111324376199616
118,60.0,39.0,6.0,33.0,117.0,1383.0,1500.0,65.0,5.96529284164859
119,51.0,45.0,3.0,42.0,159.0,1491.0,1650.0,88.23529411764706,15.492957746478872
120,48.0,33.0,6.0,27.0,126.0,1524.0,1650.0,68.75,4.872047244094489
121,84.0,60.0,12.0,48.0,138.0,1662.0,1800.0,71.42857142857143,4.332129963898917
122,75.0,54.0,12.0,42.0,171.0,1479.0,1650.0,72.0,3.9046653144016226
123,39.0,36.0,6.0,30.0,144.0,1206.0,1350.0,92.3076923076923,5.597014925373134
124,33.0,27.0,3.0,24.0,102.0,1098.0,1200.0,81.81818181818183,8.743169398907103
125,93.0,87.0,6.0,81.0,102.0,1248.0,1350.0,93.54838709677419,14.603365384615385
126,63.0,54.0,9.0,45.0,90.0,1710.0,1800.0,85.71428571428571,5.2631578947368425
127,48.0,45.0,3.0,42.0,45.0,855.0,900.0,93.75,14.73684210526316
128,48.0,39.0,6.0,33.0,57.0,1443.0,1500.0,81.25,5.717255717255718
129,45.0,42.0,9.0,33.0,57.0,1443.0,1500.0,93.33333333333333,3.8115038115038113
130,51.0,39.0,9.0,30.0,66.0,1284.0,1350.0,76.47058823529412,3.504672897196262
131,39.0,36.0,6.0,30.0,81.0,1269.0,1350.0,92.3076923076923,5.319148936170213
132,39.0,33.0,12.0,21.0,72.0,1128.0,1200.0,84.61538461538461,1.8617021276595747
133,36.0,30.0,6.0,24.0,75.0,1275.0,1350.0,83.33333333333334,4.235294117647059
134,39.0,30.0,6.0,24.0,63.0,1287.0,1350.0,76.92307692307693,4.195804195804196
135,63.0,51.0,6.0,45.0,75.0,1125.0,1200.0,80.95238095238095,8.0
136,27.0,27.0,6.0,21.0,57.0,993.0,1050.0,100.0,3.700906344410876
137,36.0,30.0,6.0,24.0,51.0,849.0,900.0,83.33333333333334,4.240282685512367
138,102.0,87.0,30.0,57.0,84.0,1266.0,1350.0,85.29411764705883,2.0260663507109005
139,30.0,24.0,9.0,15.0,63.0,837.0,900.0,80.0,1.7921146953405018
140,42.0,33.0,3.0,30.0,96.0,1254.0,1350.0,78.57142857142857,10.76555023923445
141,312.0,306.0,6.0,300.0,99.0,1401.0,1500.0,98.07692307692307,53.533190578158454
142,21.0,21.0,9.0,12.0,57.0,993.0,1050.0,100.0,1.4098690835850956
143,174.0,144.0,123.0,21.0,120.0,1080.0,1200.0,82.75862068965517,0.1897018970189702
