lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,0.125605,0.125605,3,0,3,0,0,50,1,49,0.0,0.0,0,0.0,0.0
1,0.125605,0.298227,0.17262200000000003,3,0,3,0,0,50,4,46,0.0,0.0,49,0.0,0.0
2,0.298227,0.563713,0.265486,5,2,3,1,1,50,6,44,40.0,1.1363636363636365,44,25.86110186729719,25.86110186729719
3,0.563713,0.786454,0.22274099999999997,1,0,1,0,0,50,6,44,0.0,0.0,43,0.0,-25.86110186729719
4,0.786454,0.896602,0.11014800000000002,2,0,2,0,0,50,8,42,0.0,0.0,43,0.0,0.0
5,0.896602,1.101064,0.20446200000000003,1,0,1,0,0,50,9,41,0.0,0.0,41,0.0,0.0
6,1.101064,1.348419,0.247355,4,1,3,1,0,50,11,39,25.0,0.0,40,12.031367767051057,12.031367767051057
7,1.348419,1.834237,0.48581799999999986,3,3,0,3,0,50,13,37,100.0,0.0,38,31.438667336657463,19.40729956960641
8,1.834237,2.124754,0.2905169999999999,2,2,0,2,0,50,13,37,100.0,0.0,36,66.52007769777958,35.081410361122124
9,2.124754,2.322545,0.19779100000000005,2,2,0,2,0,50,13,37,100.0,0.0,36,36.59366757490775,-29.926410122871836
10,2.322545,2.962379,0.639834,2,0,2,0,0,50,10,40,0.0,0.0,39,0.0,-36.59366757490775
11,2.962379,3.166878,0.2044990000000002,1,1,0,1,0,50,11,39,100.0,0.0,41,33.50903480251904,33.50903480251904
12,3.166878,3.361572,0.1946939999999997,1,1,0,1,0,50,9,41,100.0,0.0,41,34.09410347349176,0.5850686709727171
13,3.361572,3.673047,0.31147500000000017,1,0,1,0,0,50,9,41,0.0,0.0,41,0.0,-34.09410347349176
14,3.673047,3.875735,0.2026880000000002,1,1,0,0,1,50,5,45,100.0,0.0,40,34.699317182044,34.699317182044
15,3.875735,4.059756,0.184021,2,2,0,1,1,50,5,45,100.0,1.1111111111111112,43,132.87464222705412,98.17532504501013
16,4.059756,4.215684,0.1559280000000003,3,1,2,1,0,50,5,45,33.33333333333333,0.0,44,45.12547129754828,-87.74917092950585
17,4.215684,4.881577,0.6658929999999996,3,1,2,1,0,50,7,43,33.33333333333333,0.0,45,1.0,-44.12547129754828
18,4.881577,5.086532,0.204955,2,1,1,1,0,50,8,42,50.0,0.0,44,131.03613921007616,130.03613921007616
19,5.086532,5.462667,0.37613499999999966,16,1,15,1,0,50,9,41,6.25,0.0,42,55.7615243853359,-75.27461482474025
20,5.462667,5.590082,0.12741500000000006,23,11,12,11,0,50,15,35,47.82608695652174,0.0,41,203.95461502682687,148.19309064149098
21,5.590082,5.71339,0.12330800000000064,2,2,0,2,0,50,16,34,100.0,0.0,35,2.0,-201.95461502682687
22,5.71339,5.814995,0.10160499999999928,69,66,3,66,0,50,16,34,95.65217391304348,0.0,35,1044.314320567138,1042.314320567138
23,5.814995,5.94951,0.13451500000000038,7,6,1,6,0,50,16,34,85.71428571428571,0.0,34,6.0,-1038.314320567138
24,5.94951,6.052736,0.10322600000000026,63,63,0,31,32,50,3,47,100.0,1.0981468771448182,31,2301.9582661859727,2295.9582661859727
25,6.052736,6.154,0.10126399999999958,34,34,0,18,16,50,3,47,100.0,0.9456264775413712,45,34.0,-2267.9582661859727
26,6.154,6.348524,0.19452400000000036,1,1,0,1,0,50,3,47,100.0,0.0,45,67.18820694698351,33.18820694698351
27,6.348524,6.995422,0.6468979999999993,1,0,1,0,0,50,3,47,0.0,0.0,45,0.0,-67.18820694698351
28,6.995422,7.199891,0.20446900000000046,16,16,0,8,8,50,4,46,100.0,1.0869565217391304,44,4390.019775164251,4390.019775164251
29,7.199891,8.960382,1.7604909999999991,1,1,0,1,0,50,4,46,100.0,0.0,44,78.21957477148075,-4311.80020039277
30,8.960382,9.164843,0.20446100000000023,1,1,0,0,1,50,4,46,100.0,0.0,44,228.5632436176333,150.34366884615255
31,9.164843,9.999248,0.8344050000000003,3,3,0,1,2,50,4,46,100.0,2.1739130434782608,42,163.62174755679337,-64.94149606083994
32,9.999248,10.203727,0.20447900000000097,1,1,0,0,1,50,3,47,100.0,0.0,43,261.0722784201523,97.45053086335895
33,10.203727,11.037938,0.8342109999999998,1,1,0,1,0,50,3,47,100.0,0.0,43,100.28231042047528,-160.78996799967703
34,11.037938,11.24246,0.20452199999999898,1,1,0,0,1,50,3,47,100.0,0.0,43,293.5813132226712,193.29900280219593
35,11.24246,11.540238,0.297778000000001,2,1,1,1,0,50,3,47,50.0,0.0,43,111.31367824497256,-182.26763497769866
36,11.540238,12.062265,0.5220269999999996,1,1,0,0,1,50,3,47,100.0,0.0,43,86.31600201063347,-24.997676234339096
37,12.062265,12.266839,0.20457399999999915,1,1,0,0,1,50,2,48,100.0,0.0,46,326.0903480251906,239.77434601455715
38,12.266839,12.626493,0.3596540000000008,1,1,0,1,0,50,2,48,100.0,0.0,46,122.34504606946979,-203.74530195572083
39,12.626493,12.796768,0.17027500000000018,2,2,0,0,2,50,2,48,100.0,0.0,44,136.09371000308192,13.748663933612136
40,12.796768,13.10511,0.30834199999999967,2,2,0,1,1,50,2,48,100.0,1.0416666666666667,44,491.9757967216765,355.88208671859456
41,13.10511,13.30966,0.20454999999999934,1,1,0,0,1,50,2,48,100.0,0.0,44,1.0,-490.9757967216765
42,13.30966,13.97388,0.6642200000000003,1,1,0,1,0,50,2,48,100.0,0.0,44,144.40778171846435,143.40778171846435
43,13.97388,14.273798,0.2999179999999999,1,1,0,0,1,50,2,48,100.0,0.0,44,102.09795154613195,-42.3098301723324
44,14.273798,15.182065,0.9082670000000004,1,1,0,0,1,50,1,49,100.0,0.0,45,101.04261345849083,-1.0553380876411182
45,15.182065,15.386599,0.20453400000000066,1,1,0,0,1,50,1,49,100.0,0.0,46,423.61745243274754,322.5748389742567
46,15.386599,16.099301,0.7127020000000002,1,1,0,1,0,50,1,49,100.0,0.0,46,155.4391495429615,-268.17830288978604
47,16.099301,16.251985,0.1526840000000007,1,1,0,0,1,50,1,49,100.0,0.0,46,456.1264872352666,300.6873376923051
48,16.251985,16.412976,0.16099099999999922,2,2,0,1,1,50,1,49,100.0,1.0204081632653061,45,203.7166998934815,-252.40978734178512
49,16.412976,16.541576,0.12859999999999872,1,1,0,0,1,50,1,49,100.0,0.0,44,31.824026938316795,-171.8926729551647
50,16.541576,17.13702,0.5954440000000005,2,2,0,0,2,50,1,49,100.0,0.0,42,74.59257530810193,42.76854836978514
51,17.13702,17.341484,0.20446400000000153,1,1,0,0,1,50,1,49,100.0,0.0,42,488.6355220377857,414.04294672968376
52,17.341484,18.180914,0.8394300000000001,1,1,0,1,0,50,1,49,100.0,0.0,43,177.50188519195603,-311.13363684582964
53,18.180914,18.385489,0.2045749999999984,1,1,0,0,1,50,1,49,100.0,0.0,44,521.1445568403046,343.6426716483486
54,18.385489,18.643506,0.25801699999999883,1,1,0,1,0,50,1,49,100.0,0.0,44,376.0665060329064,-145.07805080739826
55,18.643506,18.907551,0.26404500000000297,3,3,0,0,3,50,1,49,100.0,0.0,42,112.06664539097677,-263.9998606419296
56,18.907551,19.203116,0.29556499999999986,1,1,0,0,1,50,1,49,100.0,0.0,42,1.0,-111.06664539097677
57,19.203116,19.407637,0.20452099999999973,1,1,0,0,1,50,1,49,100.0,0.0,43,553.6535916428237,552.6535916428237
58,19.407637,20.25551,0.8478729999999999,1,1,0,1,0,50,1,49,100.0,0.0,44,398.12924168190114,-155.52434996092256
