lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,0.125605,0.125605,3,0,3,0,0,50,1,49,0.0,0.0,0,0.0,0.0
1,0.125605,0.298227,0.17262200000000003,3,0,3,0,0,50,4,46,0.0,0.0,49,0.0,0.0
2,0.298227,0.563713,0.265486,5,5,0,1,4,50,5,45,100.0,4.444444444444445,41,47.38142626532345,47.38142626532345
3,0.563713,0.786454,0.22274099999999997,1,1,0,0,1,50,5,45,100.0,0.0,40,16.44340564008813,-30.938020625235318
4,0.786454,0.896602,0.11014800000000002,2,2,0,0,2,50,5,45,100.0,0.0,38,25.370890617934776,8.927484977846646
5,0.896602,1.101064,0.20446200000000003,1,0,1,0,0,50,5,45,0.0,0.0,38,0.0,-25.370890617934776
6,1.101064,1.348419,0.247355,4,3,1,1,2,50,4,46,75.0,2.1739130434782608,36,27.96935488500186,27.96935488500186
7,1.348419,1.834237,0.48581799999999986,3,3,0,0,3,50,4,46,100.0,0.0,40,47.514457639618115,19.545102754616256
8,1.834237,2.124754,0.2905169999999999,2,2,0,1,1,50,4,46,100.0,1.0869565217391304,39,48.967526542554005,1.4530689029358896
9,2.124754,2.322545,0.19779100000000005,2,2,0,1,1,50,4,46,100.0,1.0869565217391304,39,40.220897686605284,-8.746628855948721
10,2.322545,2.962379,0.639834,2,1,1,0,1,50,4,46,50.0,0.0,38,8.88858850110021,-31.332309185505075
11,2.962379,3.166878,0.2044990000000002,1,1,0,1,0,50,5,45,100.0,0.0,37,16.696811108214643,7.808222607114432
12,3.166878,3.361572,0.1946939999999997,1,1,0,0,1,50,5,45,100.0,0.0,39,18.15378789202064,1.4569767838059988
13,3.361572,3.673047,0.31147500000000017,1,0,1,0,0,50,5,45,0.0,0.0,39,0.0,-18.15378789202064
14,3.673047,3.875735,0.2026880000000002,1,1,0,1,0,50,4,46,100.0,0.0,39,16.80290611534614,16.80290611534614
15,3.875735,4.059756,0.184021,2,2,0,1,1,50,4,46,100.0,1.0869565217391304,41,41.32239366452237,24.519487549176233
16,4.059756,4.215684,0.1559280000000003,3,2,1,0,2,50,3,47,66.66666666666666,0.0,41,63.59076001911382,22.26836635459145
17,4.215684,4.881577,0.6658929999999996,3,1,2,0,1,50,3,47,33.33333333333333,0.0,42,1.0,-62.59076001911382
18,4.881577,5.086532,0.204955,2,2,0,1,1,50,3,47,100.0,1.0638297872340425,43,80.65316750077015,79.65316750077015
19,5.086532,5.462667,0.37613499999999966,16,16,0,0,16,50,3,47,100.0,0.0,40,192.2226236346231,111.56945613385294
20,5.462667,5.590082,0.12741500000000006,23,17,6,6,11,50,5,45,73.91304347826086,2.0370370370370368,38,231.29452895971363,39.07190532509054
21,5.590082,5.71339,0.12330800000000064,2,2,0,1,1,50,5,45,100.0,1.1111111111111112,36,2.0,-229.29452895971363
22,5.71339,5.814995,0.10160499999999928,69,60,9,46,14,50,3,47,86.95652173913044,0.3237742830712304,41,802.8709574953623,800.8709574953623
23,5.814995,5.94951,0.13451500000000038,7,7,0,4,3,50,3,47,100.0,0.797872340425532,44,22.87858181109716,-779.9923756842651
24,5.94951,6.052736,0.10322600000000026,63,62,1,31,31,50,3,47,98.4126984126984,1.0638297872340425,44,1257.3278468531116,1234.4492650420145
25,6.052736,6.154,0.10126399999999958,34,34,0,16,18,50,3,47,100.0,1.196808510638298,46,34.0,-1223.3278468531116
26,6.154,6.348524,0.19452400000000036,1,0,1,0,0,50,3,47,0.0,0.0,46,0.0,-34.0
27,6.348524,6.995422,0.6468979999999993,1,0,1,0,0,50,3,47,0.0,0.0,46,0.0,0.0
28,6.995422,7.199891,0.20446900000000046,16,15,1,7,8,50,4,46,93.75,1.2422360248447204,46,1292.2725311858496,1292.2725311858496
29,7.199891,8.960382,1.7604909999999991,1,1,0,0,1,50,4,46,100.0,0.0,44,35.30757578404128,-1256.9649554018083
30,8.960382,9.164843,0.20446100000000023,1,1,0,1,0,50,4,46,100.0,0.0,44,40.242027770536595,4.934451986495311
31,9.164843,9.999248,0.8344050000000003,3,3,0,0,3,50,4,46,100.0,0.0,42,66.84379424009732,26.60176646956073
32,9.999248,10.203727,0.20447900000000097,1,1,0,1,0,50,4,46,100.0,0.0,42,95.18086664928785,28.337072409190526
33,10.203727,11.037938,0.8342109999999998,1,1,0,0,1,50,4,46,100.0,0.0,42,46.74343437872171,-48.43743227056614
34,11.037938,11.24246,0.20452199999999898,1,1,0,1,0,50,4,46,100.0,0.0,42,55.93883887875124,9.195404500029532
35,11.24246,11.540238,0.297778000000001,2,2,0,0,2,50,4,46,100.0,0.0,41,72.29411239808258,16.355273519331334
36,11.540238,12.062265,0.5220269999999996,1,0,1,0,0,50,4,46,0.0,0.0,41,22.257228819809058,-50.03688357827352
37,12.062265,12.266839,0.20457399999999915,1,1,0,0,1,50,2,48,100.0,0.0,40,126.5744888657171,104.31726004590804
38,12.266839,12.626493,0.3596540000000008,1,1,0,0,1,50,2,48,100.0,0.0,44,115.35858594680431,-11.21590291891279
39,12.626493,12.796768,0.17027500000000018,2,2,0,0,2,50,2,48,100.0,0.0,42,80.9373432372935,-34.42124270951081
40,12.796768,13.10511,0.30834199999999967,2,2,0,0,2,50,2,48,100.0,0.0,42,135.53287225770825,54.595529020414745
41,13.10511,13.30966,0.20454999999999934,1,1,0,0,1,50,2,48,100.0,0.0,42,1.0,-134.53287225770825
42,13.30966,13.97388,0.6642200000000003,1,1,0,0,1,50,1,49,100.0,0.0,44,138.2303031361651,137.2303031361651
43,13.97388,14.273798,0.2999179999999999,1,1,0,0,1,50,1,49,100.0,0.0,44,48.40871834603841,-89.82158479012669
44,14.273798,15.182065,0.9082670000000004,1,1,0,0,1,50,1,49,100.0,0.0,44,32.55435400440084,-15.85436434163757
45,15.182065,15.386599,0.20453400000000066,1,1,0,0,1,50,1,49,100.0,0.0,44,173.6649221903611,141.11056818596026
46,15.386599,16.099301,0.7127020000000002,1,1,0,0,1,50,1,49,100.0,0.0,44,75.3330808654228,-98.3318413249383
47,16.099301,16.251985,0.1526840000000007,1,1,0,0,1,50,1,49,100.0,0.0,44,189.3617332985757,114.0286524331529
48,16.251985,16.412976,0.16099099999999922,2,2,0,0,2,50,1,49,100.0,0.0,43,170.0415249772763,-19.32020832129939
49,16.412976,16.541576,0.12859999999999872,1,1,0,0,1,50,1,49,100.0,0.0,43,31.886811280176254,-138.15471369710005
50,16.541576,17.13702,0.5954440000000005,2,0,2,0,0,50,0,50,0.0,0.0,44,0.0,-31.886811280176254
51,17.13702,17.341484,0.20446400000000153,1,1,0,0,1,50,2,48,100.0,0.0,43,103.02927220339515,103.02927220339515
52,17.341484,18.180914,0.8394300000000001,1,1,0,0,1,50,2,48,100.0,0.0,46,86.76893946010323,-16.260332743291926
53,18.180914,18.385489,0.2045749999999984,1,1,0,0,1,50,2,48,100.0,0.0,46,220.75535551500496,133.98641605490172
54,18.385489,18.643506,0.25801699999999883,1,1,0,0,1,50,2,48,100.0,0.0,46,92.48686875744342,-128.26848675756156
55,18.643506,18.907551,0.26404500000000297,3,0,3,0,0,50,1,49,0.0,0.0,46,0.0,-92.48686875744342
56,18.907551,19.203116,0.29556499999999986,1,1,0,0,1,50,1,49,100.0,0.0,45,1.0,1.0
57,19.203116,19.407637,0.20452099999999973,1,1,0,0,1,50,1,49,100.0,0.0,46,118.72608331160978,117.72608331160978
58,19.407637,20.25551,0.8478729999999999,1,1,0,0,1,50,1,49,100.0,0.0,46,98.20479805478361,-20.521285256826175
