lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,0.125605,0.125605,3,0,3,0,0,50,1,49,0.0,0.0,0,0.0,0.0
1,0.125605,0.298227,0.17262200000000003,3,0,3,0,0,50,4,46,0.0,0.0,49,0.0,0.0
2,0.298227,0.563713,0.265486,5,2,3,1,1,50,6,44,40.0,1.1363636363636365,44,22.199096679687504,22.199096679687504
3,0.563713,0.786454,0.22274099999999997,1,0,1,0,0,50,6,44,0.0,0.0,43,0.0,-22.199096679687504
4,0.786454,0.896602,0.11014800000000002,2,1,1,0,1,50,5,45,50.0,0.0,42,8.831059455871582,8.831059455871582
5,0.896602,1.101064,0.20446200000000003,1,1,0,0,1,50,4,46,100.0,0.0,42,8.904970943927763,0.07391148805618108
6,1.101064,1.348419,0.247355,4,2,2,1,1,50,3,47,50.0,1.0638297872340425,42,26.124999999999996,17.220029056072235
7,1.348419,1.834237,0.48581799999999986,3,1,2,0,1,50,1,49,33.33333333333333,0.0,41,1.0,-25.124999999999996
8,1.834237,2.124754,0.2905169999999999,2,0,2,0,0,50,2,48,0.0,0.0,46,0.0,-1.0
9,2.124754,2.322545,0.19779100000000005,2,1,1,0,1,50,3,47,50.0,0.0,46,24.0,24.0
10,2.322545,2.962379,0.639834,2,0,2,0,0,50,3,47,0.0,0.0,46,0.0,-24.0
11,2.962379,3.166878,0.2044990000000002,1,1,0,1,0,50,5,45,100.0,0.0,46,32.61988377571105,32.61988377571105
12,3.166878,3.361572,0.1946939999999997,1,1,0,0,1,50,5,45,100.0,0.0,44,18.25,-14.369883775711052
13,3.361572,3.673047,0.31147500000000017,1,0,1,0,0,50,5,45,0.0,0.0,44,0.0,-18.25
14,3.673047,3.875735,0.2026880000000002,1,1,0,0,1,50,3,47,100.0,0.0,43,8.959909616969526,8.959909616969526
15,3.875735,4.059756,0.184021,2,1,1,1,0,50,3,47,50.0,0.0,45,48.51297608762978,39.553066470660255
16,4.059756,4.215684,0.1559280000000003,3,3,0,0,3,50,3,47,100.0,0.0,43,49.937985188749735,1.4250091011199544
17,4.215684,4.881577,0.6658929999999996,3,2,1,0,2,50,3,47,66.66666666666666,0.0,42,9.987315152244266,-39.95067003650547
18,4.881577,5.086532,0.204955,2,1,1,1,0,50,4,46,50.0,0.0,41,48.42982566356659,38.442510511322325
19,5.086532,5.462667,0.37613499999999966,16,15,1,0,15,50,3,47,93.75,0.0,40,240.42882734815123,191.99900168458464
20,5.462667,5.590082,0.12741500000000006,23,21,2,0,21,50,3,47,91.30434782608695,0.0,38,196.93763296090455,-43.49119438724668
21,5.590082,5.71339,0.12330800000000064,2,2,0,0,2,50,2,48,100.0,0.0,39,2.0,-194.93763296090455
22,5.71339,5.814995,0.10160499999999928,69,66,3,15,51,50,2,48,95.65217391304348,3.5416666666666665,41,903.9935989379883,901.9935989379883
23,5.814995,5.94951,0.13451500000000038,7,6,1,3,3,50,2,48,85.71428571428571,1.0416666666666667,43,6.0,-897.9935989379883
24,5.94951,6.052736,0.10322600000000026,63,62,1,0,62,50,4,46,98.4126984126984,0.0,42,1379.8844528198242,1373.8844528198242
25,6.052736,6.154,0.10126399999999958,34,34,0,0,34,50,4,46,100.0,0.0,41,34.0,-1345.8844528198242
26,6.154,6.348524,0.19452400000000036,1,1,0,0,1,50,4,46,100.0,0.0,40,35.5,1.5
27,6.348524,6.995422,0.6468979999999993,1,1,0,0,1,50,4,46,100.0,0.0,40,32.94926060897706,-2.550739391022937
28,6.995422,7.199891,0.20446900000000046,16,16,0,1,15,50,4,46,100.0,16.304347826086957,40,2062.768101052059,2029.818840443082
29,7.199891,8.960382,1.7604909999999991,1,1,0,0,1,50,4,46,100.0,0.0,40,81.49999999999999,-1981.2681010520591
30,8.960382,9.164843,0.20446100000000023,1,1,0,1,0,50,4,46,100.0,0.0,40,40.52485471963883,-40.975145280361154
31,9.164843,9.999248,0.8344050000000003,3,3,0,0,3,50,3,47,100.0,0.0,39,126.99894524952992,86.4740905298911
32,9.999248,10.203727,0.20447900000000097,1,1,0,1,0,50,3,47,100.0,0.0,39,48.42982566356659,-78.56911958596334
33,10.203727,11.037938,0.8342109999999998,1,1,0,0,1,50,3,47,100.0,0.0,39,104.5,56.07017433643341
34,11.037938,11.24246,0.20452199999999898,1,1,0,1,0,50,3,47,100.0,0.0,39,111.6695932149887,7.169593214988694
35,11.24246,11.540238,0.297778000000001,2,2,0,0,2,50,3,47,100.0,0.0,39,135.9375,24.267906785011306
36,11.540238,12.062265,0.5220269999999996,1,0,1,0,0,50,3,47,0.0,0.0,39,0.0,-135.9375
37,12.062265,12.266839,0.20457399999999915,1,1,0,1,0,50,2,48,100.0,0.0,41,64.2397675514221,64.2397675514221
38,12.266839,12.626493,0.3596540000000008,1,1,0,0,1,50,2,48,100.0,0.0,43,127.49999999999999,63.26023244857788
39,12.626493,12.796768,0.17027500000000018,2,0,2,0,0,50,2,48,0.0,0.0,43,7.959909616969526,-119.54009038303046
40,12.796768,13.10511,0.30834199999999967,2,2,0,0,2,50,3,47,100.0,0.0,40,282.2894769906998,274.3295673737303
41,13.10511,13.30966,0.20454999999999934,1,1,0,0,1,50,3,47,100.0,0.0,43,1.0,-281.2894769906998
42,13.30966,13.97388,0.6642200000000003,1,1,0,0,1,50,3,47,100.0,0.0,45,75.75000000000001,74.75000000000001
43,13.97388,14.273798,0.2999179999999999,1,1,0,1,0,50,3,47,100.0,0.0,45,16.91981923393905,-58.83018076606096
44,14.273798,15.182065,0.9082670000000004,1,1,0,1,0,50,3,47,100.0,0.0,45,16.89309231191874,-0.02672692202031257
45,15.182065,15.386599,0.20453400000000066,1,1,0,0,1,50,3,47,100.0,0.0,45,174.90936076641083,158.0162684544921
46,15.386599,16.099301,0.7127020000000002,1,1,0,0,1,50,3,47,100.0,0.0,45,161.99999999999997,-12.909360766410856
47,16.099301,16.251985,0.1526840000000007,1,1,0,0,1,50,3,47,100.0,0.0,45,190.71930265426636,28.719302654266386
48,16.251985,16.412976,0.16099099999999922,2,2,0,0,2,50,3,47,100.0,0.0,44,182.49983048653164,-8.219472167734722
49,16.412976,16.541576,0.12859999999999872,1,1,0,0,1,50,3,47,100.0,0.0,43,8.774745941162111,-173.72508454536953
50,16.541576,17.13702,0.5954440000000005,2,0,2,0,0,50,2,48,0.0,0.0,44,0.0,-8.774745941162111
51,17.13702,17.341484,0.20446400000000153,1,1,0,0,1,50,3,47,100.0,0.0,43,206.5292445421219,206.5292445421219
52,17.341484,18.180914,0.8394300000000001,1,1,0,0,1,50,3,47,100.0,0.0,45,93.0,-113.52924454212189
53,18.180914,18.385489,0.2045749999999984,1,1,0,0,1,50,3,47,100.0,0.0,45,222.3391864299774,129.3391864299774
54,18.385489,18.643506,0.25801699999999883,1,1,0,0,1,50,3,47,100.0,0.0,45,196.49999999999997,-25.839186429977417
55,18.643506,18.907551,0.26404500000000297,3,3,0,0,3,50,3,47,100.0,0.0,43,34.9997497027693,-161.50025029723068
56,18.907551,19.203116,0.29556499999999986,1,1,0,0,1,50,3,47,100.0,0.0,43,1.0,-33.9997497027693
57,19.203116,19.407637,0.20452099999999973,1,1,0,0,1,50,3,47,100.0,0.0,43,119.57456415891646,118.57456415891646
58,19.407637,20.25551,0.8478729999999999,1,1,0,0,1,50,2,48,100.0,0.0,44,104.5,-15.07456415891646
59,20.25551,20.415236,0.15972599999999915,2,2,0,0,2,50,2,48,100.0,0.0,43,270.95898975300713,166.45898975300713
