lti_number,lti_start_time,lti_end_time,avg_rss_mb,ram_utilization_percent,cpu_utilization_percent,rss_mb,vms_mb,peak_rss_mb,cpu_time_s_delta,wall_time_s_delta
0,0.0,0.125605,540.453125,6.597328186035156,89.63098592028406,540.56640625,3325.3828125,583.8359375,0.010000000000000009,0.011156855965964496
1,0.125605,0.298227,540.568359375,6.5987348556518555,81.3902094848344,540.5703125,3325.3828125,583.8359375,0.010000000000000009,0.012286490062251687
2,0.298227,0.563713,540.5703125,6.598758697509766,122.17512016722172,540.5703125,3325.3828125,583.8359375,0.020000000000000018,0.01636994502041489
3,0.563713,0.786454,540.5703125,6.598758697509766,119.67889798497247,540.5703125,3325.3828125,583.8359375,0.010000000000000009,0.008355691912584007
4,0.786454,0.896602,540.572265625,6.598782539367676,87.24470994935083,540.57421875,3325.3828125,583.8359375,0.010000000000000009,0.011462013004347682
5,0.896602,1.101064,540.57421875,6.598806381225586,103.08510992292592,540.57421875,3325.3828125,583.8359375,0.010000000000000009,0.009700722061097622
6,1.101064,1.348419,540.576171875,6.598830223083496,73.75951451959378,540.578125,3325.3828125,583.8359375,0.010000000000000009,0.01355757296551019
7,1.348419,1.834237,540.578125,6.598854064941406,100.82218467398643,540.578125,3325.3828125,583.8359375,0.010000000000000009,0.009918452007696033
8,1.834237,2.124754,540.578125,6.598854064941406,107.92907410133704,540.578125,3325.3828125,583.8359375,0.010000000000000009,0.009265344007872045
9,2.124754,2.322545,540.578125,6.598854064941406,106.12466659582466,540.578125,3325.3828125,583.8359375,0.009999999999999898,0.009422880015335977
10,2.322545,2.962379,540.578125,6.598854064941406,100.14985391009759,540.578125,3325.3828125,583.8359375,0.010000000000000009,0.009985037031583488
11,2.962379,3.166878,540.580078125,6.598877906799316,91.73953420696387,540.58203125,3325.3828125,583.8359375,0.010000000000000009,0.010900425957515836
12,3.166878,3.361572,540.58203125,6.598901748657227,113.27001256700152,540.58203125,3325.3828125,583.8359375,0.010000000000000009,0.008828461985103786
13,3.361572,3.673047,540.58203125,6.598901748657227,109.79196057009644,540.58203125,3325.3828125,583.8359375,0.010000000000000009,0.009108135011047125
14,3.673047,3.875735,540.583984375,6.598925590515137,97.35410044709909,540.5859375,3325.3828125,583.8359375,0.010000000000000009,0.010271781007759273
15,3.875735,4.059756,540.5859375,6.598949432373047,103.96341815344373,540.5859375,3325.3828125,583.8359375,0.010000000000000009,0.009618768002837896
16,4.059756,4.215684,540.5859375,6.598949432373047,82.5258524721274,540.5859375,3325.3828125,583.8359375,0.010000000000000009,0.01211741496808827
17,4.215684,4.881577,540.5859375,6.598949432373047,145.69346128618383,540.5859375,3325.3828125,583.8359375,0.020000000000000018,0.013727452023886144
18,4.881577,5.086532,540.5859375,6.598949432373047,76.68034829461345,540.5859375,3325.3828125,583.8359375,0.010000000000000009,0.01304115098901093
19,5.086532,5.462667,540.587890625,6.598973274230957,77.26966705659217,540.58984375,3325.3828125,583.8359375,0.020000000000000018,0.025883377995342016
20,5.462667,5.590082,540.591796875,6.599020957946777,113.31835751604129,540.59375,3325.3828125,583.8359375,0.06000000000000005,0.052948173019103706
21,5.590082,5.71339,540.59375,6.5990447998046875,160.85976306674615,540.59375,3325.3828125,583.8359375,0.020000000000000018,0.012433190015144646
22,5.71339,5.814995,540.59375,6.5990447998046875,101.2729811041139,540.59375,3325.3828125,583.8359375,0.06000000000000005,0.05924581200815737
23,5.814995,5.94951,540.59375,6.5990447998046875,68.17810711290636,540.59375,3325.3828125,583.8359375,0.009999999999999787,0.014667465002276003
24,5.94951,6.052736,540.59375,6.5990447998046875,115.14774321305465,540.59375,3325.3828125,583.8359375,0.06000000000000005,0.052106969989836216
25,6.052736,6.154,540.59375,6.5990447998046875,94.59311433307855,540.59375,3325.3828125,583.8359375,0.029999999999999805,0.03171478200238198
26,6.154,6.348524,540.59375,6.5990447998046875,96.11139070526849,540.59375,3325.3828125,583.8359375,0.010000000000000231,0.01040459400974214
27,6.348524,6.995422,540.59375,6.5990447998046875,95.79524045251047,540.59375,3325.3828125,583.8359375,0.009999999999999787,0.010438931989483535
28,6.995422,7.199891,540.59375,6.5990447998046875,98.67001220668776,540.59375,3325.3828125,583.8359375,0.020000000000000018,0.020269582979381084
29,7.199891,8.960382,540.59375,6.5990447998046875,95.23936470048359,540.59375,3325.3828125,583.8359375,0.010000000000000231,0.010499860043637455
30,8.960382,9.164843,540.59375,6.5990447998046875,95.0934178392184,540.59375,3325.3828125,583.8359375,0.009999999999999787,0.01051597495097667
31,9.164843,9.999248,540.59375,6.5990447998046875,80.50206862839737,540.59375,3325.3828125,583.8359375,0.010000000000000231,0.012422041036188602
32,9.999248,10.203727,540.59375,6.5990447998046875,143.80943895501085,540.59375,3325.3828125,583.8359375,0.020000000000000018,0.013907292974181473
33,10.203727,11.037938,540.59375,6.5990447998046875,94.34083351233133,540.59375,3325.3828125,583.8359375,0.009999999999999787,0.01059986394830048
34,11.037938,11.24246,540.59375,6.5990447998046875,93.45638835853319,540.59375,3325.3828125,583.8359375,0.010000000000000231,0.010700178099796176
35,11.24246,11.540238,540.59375,6.5990447998046875,88.36916056589713,540.59375,3325.3828125,583.8359375,0.009999999999999787,0.011316164978779852
36,11.540238,12.062265,540.59375,6.5990447998046875,93.61675141862825,540.59375,3325.3828125,583.8359375,0.010000000000000231,0.010681848973035812
37,12.062265,12.266839,540.59375,6.5990447998046875,91.70012136747397,540.59375,3325.3828125,583.8359375,0.009999999999999787,0.010905110975727439
38,12.266839,12.626493,540.59375,6.5990447998046875,93.97362150204816,540.59375,3325.3828125,583.8359375,0.010000000000000231,0.010641284054145217
39,12.626493,12.796768,540.59375,6.5990447998046875,87.97394484818983,540.59375,3325.3828125,583.8359375,0.009999999999999787,0.01136700192000717
