lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,0.0,0.125605,0.125605,3,0,3,0,0,50,1,49,0.0,0.0,0,0.0,0.0
1,0.125605,0.298227,0.17262200000000003,3,0,3,0,0,50,4,46,0.0,0.0,49,0.0,0.0
2,0.298227,0.563713,0.265486,5,3,2,1,2,50,6,44,60.0,2.272727272727273,43,42.87823306128592,42.87823306128592
3,0.563713,0.786454,0.22274099999999997,1,1,0,0,1,50,6,44,100.0,0.0,41,16.44340564008813,-26.434827421197788
4,0.786454,0.896602,0.11014800000000002,2,1,1,0,1,50,3,47,50.0,0.0,40,16.63535771716968,0.19195207708154882
5,0.896602,1.101064,0.20446200000000003,1,1,0,0,1,50,3,47,100.0,0.0,44,16.696811108214643,0.06145339104496372
6,1.101064,1.348419,0.247355,4,2,2,0,2,50,3,47,50.0,0.0,42,19.713441502020636,3.0166303938059933
7,1.348419,1.834237,0.48581799999999986,3,1,2,0,1,50,4,46,33.33333333333333,0.0,43,8.419076273269688,-11.294365228750948
8,1.834237,2.124754,0.2905169999999999,2,1,1,0,1,50,4,46,50.0,0.0,43,32.27071543433936,23.85163916106967
9,2.124754,2.322545,0.19779100000000005,2,1,1,1,0,50,4,46,50.0,0.0,45,19.132118367661636,-13.138597066677722
10,2.322545,2.962379,0.639834,2,1,1,0,1,50,4,46,50.0,0.0,45,16.80290611534614,-2.3292122523154966
11,2.962379,3.166878,0.2044990000000002,1,1,0,1,0,50,5,45,100.0,0.0,45,16.696811108214643,-0.106095007131497
12,3.166878,3.361572,0.1946939999999997,1,1,0,1,0,50,5,45,100.0,0.0,45,23.871717189360854,7.1749060811462115
13,3.361572,3.673047,0.31147500000000017,1,1,0,0,1,50,5,45,100.0,0.0,44,8.911077032445224,-14.96064015691563
14,3.673047,3.875735,0.2026880000000002,1,1,0,0,1,50,5,45,100.0,0.0,43,32.60581223069228,23.694735198247056
15,3.875735,4.059756,0.184021,2,2,0,2,0,50,5,45,100.0,0.0,43,56.97902182574413,24.373209595051847
16,4.059756,4.215684,0.1559280000000003,3,3,0,1,2,50,5,45,100.0,2.2222222222222223,41,61.06779206018189,4.08877023443776
17,4.215684,4.881577,0.6658929999999996,3,1,2,0,1,50,4,46,33.33333333333333,0.0,41,1.0,-60.06779206018189
18,4.881577,5.086532,0.204955,2,2,0,0,2,50,1,49,100.0,0.0,40,80.65316750077015,79.65316750077015
19,5.086532,5.462667,0.37613499999999966,16,9,7,0,9,50,1,49,56.25,0.0,43,150.9218186675368,70.26865116676665
20,5.462667,5.590082,0.12741500000000006,23,16,7,6,10,50,4,46,69.56521739130434,1.8115942028985508,42,142.99009474346119,-7.931723924075612
21,5.590082,5.71339,0.12330800000000064,2,2,0,2,0,50,5,45,100.0,0.0,41,2.0,-140.99009474346119
22,5.71339,5.814995,0.10160499999999928,69,66,3,37,29,50,3,47,95.65217391304348,0.8338125359401956,42,688.8110047688392,686.8110047688392
23,5.814995,5.94951,0.13451500000000038,7,7,0,5,2,50,3,47,100.0,0.4255319148936171,43,14.93929090554858,-673.8717138632907
24,5.94951,6.052736,0.10322600000000026,63,63,0,31,32,50,3,47,100.0,1.0981468771448182,42,938.5586139369926,923.6193230314441
25,6.052736,6.154,0.10126399999999958,34,34,0,18,16,50,3,47,100.0,0.9456264775413712,42,34.0,-904.5586139369926
26,6.154,6.348524,0.19452400000000036,1,0,1,0,0,50,3,47,0.0,0.0,42,0.0,-34.0
27,6.348524,6.995422,0.6468979999999993,1,1,0,0,1,50,4,46,100.0,0.0,41,8.927692155788668,8.927692155788668
28,6.995422,7.199891,0.20446900000000046,16,16,0,8,8,50,4,46,100.0,1.0869565217391304,42,1968.18403207716,1959.2563399213714
29,7.199891,8.960382,1.7604909999999991,1,1,0,1,0,50,4,46,100.0,0.0,42,58.179292973402156,-1910.0047391037579
30,8.960382,9.164843,0.20446100000000023,1,1,0,0,1,50,4,46,100.0,0.0,42,55.93883887875124,-2.2404540946509144
31,9.164843,9.999248,0.8344050000000003,3,2,1,1,1,50,4,46,66.66666666666666,1.0869565217391304,41,44.2469593104878,-11.691879568263438
32,9.999248,10.203727,0.20447900000000097,1,1,0,0,1,50,4,46,100.0,0.0,39,63.78724443285855,19.540285122370747
33,10.203727,11.037938,0.8342109999999998,1,1,0,1,0,50,4,46,100.0,0.0,42,81.05101016276299,17.263765729904442
34,11.037938,11.24246,0.20452199999999898,1,1,0,0,1,50,4,46,100.0,0.0,42,71.63564998696586,-9.415360175797133
35,11.24246,11.540238,0.297778000000001,2,2,0,1,1,50,3,47,100.0,1.0638297872340425,42,131.15236620148474,59.51671621451888
36,11.540238,12.062265,0.5220269999999996,1,1,0,0,1,50,3,47,100.0,0.0,41,30.676305093078756,-100.47606110840599
37,12.062265,12.266839,0.20457399999999915,1,1,0,0,1,50,3,47,100.0,0.0,42,157.96811108214638,127.29180598906763
38,12.266839,12.626493,0.3596540000000008,1,1,0,1,0,50,3,47,100.0,0.0,42,52.461363676061936,-105.50674740608444
39,12.626493,12.796768,0.17027500000000018,2,1,1,0,1,50,3,47,50.0,0.0,41,24.704359173019206,-27.75700450304273
40,12.796768,13.10511,0.30834199999999967,2,2,0,0,2,50,3,47,100.0,0.0,39,202.6910470419848,177.9866878689656
41,13.10511,13.30966,0.20454999999999934,1,1,0,0,1,50,3,47,100.0,0.0,42,1.0,-201.6910470419848
42,13.30966,13.97388,0.6642200000000003,1,1,0,0,1,50,2,48,100.0,0.0,44,63.89722227074236,62.89722227074236
43,13.97388,14.273798,0.2999179999999999,1,1,0,0,1,50,2,48,100.0,0.0,44,64.21162446138456,0.3144021906421983
44,14.273798,15.182065,0.9082670000000004,1,1,0,1,0,50,2,48,100.0,0.0,44,32.55435400440084,-31.657270456983717
45,15.182065,15.386599,0.20453400000000066,1,1,0,0,1,50,1,49,100.0,0.0,45,103.02927220339515,70.47491819899432
46,15.386599,16.099301,0.7127020000000002,1,1,0,0,1,50,1,49,100.0,0.0,45,69.61515156808255,-33.4141206353126
47,16.099301,16.251985,0.1526840000000007,1,1,0,0,1,50,1,49,100.0,0.0,45,220.75535551500496,151.1402039469224
48,16.251985,16.412976,0.16099099999999922,2,2,0,0,2,50,1,49,100.0,0.0,44,92.21209016892347,-128.5432653460815
49,16.412976,16.541576,0.12859999999999872,1,1,0,0,1,50,1,49,100.0,0.0,43,31.886811280176254,-60.325278888747214
50,16.541576,17.13702,0.5954440000000005,2,0,2,0,0,50,1,49,0.0,0.0,44,0.0,-31.886811280176254
51,17.13702,17.341484,0.20446400000000153,1,1,0,0,1,50,3,47,100.0,0.0,44,118.72608331160978,118.72608331160978
52,17.341484,18.180914,0.8394300000000001,1,1,0,0,1,50,3,47,100.0,0.0,44,161.10202032552598,42.3759370139162
53,18.180914,18.385489,0.2045749999999984,1,1,0,0,1,50,3,47,100.0,0.0,44,126.5744888657171,-34.527531459808884
54,18.385489,18.643506,0.25801699999999883,1,1,0,0,1,50,3,47,100.0,0.0,44,172.53787892020645,45.96339005448935
55,18.643506,18.907551,0.26404500000000297,3,0,3,0,0,50,2,48,0.0,0.0,44,0.0,-172.53787892020645
56,18.907551,19.203116,0.29556499999999986,1,1,0,1,0,50,2,48,100.0,0.0,44,1.0,1.0
57,19.203116,19.407637,0.20452099999999973,1,1,0,0,1,50,2,48,100.0,0.0,46,134.42289441982442,133.42289441982442
58,19.407637,20.25551,0.8478729999999999,1,1,0,0,1,50,2,48,100.0,0.0,46,92.48686875744342,-41.936025662381
