lti_number,lti_start_time,lti_end_time,avg_rss_mb,ram_utilization_percent,cpu_utilization_percent,rss_mb,vms_mb,peak_rss_mb,cpu_time_s_delta,wall_time_s_delta
0,0.0,0.125605,604.05859375,7.373762130737305,100.40278348939094,666.7890625,3552.31640625,666.4296875,0.9799999999999998,0.9760685570072383
1,0.125605,0.298227,666.955078125,8.141541481018066,101.15687343814128,667.12109375,3552.31640625,666.93359375,0.3400000000000003,0.3361116140149534
2,0.298227,0.563713,667.150390625,8.143925666809082,98.92718351743957,667.1796875,3553.31640625,666.93359375,0.2999999999999998,0.3032533519435674
3,0.563713,0.786454,667.240234375,8.14502239227295,100.94210692359931,667.30078125,3553.31640625,666.93359375,0.29000000000000004,0.28729338909033686
4,0.786454,0.896602,667.330078125,8.146119117736816,99.62444208848659,667.359375,3553.31640625,667.18359375,0.30000000000000027,0.3011309209978208
5,0.896602,1.101064,667.44140625,8.147478103637695,100.65355698200602,667.5234375,3553.31640625,667.484375,0.2999999999999998,0.29805205995216966
6,1.101064,1.348419,667.541015625,8.148694038391113,98.96230077791019,667.55859375,3553.31640625,667.484375,0.2999999999999998,0.3031457409961149
7,1.348419,1.834237,667.59765625,8.149385452270508,100.26963506267445,667.63671875,3553.31640625,667.484375,0.3200000000000003,0.3191394880414009
8,1.834237,2.124754,667.65234375,8.150053024291992,101.51797801997529,667.66796875,3553.31640625,667.484375,0.33000000000000007,0.32506557600572705
9,2.124754,2.322545,667.677734375,8.150362968444824,97.52173982812819,667.6875,3553.31640625,667.484375,0.3099999999999996,0.31787783990148455
10,2.322545,2.962379,667.701171875,8.150649070739746,101.03880936210206,667.71484375,3553.31640625,667.484375,0.3200000000000003,0.31670998700428754
11,2.962379,3.166878,667.736328125,8.151078224182129,99.22287206496468,667.7578125,3553.31640625,667.734375,0.3099999999999996,0.3124279649928212
12,3.166878,3.361572,667.76171875,8.151388168334961,100.25957303630815,667.765625,3553.31640625,667.734375,0.29000000000000004,0.2892491871025413
13,3.361572,3.673047,667.78125,8.151626586914062,101.96771972752217,667.796875,3553.31640625,667.734375,0.2999999999999998,0.2942107568960637
14,3.673047,3.875735,667.818359375,8.152079582214355,99.5300323280897,667.83984375,3553.31640625,667.734375,0.3100000000000005,0.3114637790713459
15,3.875735,4.059756,667.853515625,8.152508735656738,100.77981374052565,667.8671875,3553.31640625,667.734375,0.3200000000000003,0.3175239049596712
