lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,200.428185,200.63331,0.20512499999998113,1,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
1,200.63331,201.478631,0.8453210000000126,1,0,1,0,0,1,1,0,0.0,0.0,0,0.0,0.0
2,201.478631,201.617937,0.13930600000000481,1,1,0,1,0,2,2,0,100.0,0.0,0,0.0,0.0
3,201.617937,201.826594,0.2086569999999881,52,1,51,1,0,7,7,0,1.9230769230769231,0.0,0,0.0,0.0
4,201.826594,202.043605,0.2170110000000136,51,44,7,44,0,14,14,0,86.27450980392157,0.0,0,0.0,0.0
5,202.043605,202.503943,0.4603379999999788,2,0,2,0,0,15,15,0,0.0,0.0,0,0.0,0.0
6,202.503943,202.70913,0.20518699999999512,1,1,0,1,0,16,16,0,100.0,0.0,0,0.0,0.0
7,202.70913,203.540373,0.8312430000000006,1,1,0,1,0,16,16,0,100.0,0.0,0,0.0,0.0
8,203.540373,203.745512,0.20513900000000262,1,1,0,1,0,16,16,0,100.0,0.0,0,0.0,0.0
9,203.745512,204.569361,0.8238489999999956,1,1,0,1,0,16,16,0,100.0,0.0,0,0.0,0.0
10,204.569361,204.774541,0.2051800000000128,1,1,0,1,0,16,16,0,100.0,0.0,0,0.0,0.0
11,204.774541,204.89787,0.12332900000001246,1,1,0,1,0,16,16,0,100.0,0.0,0,0.0,0.0
12,204.89787,205.224843,0.3269729999999811,1,0,1,0,0,16,16,0,0.0,0.0,0,0.0,0.0
13,205.224843,205.498466,0.2736230000000148,1,0,1,0,0,17,17,0,0.0,0.0,0,0.0,0.0
14,205.498466,205.703701,0.20523499999998762,1,1,0,1,0,18,18,0,100.0,0.0,0,0.0,0.0
15,205.703701,206.305737,0.6020359999999982,1,1,0,1,0,18,18,0,100.0,0.0,0,0.0,0.0
16,206.305737,206.537817,0.2320799999999963,1,1,0,1,0,18,18,0,100.0,0.0,0,0.0,0.0
17,206.537817,206.742968,0.20515100000000075,1,1,0,1,0,18,18,0,100.0,0.0,0,0.0,0.0
18,206.742968,207.049617,0.3066490000000215,1,1,0,1,0,18,18,0,100.0,0.0,0,0.0,0.0
19,207.049617,207.561674,0.5120569999999987,2,0,2,0,0,18,18,0,0.0,0.0,0,0.0,0.0
20,207.561674,207.76681,0.20513599999998178,1,1,0,1,0,20,20,0,100.0,0.0,0,0.0,0.0
21,207.76681,208.600599,0.8337889999999959,1,1,0,1,0,20,20,0,100.0,0.0,0,0.0,0.0
