lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
200,200.0,201.0,1.0,24,0,24,0,0,1050,0,1050,0.0,0.0,600,0.0,0.0
201,201.0,202.0,1.0,324,12,312,0,12,1050,0,1050,3.7037037037037033,0.0,1050,0.0,0.0
202,202.0,203.0,1.0,33,6,27,0,6,1200,0,1200,18.181818181818183,0.0,1200,0.0,0.0
203,203.0,204.0,1.0,30,0,30,0,0,1050,0,1050,0.0,0.0,1050,0.0,0.0
204,204.0,205.0,1.0,48,3,45,0,3,1800,0,1800,6.25,0.0,1800,0.0,0.0
205,205.0,206.0,1.0,27,3,24,0,3,1200,0,1200,11.11111111111111,0.0,1200,0.0,0.0
206,206.0,207.0,1.0,21,3,18,0,3,1050,0,1050,14.285714285714285,0.0,1044,0.0,0.0
207,207.0,208.0,1.0,30,6,24,0,6,1050,0,1050,20.0,0.0,1038,0.0,0.0
208,208.0,209.0,1.0,51,6,45,0,6,1350,0,1350,11.76470588235294,0.0,1314,0.0,0.0
209,209.0,210.0,1.0,81,18,63,0,18,1500,0,1500,22.22222222222222,0.0,1419,0.0,0.0
210,210.0,211.0,1.0,39,18,21,0,18,1200,0,1200,46.15384615384615,0.0,1146,0.0,0.0
211,211.0,212.0,1.0,39,15,24,0,15,1350,0,1350,38.46153846153847,0.0,1290,0.0,0.0
212,212.0,213.0,1.0,42,18,24,0,18,1200,0,1200,42.857142857142854,0.0,1140,0.0,0.0
213,213.0,214.0,1.0,33,12,21,0,12,900,0,900,36.36363636363637,0.0,852,0.0,0.0
214,214.0,215.0,1.0,39,15,24,0,15,1350,0,1350,38.46153846153847,0.0,1266,0.0,0.0
215,215.0,216.0,1.0,78,33,45,0,33,1200,0,1200,42.30769230769231,0.0,1107,0.0,0.0
216,216.0,217.0,1.0,66,12,54,0,12,1650,0,1650,18.181818181818183,0.0,1536,0.0,0.0
217,217.0,218.0,1.0,45,12,33,0,12,1200,0,1200,26.666666666666668,0.0,1116,0.0,0.0
218,218.0,219.0,1.0,39,15,24,0,15,1500,0,1500,38.46153846153847,0.0,1380,0.0,0.0
219,219.0,220.0,1.0,27,21,6,0,21,1050,0,1050,77.77777777777779,0.0,933,0.0,0.0
220,220.0,221.0,1.0,45,21,24,0,21,1500,0,1500,46.666666666666664,0.0,1374,0.0,0.0
221,221.0,222.0,1.0,15,12,3,0,12,750,0,750,80.0,0.0,675,0.0,0.0
222,222.0,223.0,1.0,42,18,24,0,18,1500,0,1500,42.857142857142854,0.0,1368,0.0,0.0
223,223.0,224.0,1.0,57,21,36,0,21,1350,0,1350,36.84210526315789,0.0,1221,0.0,0.0
224,224.0,225.0,1.0,27,15,12,0,15,1050,0,1050,55.55555555555556,0.0,954,0.0,0.0
225,225.0,226.0,1.0,60,18,42,0,18,1350,0,1350,30.0,0.0,1230,0.0,0.0
226,226.0,227.0,1.0,39,21,18,0,21,1500,0,1500,53.84615384615385,0.0,1356,0.0,0.0
227,227.0,228.0,1.0,12,12,0,0,12,600,0,600,100.0,0.0,522,0.0,0.0
228,228.0,229.0,1.0,57,18,39,0,18,1500,0,1500,31.57894736842105,0.0,1347,0.0,0.0
229,229.0,230.0,1.0,45,33,12,0,33,1650,0,1650,73.33333333333333,0.0,1467,0.0,0.0
230,230.0,231.0,1.0,72,21,51,0,21,1650,0,1650,29.166666666666668,0.0,1449,0.0,0.0
231,231.0,232.0,1.0,678,12,666,0,12,1650,0,1650,1.7699115044247788,0.0,1461,0.0,0.0
232,232.0,233.0,1.0,24,18,6,0,18,900,0,900,75.0,0.0,798,0.0,0.0
233,233.0,234.0,1.0,39,18,21,0,18,1500,0,1500,46.15384615384615,0.0,1311,0.0,0.0
234,234.0,235.0,1.0,39,18,21,0,18,1350,0,1350,46.15384615384615,0.0,1182,0.0,0.0
235,235.0,236.0,1.0,33,18,15,0,18,900,0,900,54.54545454545454,0.0,786,0.0,0.0
236,236.0,237.0,1.0,21,21,0,0,21,750,0,750,100.0,0.0,645,0.0,0.0
237,237.0,238.0,1.0,45,18,27,0,18,1500,0,1500,40.0,0.0,1311,0.0,0.0
238,238.0,239.0,1.0,48,21,27,0,21,1650,0,1650,43.75,0.0,1452,0.0,0.0
239,239.0,240.0,1.0,57,33,24,0,33,1650,0,1650,57.89473684210527,0.0,1407,0.0,0.0
240,240.0,241.0,1.0,51,27,24,0,27,1800,0,1800,52.94117647058824,0.0,1602,0.0,0.0
241,241.0,242.0,1.0,84,30,54,0,30,1500,0,1500,35.714285714285715,0.0,1320,0.0,0.0
242,242.0,243.0,1.0,75,15,60,0,15,1650,0,1650,20.0,0.0,1422,0.0,0.0
243,243.0,244.0,1.0,87,24,63,0,24,1500,0,1500,27.586206896551722,0.0,1302,0.0,0.0
244,244.0,245.0,1.0,63,24,39,0,24,1650,0,1650,38.095238095238095,0.0,1401,0.0,0.0
245,245.0,246.0,1.0,72,39,33,0,39,1200,0,1200,54.166666666666664,0.0,1020,0.0,0.0
246,246.0,247.0,1.0,48,21,27,0,21,1650,0,1650,43.75,0.0,1362,0.0,0.0
247,247.0,248.0,1.0,66,21,45,0,21,1950,0,1950,31.818181818181817,0.0,1623,0.0,0.0
248,248.0,249.0,1.0,54,12,42,0,12,1500,0,1500,22.22222222222222,0.0,1242,0.0,0.0
249,249.0,250.0,1.0,60,36,24,0,36,1800,0,1800,60.0,0.0,1485,0.0,0.0
250,250.0,251.0,1.0,30,21,9,0,21,1050,0,1050,70.0,0.0,861,0.0,0.0
251,251.0,252.0,1.0,45,15,30,0,15,900,0,900,33.33333333333333,0.0,711,0.0,0.0
252,252.0,253.0,1.0,36,21,15,0,21,1200,0,1200,58.333333333333336,0.0,975,0.0,0.0
253,253.0,254.0,1.0,24,12,12,0,12,750,0,750,50.0,0.0,615,0.0,0.0
254,254.0,255.0,1.0,69,24,45,0,24,1800,0,1800,34.78260869565217,0.0,1455,0.0,0.0
255,255.0,256.0,1.0,72,15,57,0,15,1500,0,1500,20.833333333333336,0.0,1233,0.0,0.0
256,256.0,257.0,1.0,45,30,15,0,30,1350,0,1350,66.66666666666666,0.0,1062,0.0,0.0
257,257.0,258.0,1.0,39,18,21,0,18,1500,0,1500,46.15384615384615,0.0,1230,0.0,0.0
258,258.0,259.0,1.0,57,18,39,0,18,1800,0,1800,31.57894736842105,0.0,1494,0.0,0.0
259,259.0,260.0,1.0,45,30,15,0,30,1500,0,1500,66.66666666666666,0.0,1164,0.0,0.0
260,260.0,261.0,1.0,57,24,33,0,24,1800,0,1800,42.10526315789473,0.0,1434,0.0,0.0
261,261.0,262.0,1.0,312,24,288,0,24,1200,0,1200,7.6923076923076925,0.0,936,0.0,0.0
262,262.0,263.0,1.0,42,30,12,0,30,1350,0,1350,71.42857142857143,0.0,1068,0.0,0.0
263,263.0,264.0,1.0,42,18,24,0,18,1050,0,1050,42.857142857142854,0.0,828,0.0,0.0
264,264.0,265.0,1.0,39,27,12,0,27,1350,0,1350,69.23076923076923,0.0,1011,0.0,0.0
265,265.0,266.0,1.0,120,18,102,0,18,1500,0,1500,15.0,0.0,1188,0.0,0.0
266,266.0,267.0,1.0,165,60,105,0,60,1650,0,1650,36.36363636363637,0.0,1329,0.0,0.0
267,267.0,268.0,1.0,135,12,123,0,12,1650,0,1650,8.88888888888889,0.0,1266,0.0,0.0
268,268.0,269.0,1.0,147,6,141,0,6,600,0,600,4.081632653061225,0.0,432,0.0,0.0
269,269.0,270.0,1.0,27,15,12,0,15,1050,0,1050,55.55555555555556,0.0,792,0.0,0.0
270,270.0,271.0,1.0,66,30,36,0,30,1650,0,1650,45.45454545454545,0.0,1242,0.0,0.0
271,271.0,272.0,1.0,45,33,12,0,33,1350,0,1350,73.33333333333333,0.0,1026,0.0,0.0
272,272.0,273.0,1.0,42,39,3,0,39,1350,0,1350,92.85714285714286,0.0,1008,0.0,0.0
273,273.0,274.0,1.0,21,15,6,0,15,750,0,750,71.42857142857143,0.0,582,0.0,0.0
274,274.0,275.0,1.0,39,21,18,0,21,1050,0,1050,53.84615384615385,0.0,813,0.0,0.0
275,275.0,276.0,1.0,93,39,54,0,39,1350,0,1350,41.935483870967744,0.0,999,0.0,0.0
276,276.0,277.0,1.0,33,27,6,0,27,1200,0,1200,81.81818181818183,0.0,891,0.0,0.0
277,277.0,278.0,1.0,63,36,27,0,36,1500,0,1500,57.14285714285714,0.0,1119,0.0,0.0
278,278.0,279.0,1.0,36,21,15,0,21,1200,0,1200,58.333333333333336,0.0,906,0.0,0.0
279,279.0,280.0,1.0,33,27,6,0,27,1050,0,1050,81.81818181818183,0.0,753,0.0,0.0
280,280.0,281.0,1.0,63,24,39,0,24,1350,0,1350,38.095238095238095,0.0,1020,0.0,0.0
281,281.0,282.0,1.0,27,24,3,0,24,900,0,900,88.88888888888889,0.0,657,0.0,0.0
282,282.0,283.0,1.0,51,39,12,0,39,1500,0,1500,76.47058823529412,0.0,1101,0.0,0.0
283,283.0,284.0,1.0,30,15,15,0,15,1350,0,1350,50.0,0.0,984,0.0,0.0
284,284.0,285.0,1.0,42,21,21,0,21,1350,0,1350,50.0,0.0,984,0.0,0.0
285,285.0,286.0,1.0,108,69,39,0,69,1950,0,1950,63.888888888888886,0.0,1428,0.0,0.0
286,286.0,287.0,1.0,42,33,9,0,33,1050,0,1050,78.57142857142857,0.0,759,0.0,0.0
287,287.0,288.0,1.0,27,18,9,0,18,900,0,900,66.66666666666666,0.0,645,0.0,0.0
288,288.0,289.0,1.0,42,18,24,0,18,1200,0,1200,42.857142857142854,0.0,846,0.0,0.0
289,289.0,290.0,1.0,30,27,3,0,27,1200,0,1200,90.0,0.0,846,0.0,0.0
290,290.0,291.0,1.0,51,27,24,0,27,1350,0,1350,52.94117647058824,0.0,963,0.0,0.0
291,291.0,292.0,1.0,363,21,342,0,21,1950,0,1950,5.785123966942149,0.0,1359,0.0,0.0
292,292.0,293.0,1.0,234,93,141,0,93,1950,0,1950,39.743589743589745,0.0,1398,0.0,0.0
293,293.0,294.0,1.0,177,27,150,0,27,1500,0,1500,15.254237288135593,0.0,1110,0.0,0.0
294,294.0,295.0,1.0,117,21,96,0,21,1650,0,1650,17.94871794871795,0.0,1227,0.0,0.0
295,295.0,296.0,1.0,51,27,24,0,27,1200,0,1200,52.94117647058824,0.0,858,0.0,0.0
296,296.0,297.0,1.0,15,15,0,0,15,750,0,750,100.0,0.0,537,0.0,0.0
297,297.0,298.0,1.0,78,48,30,0,48,1800,0,1800,61.53846153846154,0.0,1326,0.0,0.0
298,298.0,299.0,1.0,72,39,33,0,39,1800,0,1800,54.166666666666664,0.0,1296,0.0,0.0
299,299.0,300.0,1.0,108,51,57,0,51,1950,0,1950,47.22222222222222,0.0,1407,0.0,0.0
300,300.0,301.0,1.0,120,45,75,0,45,1950,0,1950,37.5,0.0,1401,0.0,0.0
301,301.0,302.0,1.0,66,54,12,0,54,1800,0,1800,81.81818181818183,0.0,1245,0.0,0.0
302,302.0,303.0,1.0,66,42,24,0,42,1800,0,1800,63.63636363636363,0.0,1248,0.0,0.0
303,303.0,304.0,1.0,309,21,288,0,21,1800,0,1800,6.796116504854369,0.0,1242,0.0,0.0
