lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,200.140062,200.726369,0.586307000000005,1,0,1,0,0,50,0,50,0.0,0.0,0,0.0,0.0
1,200.726369,200.890939,0.16456999999999766,1,0,1,0,0,50,0,50,0.0,0.0,50,0.0,0.0
2,200.890939,201.8987,1.007760999999988,2,0,2,0,0,50,0,50,0.0,0.0,50,0.0,0.0
3,201.8987,202.103357,0.20465699999999742,1,0,1,0,0,50,0,50,0.0,0.0,50,0.0,0.0
4,202.103357,202.935124,0.8317670000000135,1,1,0,0,1,50,0,50,100.0,0.0,50,0.0,0.0
5,202.935124,203.139657,0.20453299999999786,1,1,0,0,1,50,0,50,100.0,0.0,50,0.0,0.0
6,203.139657,203.651582,0.5119249999999909,1,0,1,0,0,50,0,50,0.0,0.0,50,0.0,0.0
7,203.651582,203.978795,0.3272130000000004,2,0,2,0,0,50,0,50,0.0,0.0,50,0.0,0.0
8,203.978795,204.183313,0.2045180000000073,1,0,1,0,0,50,0,50,0.0,0.0,50,0.0,0.0
9,204.183313,204.411581,0.22826800000001413,1,0,1,0,0,50,0,50,0.0,0.0,50,0.0,0.0
10,204.411581,204.571563,0.1599819999999852,1,1,0,0,1,50,0,50,100.0,0.0,50,0.0,0.0
11,204.571563,204.682615,0.11105200000000082,4,0,4,0,0,50,0,50,0.0,0.0,50,0.0,0.0
12,204.682615,204.886973,0.20435800000001336,1,0,1,0,0,50,0,50,0.0,0.0,50,0.0,0.0
13,204.886973,205.000899,0.1139259999999922,1,0,1,0,0,50,0,50,0.0,0.0,50,0.0,0.0
14,205.000899,205.205369,0.20446999999998638,1,0,1,0,0,50,0,50,0.0,0.0,50,0.0,0.0
15,205.205369,205.891576,0.686206999999996,1,0,1,0,0,50,0,50,0.0,0.0,50,0.0,0.0
16,205.891576,206.044068,0.1524920000000236,2,0,2,0,0,50,0,50,0.0,0.0,50,0.0,0.0
17,206.044068,206.248576,0.20450800000000413,1,0,1,0,0,50,0,50,0.0,0.0,49,0.0,0.0
18,206.248576,207.094822,0.8462459999999794,1,1,0,0,1,50,0,50,100.0,0.0,49,0.0,0.0
19,207.094822,207.299309,0.2044870000000003,1,1,0,0,1,50,0,50,100.0,0.0,48,0.0,0.0
20,207.299309,208.186683,0.8873739999999941,1,1,0,0,1,50,0,50,100.0,0.0,48,0.0,0.0
21,208.186683,208.402877,0.21619400000000155,1,0,1,0,0,50,0,50,0.0,0.0,48,0.0,0.0
22,208.402877,208.717442,0.31456500000001597,2,0,2,0,0,50,0,50,0.0,0.0,48,0.0,0.0
23,208.717442,209.016374,0.29893200000000775,1,1,0,0,1,50,0,50,100.0,0.0,47,0.0,0.0
24,209.016374,209.218738,0.20236399999998866,2,1,1,0,1,50,0,50,50.0,0.0,47,0.0,0.0
25,209.218738,209.423241,0.20450299999998833,2,1,1,0,1,50,0,50,50.0,0.0,47,0.0,0.0
26,209.423241,209.554862,0.13162100000002397,4,0,4,0,0,50,0,50,0.0,0.0,47,0.0,0.0
27,209.554862,209.671575,0.11671299999997586,1,0,1,0,0,50,0,50,0.0,0.0,47,0.0,0.0
28,209.671575,209.795402,0.12382700000000568,3,0,3,0,0,50,0,50,0.0,0.0,47,0.0,0.0
29,209.795402,209.970706,0.17530400000001123,4,2,2,0,2,50,0,50,50.0,0.0,47,0.0,0.0
30,209.970706,210.071395,0.10068899999998848,4,1,3,0,1,50,0,50,25.0,0.0,47,0.0,0.0
31,210.071395,210.263928,0.1925329999999974,1,0,1,0,0,50,0,50,0.0,0.0,47,0.0,0.0
32,210.263928,210.798162,0.5342339999999979,1,1,0,0,1,50,0,50,100.0,0.0,47,0.0,0.0
33,210.798162,211.097349,0.29918700000001763,2,2,0,0,2,50,0,50,100.0,0.0,47,0.0,0.0
34,211.097349,211.301845,0.20449599999997758,1,1,0,0,1,50,0,50,100.0,0.0,47,0.0,0.0
35,211.301845,212.135251,0.833406000000025,1,1,0,0,1,50,0,50,100.0,0.0,47,0.0,0.0
36,212.135251,212.339729,0.2044779999999946,1,1,0,0,1,50,0,50,100.0,0.0,46,0.0,0.0
37,212.339729,213.178926,0.8391969999999844,1,1,0,0,1,50,0,50,100.0,0.0,46,0.0,0.0
38,213.178926,213.383391,0.204464999999999,1,1,0,0,1,50,0,50,100.0,0.0,46,0.0,0.0
39,213.383391,214.021579,0.6381880000000137,3,1,2,0,1,50,0,50,33.33333333333333,0.0,46,0.0,0.0
40,214.021579,214.189894,0.16831500000000688,1,0,1,0,0,50,0,50,0.0,0.0,46,0.0,0.0
