lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
200,200.0,201.0,1.0,24,3,21,3,0,1050,15,1035,12.5,0.0,597,3.0,3.0
201,201.0,202.0,1.0,324,150,174,141,9,1050,81,969,46.2962962962963,0.06916540412357552,993,471.43824146439124,236.21358033848003
202,202.0,203.0,1.0,33,15,18,9,6,1200,105,1095,45.45454545454545,0.730593607305936,1056,316.6319111219076,-22.520379637047757
203,203.0,204.0,1.0,30,18,12,12,6,1050,111,939,60.0,0.5591054313099042,924,593.698726871186,128.22837645260543
204,204.0,205.0,1.0,48,21,27,12,9,1800,234,1566,43.75,0.8620689655172414,1536,738.1584687229841,-344.92157715403766
205,205.0,206.0,1.0,27,18,9,12,6,1200,147,1053,66.66666666666666,0.5698005698005698,1038,1010.7467738162748,403.32412124413423
206,206.0,207.0,1.0,21,21,0,15,6,1050,117,933,100.0,0.4501607717041801,918,1301.073848627222,247.9353416162858
207,207.0,208.0,1.0,30,18,12,12,6,1050,99,951,60.0,0.5520504731861199,939,2245.7682670213726,668.8126974641063
208,208.0,209.0,1.0,51,24,27,9,15,1350,129,1221,47.05882352941176,1.8427518427518428,1197,2648.8275285481495,-556.4376970327708
209,209.0,210.0,1.0,81,21,60,12,9,1500,219,1281,25.925925925925924,0.8782201405152225,1272,1772.819835547577,287.5698520536855
210,210.0,211.0,1.0,39,27,12,6,21,1200,204,996,69.23076923076923,4.216867469879518,957,3469.910012173725,139.74598480081883
211,211.0,212.0,1.0,39,21,18,12,9,1350,195,1155,53.84615384615385,0.8766233766233766,1116,3569.662862656905,698.1057249121782
212,212.0,213.0,1.0,42,36,6,18,18,1200,159,1041,85.71428571428571,1.1527377521613833,999,5018.374545069013,606.8008869665372
213,213.0,214.0,1.0,33,27,6,12,15,900,66,834,81.81818181818183,1.3489208633093526,789,4392.613542422744,-576.8958424187445
214,214.0,215.0,1.0,39,27,12,3,24,1350,84,1266,69.23076923076923,8.530805687203792,1173,6227.133202501873,999.5358368903668
215,215.0,216.0,1.0,78,57,21,3,54,1200,48,1152,73.07692307692307,18.75,1035,7609.855810276092,-439.53232480721886
216,216.0,217.0,1.0,66,24,42,9,15,1650,144,1506,36.36363636363637,1.8260292164674636,1419,7948.859742782011,-146.00761717429413
217,217.0,218.0,1.0,45,18,27,9,9,1200,129,1071,40.0,1.1204481792717087,1047,4281.113778356796,-729.8524430903667
