lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,200.428185,200.63331,0.20512499999998113,1,0,1,0,0,50,0,50,0.0,0.0,0,0.0,0.0
1,200.63331,201.478631,0.8453210000000126,1,0,1,0,0,50,1,49,0.0,0.0,50,0.0,0.0
2,201.478631,201.617937,0.13930600000000481,1,1,0,1,0,50,2,48,100.0,0.0,49,28.440677449896512,28.440677449896512
3,201.617937,201.826594,0.2086569999999881,52,1,51,0,1,50,5,45,1.9230769230769231,0.0,47,14.86147109191546,-13.579206357981052
4,201.826594,202.043605,0.2170110000000136,51,45,6,44,1,50,11,39,88.23529411764706,0.029137529137529136,43,61.46779631981522,46.60632522789976
5,202.043605,202.503943,0.4603379999999788,2,0,2,0,0,50,7,43,0.0,0.0,37,0.0,-61.46779631981522
6,202.503943,202.70913,0.20518699999999512,1,0,1,0,0,50,8,42,0.0,0.0,41,0.0,0.0
7,202.70913,203.540373,0.8312430000000006,1,1,0,0,1,50,9,41,100.0,0.0,40,30.327477130223393,30.327477130223393
8,203.540373,203.745512,0.20513900000000262,1,1,0,1,0,50,9,41,100.0,0.0,39,28.440677449896512,-1.886799680326881
9,203.745512,204.569361,0.8238489999999956,1,1,0,0,1,50,9,41,100.0,0.0,39,44.9912156953351,16.550538245438588
10,204.569361,204.774541,0.2051800000000128,1,1,0,1,0,50,9,41,100.0,0.0,39,42.16101617484477,-2.830199520490332
11,204.774541,204.89787,0.12332900000001246,1,1,0,0,1,50,9,41,100.0,0.0,39,59.654954260446786,17.493938085602018
12,204.89787,205.224843,0.3269729999999811,1,0,1,0,0,50,3,47,0.0,0.0,45,0.0,-59.654954260446786
13,205.224843,205.498466,0.2736230000000148,1,0,1,0,0,50,3,47,0.0,0.0,47,0.0,0.0
14,205.498466,205.703701,0.20523499999998762,1,1,0,1,0,50,3,47,100.0,0.0,47,55.881354899793024,55.881354899793024
15,205.703701,206.305737,0.6020359999999982,1,1,0,0,1,50,3,47,100.0,0.0,46,74.31869282555849,18.437337925765462
16,206.305737,206.537817,0.2320799999999963,1,1,0,1,0,50,3,47,100.0,0.0,46,19.140425078837918,-55.178267746720564
17,206.537817,206.742968,0.20515100000000075,1,1,0,1,0,50,3,47,100.0,0.0,46,69.60169362474124,50.46126854590332
18,206.742968,207.049617,0.3066490000000215,1,1,0,0,1,50,3,47,100.0,0.0,46,88.9824313906702,19.380737765928956
19,207.049617,207.561674,0.5120569999999987,2,0,2,0,0,50,3,47,0.0,0.0,46,0.0,-88.9824313906702
