lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
200,200.0,201.0,1.0,11,8,3,0,8,150,0,150,72.72727272727273,0.0,0,0.0,0.0
201,201.0,202.0,1.0,111,111,0,0,111,150,0,150,100.0,0.0,0,0.0,0.0
202,202.0,203.0,1.0,11,11,0,0,11,150,0,150,100.0,0.0,0,0.0,0.0
203,203.0,204.0,1.0,15,15,0,0,15,150,0,150,100.0,0.0,0,0.0,0.0
204,204.0,205.0,1.0,10,10,0,0,10,100,0,100,100.0,0.0,0,0.0,0.0
205,205.0,206.0,1.0,10,10,0,0,10,150,0,150,100.0,0.0,0,0.0,0.0
206,206.0,207.0,1.0,10,10,0,0,10,150,0,150,100.0,0.0,0,0.0,0.0
207,207.0,208.0,1.0,10,10,0,0,10,150,0,150,100.0,0.0,0,0.0,0.0
208,208.0,209.0,1.0,15,15,0,0,15,150,0,150,100.0,0.0,0,0.0,0.0
209,209.0,210.0,1.0,26,26,0,0,26,100,0,100,100.0,0.0,0,0.0,0.0
210,210.0,211.0,1.0,18,18,0,0,18,150,0,150,100.0,0.0,0,0.0,0.0
211,211.0,212.0,1.0,14,14,0,0,14,150,0,150,100.0,0.0,0,0.0,0.0
212,212.0,213.0,1.0,11,11,0,0,11,150,0,150,100.0,0.0,0,0.0,0.0
213,213.0,214.0,1.0,11,11,0,0,11,100,0,100,100.0,0.0,0,0.0,0.0
214,214.0,215.0,1.0,26,26,0,0,26,150,0,150,100.0,0.0,0,0.0,0.0
215,215.0,216.0,1.0,26,26,0,0,26,150,0,150,100.0,0.0,0,0.0,0.0
216,216.0,217.0,1.0,6,6,0,0,6,100,0,100,100.0,0.0,0,0.0,0.0
217,217.0,218.0,1.0,18,18,0,0,18,100,0,100,100.0,0.0,0,0.0,0.0
218,218.0,219.0,1.0,9,9,0,0,9,150,0,150,100.0,0.0,0,0.0,0.0
219,219.0,220.0,1.0,12,12,0,0,12,100,0,100,100.0,0.0,0,0.0,0.0
220,220.0,221.0,1.0,10,10,0,0,10,100,0,100,100.0,0.0,0,0.0,0.0
221,221.0,222.0,1.0,8,8,0,0,8,150,0,150,100.0,0.0,0,0.0,0.0
222,222.0,223.0,1.0,19,19,0,0,19,150,0,150,100.0,0.0,0,0.0,0.0
223,223.0,224.0,1.0,12,12,0,0,12,100,0,100,100.0,0.0,0,0.0,0.0
224,224.0,225.0,1.0,14,14,0,0,14,150,0,150,100.0,0.0,0,0.0,0.0
225,225.0,226.0,1.0,17,17,0,0,17,100,0,100,100.0,0.0,0,0.0,0.0
226,226.0,227.0,1.0,11,11,0,0,11,150,0,150,100.0,0.0,0,0.0,0.0
227,227.0,228.0,1.0,6,6,0,0,6,100,0,100,100.0,0.0,0,0.0,0.0
228,228.0,229.0,1.0,24,23,1,0,23,150,1,149,95.83333333333334,0.0,1,0.0,0.0
229,229.0,230.0,1.0,11,11,0,0,11,100,1,99,100.0,0.0,0,0.0,0.0
230,230.0,231.0,1.0,25,18,7,1,17,150,7,143,72.0,17.83216783216783,6,0.0,0.0
231,231.0,232.0,1.0,222,206,16,89,117,150,15,135,92.7927927927928,1.4606741573033708,13,0.0,0.0
232,232.0,233.0,1.0,10,10,0,1,9,150,15,135,100.0,10.0,0,0.0,0.0
233,233.0,234.0,1.0,12,10,2,0,10,150,15,135,83.33333333333334,0.0,2,0.0,0.0
234,234.0,235.0,1.0,14,12,2,0,12,150,15,135,85.71428571428571,0.0,2,0.0,0.0
235,235.0,236.0,1.0,11,11,0,0,11,150,15,135,100.0,0.0,0,0.0,0.0
236,236.0,237.0,1.0,7,7,0,0,7,100,15,85,100.0,0.0,0,0.0,0.0
237,237.0,238.0,1.0,19,17,2,1,16,150,15,135,89.47368421052632,17.77777777777778,2,0.0,0.0
238,238.0,239.0,1.0,16,13,3,0,13,150,16,134,81.25,0.0,3,0.0,0.0
239,239.0,240.0,1.0,13,12,1,0,12,100,6,94,92.3076923076923,0.0,1,0.0,0.0
240,240.0,241.0,1.0,27,25,2,0,25,150,17,133,92.5925925925926,0.0,2,0.0,0.0
241,241.0,242.0,1.0,22,14,8,2,12,150,20,130,63.63636363636363,6.9230769230769225,5,0.0,0.0
242,242.0,243.0,1.0,24,15,9,4,11,150,22,128,62.5,3.22265625,9,0.0,0.0
243,243.0,244.0,1.0,29,27,2,16,11,100,18,82,93.10344827586206,0.8384146341463415,3,0.0,0.0
244,244.0,245.0,1.0,32,31,1,3,28,150,23,127,96.875,11.023622047244094,1,0.0,0.0
245,245.0,246.0,1.0,16,8,8,2,6,150,25,125,50.0,3.5999999999999996,8,0.0,0.0
246,246.0,247.0,1.0,19,12,7,0,12,150,29,121,63.1578947368421,0.0,7,0.0,0.0
247,247.0,248.0,1.0,25,19,6,3,16,150,30,120,76.0,6.666666666666666,5,0.0,0.0
248,248.0,249.0,1.0,13,10,3,0,10,100,18,82,76.92307692307693,0.0,4,0.0,0.0
249,249.0,250.0,1.0,17,15,2,3,12,150,30,120,88.23529411764706,5.0,2,0.0,0.0
250,250.0,251.0,1.0,13,11,2,1,10,150,30,120,84.61538461538461,12.5,2,0.0,0.0
