lti_number,lti_start_time,lti_end_time,lti_duration,total_packets,total_hits,total_misses,reactive_hits,speculative_hits,total_flows,reactive_flows,speculative_flows,hit_rate,speculation_efficiency,total_evicted_flows,reward,delta_reward
0,200.428185,201.478631,1.0504459999999938,3,2,1,0,2,50,0,50,66.66666666666666,0.0,0,0.0,0.0
1,201.478631,202.503943,1.0253119999999853,106,106,0,0,106,50,0,50,100.0,0.0,0,0.0,0.0
2,202.503943,203.540373,1.0364299999999957,2,2,0,0,2,50,0,50,100.0,0.0,0,0.0,0.0
3,203.540373,204.569361,1.0289879999999982,2,2,0,0,2,50,0,50,100.0,0.0,0,0.0,0.0
4,204.569361,205.703701,1.1343400000000088,5,5,0,0,5,50,0,50,100.0,0.0,0,0.0,0.0
5,205.703701,206.742968,1.0392669999999953,3,3,0,0,3,50,0,50,100.0,0.0,0,0.0,0.0
6,206.742968,207.76681,1.023842000000002,4,4,0,0,4,50,0,50,100.0,0.0,0,0.0,0.0
7,207.76681,208.805744,1.0389340000000118,3,3,0,0,3,50,0,50,100.0,0.0,0,0.0,0.0
8,208.805744,210.665185,1.859441000000004,2,2,0,0,2,50,0,50,100.0,0.0,0,0.0,0.0
9,210.665185,211.700642,1.0354569999999796,6,6,0,0,6,50,0,50,100.0,0.0,0,0.0,0.0
10,211.700642,212.82627,1.125628000000006,3,3,0,0,3,50,0,50,100.0,0.0,0,0.0,0.0
11,212.82627,213.829622,1.0033520000000067,1,1,0,0,1,50,0,50,100.0,0.0,0,0.0,0.0
12,213.829622,214.945962,1.116340000000008,4,4,0,0,4,50,0,50,100.0,0.0,0,0.0,0.0
13,214.945962,215.998441,1.0524790000000053,3,3,0,0,3,50,0,50,100.0,0.0,0,0.0,0.0
14,215.998441,217.261832,1.2633909999999844,9,9,0,0,9,50,0,50,100.0,0.0,0,0.0,0.0
15,217.261832,218.851396,1.5895639999999958,8,8,0,0,8,50,0,50,100.0,0.0,0,0.0,0.0
16,218.851396,219.967564,1.116168000000016,3,3,0,0,3,50,0,50,100.0,0.0,0,0.0,0.0
17,219.967564,221.005102,1.0375379999999836,6,6,0,0,6,50,0,50,100.0,0.0,0,0.0,0.0
18,221.005102,222.033076,1.0279740000000004,2,2,0,0,2,50,0,50,100.0,0.0,0,0.0,0.0
19,222.033076,223.034406,1.0013299999999958,7,7,0,0,7,50,0,50,100.0,0.0,0,0.0,0.0
20,223.034406,224.605625,1.5712190000000135,4,4,0,0,4,50,0,50,100.0,0.0,0,0.0,0.0
21,224.605625,225.61504,1.00941499999999,5,5,0,0,5,50,0,50,100.0,0.0,0,0.0,0.0
22,225.61504,226.626793,1.0117529999999988,3,3,0,0,3,50,0,50,100.0,0.0,0,0.0,0.0
23,226.626793,227.939854,1.3130610000000047,5,5,0,0,5,50,0,50,100.0,0.0,0,0.0,0.0
24,227.939854,228.963084,1.0232300000000123,4,4,0,0,4,50,0,50,100.0,0.0,0,0.0,0.0
25,228.963084,230.005797,1.042712999999992,6,6,0,0,6,50,0,50,100.0,0.0,0,0.0,0.0
26,230.005797,231.049064,1.043266999999986,9,5,4,1,4,50,4,46,55.55555555555556,4.3478260869565215,4,0.0,0.0
27,231.049064,232.085114,1.0360500000000172,208,200,8,89,111,50,5,45,96.15384615384616,1.3857677902621721,4,0.0,0.0
28,232.085114,233.134176,1.0490619999999922,4,4,0,1,3,50,5,45,100.0,3.333333333333333,0,0.0,0.0
29,233.134176,234.260271,1.1260949999999923,6,4,2,0,4,50,5,45,66.66666666666666,0.0,2,0.0,0.0
30,234.260271,235.287747,1.0274760000000072,10,8,2,0,8,50,5,45,80.0,0.0,2,0.0,0.0
31,235.287747,236.324265,1.036518000000001,2,2,0,0,2,50,5,45,100.0,0.0,0,0.0,0.0
32,236.324265,237.351074,1.0268090000000143,2,2,0,0,2,50,5,45,100.0,0.0,0,0.0,0.0
33,237.351074,238.394641,1.043566999999996,7,5,2,0,5,50,5,45,71.42857142857143,0.0,2,0.0,0.0
34,238.394641,239.426554,1.031913000000003,6,4,2,0,4,50,5,45,66.66666666666666,0.0,2,0.0,0.0
