run_id,objective,algorithm,ordering,tuning_seed,current_value,bandit_c,bandit_c_lower,bandit_c_upper,gamma,gamma_lower,gamma_upper,rewardAgingFactor,rewardAgingFactor_lower,rewardAgingFactor_upper,spatialReward,spatialReward_lower,spatialReward_upper,agingfactor,agingfactor_lower,agingfactor_upper,dqn_lr,dqn_lr_lower,dqn_lr_upper,ppo_lr,ppo_lr_lower,ppo_lr_upper,numberofFlowsPerAgent,hidden_layers,ppo_epochs,tablesize
1,speculative_hitrate,bandit,trace,101,50.28,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,,,,,,,50
2,speculative_hitrate,bandit,trace,103,50.28,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,,,,,,,50
3,speculative_hitrate,bandit,trace,107,50.28,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,,,,,,,50
4,speculative_hitrate,bandit,trace,109,50.28,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,,,,,,,50
5,speculative_hitrate,bandit,trace,113,50.28,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,,,,,,,50
6,speculative_hitrate,bandit,source,101,49.42,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,,,,,,,50
7,speculative_hitrate,bandit,source,103,49.42,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,,,,,,,50
8,speculative_hitrate,bandit,source,107,49.42,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,,,,,,,50
9,speculative_hitrate,bandit,source,109,49.42,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,,,,,,,50
10,speculative_hitrate,bandit,source,113,49.42,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,,,,,,,50
11,speculative_hitrate,bandit,destination,101,48.42,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,,,,,,,50
12,speculative_hitrate,bandit,destination,103,48.42,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,,,,,,,50
13,speculative_hitrate,bandit,destination,107,48.42,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,,,,,,,50
14,speculative_hitrate,bandit,destination,109,48.42,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,,,,,,,50
15,speculative_hitrate,bandit,destination,113,48.42,5.0,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,,,,,,,50
16,speculative_hitrate,dqn,trace,101,31.42,,,,0.9,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.5,0.1,0.99,,,,5,2,,50
17,speculative_hitrate,dqn,trace,103,31.42,,,,0.9,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.5,0.1,0.99,,,,5,2,,50
18,speculative_hitrate,dqn,trace,107,31.42,,,,0.9,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.5,0.1,0.99,,,,5,2,,50
19,speculative_hitrate,dqn,trace,109,31.42,,,,0.9,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.5,0.1,0.99,,,,5,2,,50
20,speculative_hitrate,dqn,trace,113,31.42,,,,0.9,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.5,0.1,0.99,,,,5,2,,50
21,speculative_hitrate,dqn,source,101,20.73,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.9,0.1,0.99,,,,5,2,,50
22,speculative_hitrate,dqn,source,103,20.73,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.9,0.1,0.99,,,,5,2,,50
23,speculative_hitrate,dqn,source,107,20.73,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.9,0.1,0.99,,,,5,2,,50
24,speculative_hitrate,dqn,source,109,20.73,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.9,0.1,0.99,,,,5,2,,50
25,speculative_hitrate,dqn,source,113,20.73,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.9,0.1,0.99,,,,5,2,,50
26,speculative_hitrate,dqn,destination,101,29.44,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.75,0.1,0.99,,,,5,1,,50
27,speculative_hitrate,dqn,destination,103,29.44,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.75,0.1,0.99,,,,5,1,,50
28,speculative_hitrate,dqn,destination,107,29.44,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.75,0.1,0.99,,,,5,1,,50
29,speculative_hitrate,dqn,destination,109,29.44,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.75,0.1,0.99,,,,5,1,,50
30,speculative_hitrate,dqn,destination,113,29.44,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,0.75,0.1,0.99,,,,5,1,,50
31,speculative_hitrate,ppo,trace,101,31.05,,,,0.9,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,0.001,0.0001,0.001,,2,2,50
32,speculative_hitrate,ppo,trace,103,31.05,,,,0.9,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,0.001,0.0001,0.001,,2,2,50
33,speculative_hitrate,ppo,trace,107,31.05,,,,0.9,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,0.001,0.0001,0.001,,2,2,50
34,speculative_hitrate,ppo,trace,109,31.05,,,,0.9,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,0.001,0.0001,0.001,,2,2,50
35,speculative_hitrate,ppo,trace,113,31.05,,,,0.9,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,0.001,0.0001,0.001,,2,2,50
36,speculative_hitrate,ppo,source,101,20.4,,,,0.75,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,0.0001,0.0001,0.001,,2,8,50
37,speculative_hitrate,ppo,source,103,20.4,,,,0.75,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,0.0001,0.0001,0.001,,2,8,50
38,speculative_hitrate,ppo,source,107,20.4,,,,0.75,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,0.0001,0.0001,0.001,,2,8,50
39,speculative_hitrate,ppo,source,109,20.4,,,,0.75,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,0.0001,0.0001,0.001,,2,8,50
40,speculative_hitrate,ppo,source,113,20.4,,,,0.75,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.999,0.7,0.999,,,,0.0001,0.0001,0.001,,2,8,50
41,speculative_hitrate,ppo,destination,101,29.18,,,,0.75,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,0.0001,0.0001,0.001,,2,4,50
42,speculative_hitrate,ppo,destination,103,29.18,,,,0.75,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,0.0001,0.0001,0.001,,2,4,50
43,speculative_hitrate,ppo,destination,107,29.18,,,,0.75,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,0.0001,0.0001,0.001,,2,4,50
44,speculative_hitrate,ppo,destination,109,29.18,,,,0.75,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,0.0001,0.0001,0.001,,2,4,50
45,speculative_hitrate,ppo,destination,113,29.18,,,,0.75,0.7,0.999,0.9,0.7,0.999,0.75,0.7,0.999,0.997,0.7,0.999,,,,0.0001,0.0001,0.001,,2,4,50
46,speculativereactive_hitrate,bandit,trace,101,80.82,0.05,0.001,100.0,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.9,0.7,0.999,,,,,,,,,,50
47,speculativereactive_hitrate,bandit,trace,103,80.82,0.05,0.001,100.0,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.9,0.7,0.999,,,,,,,,,,50
48,speculativereactive_hitrate,bandit,trace,107,80.82,0.05,0.001,100.0,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.9,0.7,0.999,,,,,,,,,,50
49,speculativereactive_hitrate,bandit,trace,109,80.82,0.05,0.001,100.0,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.9,0.7,0.999,,,,,,,,,,50
50,speculativereactive_hitrate,bandit,trace,113,80.82,0.05,0.001,100.0,,,,0.95,0.7,0.999,0.9,0.7,0.999,0.9,0.7,0.999,,,,,,,,,,50
51,speculativereactive_hitrate,bandit,source,101,69.35,0.01,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.993,0.7,0.999,,,,,,,,,,50
52,speculativereactive_hitrate,bandit,source,103,69.35,0.01,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.993,0.7,0.999,,,,,,,,,,50
53,speculativereactive_hitrate,bandit,source,107,69.35,0.01,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.993,0.7,0.999,,,,,,,,,,50
54,speculativereactive_hitrate,bandit,source,109,69.35,0.01,0.001,100.0,,,,0.9,0.7,0.999,0.75,0.7,0.999,0.993,0.7,0.999,,,,,,,,,,50
